P51148	GO:0070062 GO:0042470 GO:0005768
Q13114	GO:0035631 GO:0005739 GO:0005737 GO:0005829 GO:0005768
P31749	GO:0005739 GO:0005737 GO:0005634 GO:0005654 GO:0005829
O75915	GO:0005783 GO:0005789 GO:0005737 GO:0070062
Q9Y4K3	GO:0035631 GO:0005739 GO:0005737 GO:0005730 GO:0005634 GO:0048471 GO:0005938 GO:0043234 GO:0005829
P16333	GO:0005783 GO:0005737 GO:0005634 GO:0012506 GO:0005829
Q9H334	GO:0005634 GO:0005654
P58340	GO:0005737 GO:0005634
Q9NQT4	GO:0005737 GO:0005730 GO:0005634 GO:0000178 GO:0005829 GO:0000176 GO:0000177
Q9Y6K9	GO:0005737 GO:0005634 GO:0005829
Q02127	GO:0005739 GO:0005737 GO:0005654
Q8N1F8	GO:0005737
P42701	GO:0072536
Q92993	GO:0005737 GO:0005730 GO:0005634 GO:0005654 GO:0048471
Q2MV58	GO:0005737 GO:0005829
Q86XR7	GO:0005783 GO:0005737 GO:0005768
P21281	GO:0005737 GO:0070062 GO:0042470 GO:0005829
P50502	GO:0005737 GO:0070062 GO:0043234 GO:0005829
Q13868	GO:0005737 GO:0005730 GO:0005634 GO:0000178 GO:0005829 GO:0000176 GO:0000177
P28070	GO:0005737 GO:0070062 GO:0005634 GO:0005654 GO:0005829
Q9H0E2	GO:0005737 GO:0070062 GO:0048471 GO:0005829
Q13200	GO:0070062 GO:0005634 GO:0005654 GO:0005829
Q12933	GO:0035631 GO:0005737 GO:0005938 GO:0012506 GO:0043234 GO:0005829 GO:0045121
Q06265	GO:0005737 GO:0070062 GO:0005730 GO:0005634 GO:0005654 GO:0000178 GO:0005829 GO:0000176 GO:0000177
Q9NYK1	GO:0005783 GO:0005789 GO:0005737 GO:0031410 GO:0043235 GO:0005768
Q8N163	GO:0005737 GO:0005634 GO:0005654
P01375	GO:0045121
O15260	GO:0005783 GO:0005789 GO:0005793
P05067	GO:0005737 GO:0070062 GO:0031093 GO:0031410 GO:0048471 GO:0005790 GO:0043235 GO:0005829 GO:0045121 GO:0005768
P02768	GO:0005783 GO:0005737 GO:0070062 GO:0031093 GO:0005634 GO:0072562 GO:0043234
Q99962	GO:0005737 GO:0070062 GO:0005829
P19438	GO:0005739 GO:0043235 GO:0045121
Q96GX1	GO:0005737
Q12769	GO:0005634 GO:0005829
Q9NPC4	GO:0070062
Q9UKG1	GO:0005737 GO:0070062 GO:0005634 GO:0012506 GO:0005829 GO:0005768
Q9HB90	GO:0005737 GO:0005634 GO:0005829
