GO:0035631	Q12933 Q13114 Q9Y4K3
GO:0005783	P02768 Q9ULZ3 P02649 Q9NYK1 O75915 P17252 P49755 P11021 Q9NR96 Q9NYU2 P16333 Q9NZ08 P42345 Q03135 O15260 P49768 P00533 Q86XR7
GO:0005789	P00533 Q9NYK1 O75915 P49755 P11021 Q9NR97 Q9NR96 Q9NZ08 Q03135 O15260 P49768 P42345
GO:0072562	P02768 P02649 P01023 P08603 P01137 P63261
GO:0005925	P00533 P23458 P35579 P08631 P35222 P11021 P63261 Q03135 P50570
GO:0005737	P05067 P30260 Q99962 Q13114 P31749 P08047 P02768 O75915 P62158 P08631 Q9H0E2 P01137 Q9NR96 P16333 P17252 P02649 P58340 P35222 Q9NQT4 Q96GX1 Q9Y6K9 Q9UKG1 Q9HB90 P45983 P00533 Q9Y3B2 Q02127 Q8N1F8 P13501 Q16637 Q99547 Q13546 P06241 Q13901 Q92769 Q86Z02 P38398 P08238 P40855 P50570 P58753 Q2MV58 Q86XR7 P21281 P61073 Q15628 P08253 Q13868 P40763 P50502 P55036 Q99836 P28070 Q9Y4K3 P63261 P35579 Q9Y285 Q9NPH3 P38936 Q9NZ08 Q01780 Q9BZS1 P23458 O00206 Q12933 Q06265 P51681 P62318 Q9NYK1 P22301 P04626 P05231 P01584 Q9UER7 Q8N163 Q92993 Q9ULE6 P11021 P09544 Q03135 Q9ULZ3 P42345
GO:0005793	O15260 P49755 Q9NYU2 P11021
GO:0031093	P05067 P02768 P01023 P01137
GO:0005730	Q06265 Q9UER7 Q9Y3B2 Q05516 Q13868 Q99547 Q9Y4K3 Q13901 P01106 Q9ULZ3 Q9NQT4 Q01780 P39748 Q92993
GO:0031410	P05067 P61073 Q9NYK1 P01584 P49755 P08631 Q9NR96 P04626 Q03135 P49768
GO:0005634	P40855 P30260 P02649 P31749 P08047 P02768 P08631 Q9Y4K3 P01137 Q99547 P16333 Q9H334 P58340 Q9NQT4 Q9Y6K9 Q12769 Q9UKG1 Q9HB90 P45983 P00533 Q9Y3B2 Q05516 Q16637 Q92769 P06241 Q13901 P01106 Q86Z02 P38398 Q13868 P56545 P50570 P14778 Q15628 P08253 P35222 P40763 P17252 P55036 P28070 Q13200 P49768 P38936 Q01780 Q9BZS1 P23458 Q92993 Q06265 P35579 P05412 P62318 Q9UER7 P62158 Q13573 Q8N163 Q9ULE6 P11021 P63261 P04626 Q9ULZ3 P39748 P42345
GO:0005739	Q9ULZ3 Q13114 P08253 Q86UY8 P08238 Q02127 P40763 P19438 O14957 Q9Y4K3 Q13546 P11021 P17252 P49768 Q03135 P31749 P06241 P39748 P42345 P45983
GO:0005654	P40855 P30260 P31749 P08047 P38936 Q9H334 P45983 Q02127 P01106 Q16637 P38398 P17252 P58753 Q9UER7 P40763 P08238 P55036 P28070 Q13200 P35222 Q92769 Q92993 Q06265 P05412 P62318 P62158 Q13573 Q8N163 P39748 P42345
GO:0070765	P49768 P49755
GO:0048471	P05067 P00533 Q92993 P17252 Q9Y4K3 Q9H0E2 P04626 P38936 P35222 Q03135 P50570 O00206
GO:0005790	P05067 P49768 P11021
GO:0017053	Q13901 P05412 Q05516 P56545
GO:0043235	P05067 P00533 Q15628 Q86UY8 Q9NYK1 P19438 Q13546 P04626 Q5VWK5
GO:0016323	P00533 P08887 Q9NR96 P04626 P08238 P35222 Q03135
GO:0005938	Q12933 P35579 Q9UER7 Q9Y4K3 P35222 Q03135
GO:0012506	P16333 Q12933 Q9UKG1
GO:0072536	P42701 Q5VWK5
GO:0070062	P05067 P51148 Q99962 P02649 P02768 O75915 P62158 P50502 Q9H0E2 P49755 Q9NPC4 Q9UKG1 P01023 P17252 P50570 P21281 P61073 Q6NUS6 P08238 P08603 P28070 Q13200 Q9NZ08 P40189 Q06265 P35579 P62318 P01584 P11021 P63261 P35222 Q9NYU2
GO:0043234	P40855 Q12933 Q15628 P39748 P02768 P50502 Q9Y4K3 Q13546 Q9NPH3 P01106 P35579 P49768 P38398 Q92769 P35222 Q03135 P50570 Q9BZS1 P14778
GO:0042470	P21281 P51148 P11021 P49755 P08238
GO:0000178	Q06265 Q9Y3B2 Q9NQT4 Q99547 Q13868 Q01780
GO:0005829	P05067 P30260 Q99962 Q13114 P31749 P62158 P08631 Q9H0E2 P16333 P17252 P55085 Q9NQT4 Q9Y6K9 Q12769 Q9UKG1 Q9HB90 P35579 Q9Y3B2 Q05516 Q13868 Q16637 Q13546 P01106 Q9ULZ3 P08238 P40855 P50570 P58753 Q2MV58 P45983 P21281 P61073 Q15628 Q86UY8 P40763 P50502 P55036 Q99836 P28070 Q9Y4K3 Q13200 Q9Y285 P38936 Q9NZ08 P01023 P23458 Q12933 Q06265 P51681 P05412 P51684 P62318 Q9UER7 P01584 Q9ULE6 P63261 Q03135 P06241 P35222 P42345
GO:0045121	P05067 Q12933 Q15628 P00533 P19438 Q13546 P49768 P01375 Q03135
GO:0000176	Q06265 Q9Y3B2 Q9NQT4 Q13901 Q13868 Q01780
GO:0000177	Q06265 Q13868 Q9NQT4
GO:0005768	P05067 P51148 Q13114 Q9NYK1 Q9NR96 P61073 P06241 P51681 Q03135 P50570 Q9UKG1 P00533 Q86XR7
GO:0070110	P08887 P40189
