hsa05132	Salmonella infection
hsa05130	Pathogenic Escherichia coli infection
hsa05212	Pancreatic cancer
hsa05210	Colorectal cancer
hsa05220	Chronic myeloid leukemia
hsa05214	Glioma
hsa05200	Pathways in cancer
hsa04668	TNF signaling pathway
hsa04066	HIF-1 signaling pathway
hsa04064	NF-kappa B signaling pathway
hsa04920	Adipocytokine signaling pathway
hsa05169	Epstein-Barr virus infection
hsa05166	HTLV-I infection
hsa05160	Hepatitis C
hsa04210	Apoptosis
hsa05205	Proteoglycans in cancer
hsa04622	RIG-I-like receptor signaling pathway
hsa04623	Cytosolic DNA-sensing pathway
hsa04012	ErbB signaling pathway
hsa05221	Acute myeloid leukemia
hsa04010	MAPK signaling pathway
hsa05203	Viral carcinogenesis
hsa05215	Prostate cancer
hsa03018	RNA degradation
