P51148	GO:0007264
Q13114	GO:0007165 GO:0035666 GO:0042981 GO:0034142 GO:0002756 GO:0033209 GO:0034138 GO:0006915
P31749	GO:0007596 GO:0061024 GO:0007165 GO:0031295 GO:0043536 GO:0030168 GO:0043488 GO:0010629 GO:0012501 GO:0048011 GO:1901215 GO:0048015 GO:1900182 GO:0031641 GO:0043154 GO:0007173 GO:0048010 GO:0008543 GO:0046777 GO:2001240 GO:0008286 GO:0038095 GO:0046889 GO:0071363 GO:0046209 GO:0010467 GO:0043066 GO:0006915 GO:0050999 GO:0001934 GO:0001938
O75915	GO:0043280
Q9Y4K3	GO:0019221 GO:0007165 GO:0035666 GO:0034166 GO:0045410 GO:0051023 GO:0042981 GO:0034146 GO:0034142 GO:0048011 GO:0002756 GO:0038123 GO:0038124 GO:0000122 GO:0035872 GO:0002223 GO:0038095 GO:0045892 GO:0034138 GO:0034134 GO:0097190 GO:0043066 GO:0050852 GO:0030316 GO:0070555
P16333	GO:0007411 GO:0048010 GO:0030838 GO:0050852 GO:0007264
Q9H334	GO:0050727 GO:0035926 GO:0045892 GO:0030316
Q9NQT4	GO:0034475 GO:0043488 GO:0006364 GO:0043928 GO:0071028 GO:0010467 GO:0034427
Q9Y6K9	GO:0010803 GO:0007166 GO:0035666 GO:0034166 GO:0034146 GO:0034142 GO:1901215 GO:0002756 GO:0033209 GO:0038123 GO:0038124 GO:0035872 GO:0002223 GO:0038095 GO:0034138 GO:0034134 GO:0050852 GO:0006915 GO:0016032
O00421	GO:0007165
P42701	GO:0019221 GO:0007165 GO:2000318 GO:0002827 GO:0001916 GO:2000330 GO:0038155 GO:0043382 GO:0042104
Q92993	GO:0000122 GO:0045892 GO:0030521 GO:0016032
Q5VWK5	GO:2000318 GO:0002827 GO:0001916 GO:0010535 GO:2000330 GO:0038155 GO:0043382 GO:0042104
Q86XR7	GO:0007165 GO:0035666 GO:0012501 GO:0034142 GO:0002756 GO:0034145 GO:0034138 GO:0006915 GO:0097296
P22301	GO:0010033 GO:0043066 GO:0010468
Q13868	GO:0034475 GO:0043488 GO:0006364 GO:0043928 GO:0010467 GO:0071035 GO:0034427
Q9ULZ3	GO:0010803 GO:0007165 GO:0043280 GO:0032760 GO:0042981 GO:0071356 GO:0006919 GO:2000406 GO:0033209 GO:0050766 GO:0035872 GO:0002223 GO:2000778 GO:0030838 GO:0042104 GO:0006915 GO:2001238 GO:0042771
Q9H0E2	GO:0007165
Q13200	GO:0043488 GO:0090263 GO:0007411 GO:0042981 GO:0012501 GO:0048011 GO:0007173 GO:0033209 GO:0048010 GO:0008543 GO:0002223 GO:0008286 GO:0038095 GO:0000186 GO:0010467 GO:0043066 GO:0050852 GO:0006915 GO:0007265 GO:0007264 GO:0016032
Q12933	GO:0010803 GO:0007165 GO:0007166 GO:0051023 GO:0042981 GO:0006919 GO:0012501 GO:1901215 GO:0043154 GO:0097300 GO:1902041 GO:0033209 GO:0071550 GO:0006915 GO:2001238 GO:0071732 GO:0097296
Q06265	GO:0034475 GO:0043488 GO:0006364 GO:0043928 GO:0071028 GO:0010467 GO:0071035 GO:0034427
Q9NYK1	GO:0007165
Q6NUS6	GO:0006915
Q8N163	GO:0034605 GO:0090263 GO:0045892 GO:0006915
