P05067	R-HSA-933542 R-HSA-1810476
Q12933	R-HSA-5357905 R-HSA-140534 R-HSA-5218900 R-HSA-5357786 R-HSA-3371378 R-HSA-69416 R-HSA-933542 R-HSA-5357956 R-HSA-75893
Q06265	R-HSA-429958 R-HSA-450513 R-HSA-450385 R-HSA-450604
Q15628	R-HSA-5357905 R-HSA-140534 R-HSA-5218900 R-HSA-5357786 R-HSA-3371378 R-HSA-69416 R-HSA-5357956 R-HSA-75893
Q9Y3B2	R-HSA-429958 R-HSA-450513 R-HSA-450385 R-HSA-450604
P31749	R-HSA-450385 R-HSA-450604
P19438	R-HSA-5357905 R-HSA-5357786 R-HSA-5357956 R-HSA-75893
Q13868	R-HSA-429958 R-HSA-450513 R-HSA-450385 R-HSA-450604
P01584	R-HSA-446652
Q9Y4K3	R-HSA-937041 R-HSA-446652 R-HSA-933542 R-HSA-166058
Q13546	R-HSA-937041 R-HSA-5357905 R-HSA-140534 R-HSA-5218900 R-HSA-5357786 R-HSA-3371378 R-HSA-69416 R-HSA-5357956 R-HSA-1810476 R-HSA-75893
Q9H0E2	R-HSA-446652
Q99836	R-HSA-446652 R-HSA-933542 R-HSA-1810476 R-HSA-166058
P01375	R-HSA-5357905 R-HSA-5357786 R-HSA-5357956 R-HSA-75893
Q9NQT4	R-HSA-429958 R-HSA-450513 R-HSA-450385 R-HSA-450604
Q9Y6K9	R-HSA-937041 R-HSA-5357905 R-HSA-446652 R-HSA-933542 R-HSA-5357956 R-HSA-1810476
P50570	R-HSA-166016
P58753	R-HSA-166016 R-HSA-166058
P14778	R-HSA-446652
Q86XR7	R-HSA-937041 R-HSA-166016 R-HSA-140534
O00206	R-HSA-937041 R-HSA-166016 R-HSA-140534 R-HSA-166058
