P02768	GO:0043066
Q15714	GO:0043065 GO:0043066
Q92530	GO:0090263 GO:0051439 GO:0007411 GO:0051437 GO:0043066 GO:0090090 GO:0000278 GO:0006915 GO:0031145 GO:0012501 GO:0048011 GO:0007264 GO:0038095 GO:0016032
P35749	GO:0007411 GO:0007264
Q86T82	GO:0007049
P53350	GO:0032436 GO:0051439 GO:0051437 GO:0007049 GO:0043066 GO:0000278 GO:0031145 GO:0007264 GO:0007091
P25054	GO:0090263 GO:0032886 GO:0030178 GO:0043065 GO:0043066 GO:0090090 GO:0006915 GO:0012501 GO:0044337 GO:0016055 GO:0045732 GO:0007091
P62993	GO:0007411 GO:0048011 GO:0007264 GO:0038095 GO:0016032
Q04724	GO:0030178 GO:0016055
Q14204	GO:0000278
P52735	GO:0007411 GO:0043065 GO:0048011 GO:0007264 GO:0038095
Q9BRK4	GO:0030178 GO:0007049 GO:0090090 GO:1900181 GO:0016055
P68400	GO:0007411 GO:0007049 GO:0048511 GO:0000278 GO:0006915 GO:0016055 GO:0045732
Q9NR09	GO:0007049 GO:0043066 GO:0006915
P21246	GO:0043065
O14641	GO:0090263 GO:0090090 GO:0007264 GO:0016055
Q16531	GO:0070914 GO:0043066 GO:0016055 GO:0016032
P63244	GO:0032436 GO:0030178 GO:0007049 GO:0043065 GO:0048511 GO:0006915 GO:0016032
Q96EB6	GO:0070914 GO:0043065 GO:0048511 GO:0043066 GO:0006915 GO:0043518 GO:0016032
P63167	GO:0000278 GO:0006915 GO:0012501 GO:0016032
P49841	GO:0032436 GO:0090263 GO:0007411 GO:0032886 GO:0043065 GO:0048511 GO:0043066 GO:0090090 GO:0048011 GO:0044337 GO:1900181 GO:0038095 GO:0016055 GO:0045732
Q13627	GO:0000278 GO:0043518
O14818	GO:0090263 GO:0051439 GO:0007411 GO:0051437 GO:0043066 GO:0090090 GO:0000278 GO:0006915 GO:0031145 GO:0012501 GO:0048011 GO:0007264 GO:0038095 GO:0016032
