GO:0032436	P49841 P53350 P63244
GO:0090263	P25054 P49841 O14641 Q92530 O14818
GO:0070914	Q16531 Q96EB6
GO:0051439	P53350 Q92530 O14818
GO:0032886	P25054 P49841
GO:0007411	P62993 P35749 P52735 P49841 O14818 Q92530 P68400
GO:0051437	P53350 Q92530 O14818
GO:0030178	P25054 Q9BRK4 Q04724 P63244
GO:0007049	P63244 Q86T82 P53350 Q9BRK4 P68400 Q9NR09
GO:0043065	Q15714 P63244 P52735 Q96EB6 P21246 P49841 P25054
GO:0048511	P49841 Q96EB6 P68400 P63244
GO:0043066	P02768 Q15714 Q92530 Q96EB6 Q16531 P49841 O14818 P53350 P25054 Q9NR09
GO:0090090	P49841 O14641 Q92530 P25054 Q9BRK4 O14818
GO:0000278	Q92530 Q14204 Q13627 P63167 O14818 P53350 P68400
GO:0006915	P63244 Q96EB6 P63167 O14818 Q92530 P25054 P68400 Q9NR09
GO:0031145	P53350 Q92530 O14818
GO:0012501	P25054 P63167 O14818 Q92530
GO:0043518	Q13627 Q96EB6
GO:0048011	P52735 P62993 P49841 O14818 Q92530
GO:0007264	P62993 Q92530 P35749 P52735 O14641 P53350 O14818
GO:0044337	P25054 P49841
GO:1900181	Q9BRK4 P49841
GO:0038095	P52735 P62993 P49841 O14818 Q92530
GO:0016055	Q16531 Q04724 P49841 O14641 P25054 Q9BRK4 P68400
GO:0045732	P25054 P49841 P68400
GO:0016032	P62993 P63244 Q96EB6 P63167 Q16531 O14818 Q92530
GO:0007091	P25054 P53350
