R-HSA-445144	Signal transduction by L1
R-HSA-933542	TRAF6 mediated NF-kB activation
R-HSA-3371511	HSF1 activation
R-HSA-2559580	Oxidative Stress Induced Senescence
R-HSA-2467813	Separation of Sister Chromatids
R-HSA-69202	Cyclin E associated events during G1/S transition
R-HSA-937041	IKK complex recruitment mediated by RIP1
R-HSA-5674499	Negative feedback regulation of MAPK pathway
R-HSA-5674135	MAP2K and MAPK activation
R-HSA-5357905	Regulation of TNFR1 signaling
R-HSA-1169408	ISG15 antiviral mechanism
R-HSA-5676590	NIK-->noncanonical NF-kB signaling
R-HSA-3769402	Deactivation of the beta-catenin transactivating complex
R-HSA-380259	Loss of Nlp from mitotic centrosomes
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6
R-HSA-202424	Downstream TCR signaling
R-HSA-180534	Vpu mediated degradation of CD4
R-HSA-5627123	RHO GTPases activate PAKs
R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes
R-HSA-5610783	Degradation of GLI2 by the proteasome
R-HSA-5610780	Degradation of GLI1 by the proteasome
R-HSA-110320	Translesion Synthesis by POLH
R-HSA-4641258	Degradation of DVL
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome
R-HSA-5603029	IkBA variant leads to EDA-ID
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
R-HSA-198323	AKT phosphorylates targets in the cytosol
R-HSA-5654726	Negative regulation of FGFR1 signaling
R-HSA-975144	IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation
R-HSA-68949	Orc1 removal from chromatin
R-HSA-209543	p75NTR recruits signalling complexes
R-HSA-69231	Cyclin D associated events in G1
R-HSA-209560	NF-kB is activated and signals survival
R-HSA-180585	Vif-mediated degradation of APOBEC3G
R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21
R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
R-HSA-446652	Interleukin-1 signaling
R-HSA-5684264	MAP3K8 (TPL2)-dependent MAPK1/3 activation
R-HSA-450302	activated TAK1 mediates p38 MAPK activation
R-HSA-5663220	RHO GTPases Activate Formins
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER
R-HSA-1295596	Spry regulation of FGF signaling
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA
R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome
R-HSA-5687128	MAPK6/MAPK4 signaling
R-HSA-69563	p53-Dependent G1 DNA Damage Response
R-HSA-168638	NOD1/2 Signaling Pathway
R-HSA-450341	Activation of the AP-1 family of transcription factors
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation
R-HSA-1810476	RIP-mediated NFkB activation via ZBP1
R-HSA-445989	TAK1 activates NFkB by phosphorylation and activation of IKKs complex
R-HSA-5620912	Anchoring of the basal body to the plasma membrane
R-HSA-5357956	TNFR1-induced NFkappaB signaling pathway
R-HSA-5607764	CLEC7A (Dectin-1) signaling
R-HSA-5675482	Regulation of necroptotic cell death
R-HSA-3371453	Regulation of HSF1-mediated heat shock response
R-HSA-937039	IRAK1 recruits IKK complex
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
R-HSA-1169091	Activation of NF-kappaB in B cells
R-HSA-5362768	Hh mutants that don't undergo autocatalytic processing are degraded by ERAD
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1
R-HSA-400253	Circadian Clock
R-HSA-5675221	Negative regulation of MAPK pathway
R-HSA-5658442	Regulation of RAS by GAPs
R-HSA-182971	EGFR downregulation
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling
R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
R-HSA-195253	Degradation of beta-catenin by the destruction complex
R-HSA-5602636	IKBKB deficiency causes SCID
R-HSA-5654733	Negative regulation of FGFR4 signaling
R-HSA-5654732	Negative regulation of FGFR3 signaling
R-HSA-110056	MAPK3 (ERK1) activation
R-HSA-5621575	CD209 (DC-SIGN) signaling
R-HSA-5358346	Hedgehog ligand biogenesis
R-HSA-5632684	Hedgehog 'on' state
R-HSA-3108214	SUMOylation of DNA damage response and repair proteins
R-HSA-2173788	Downregulation of TGF-beta receptor signaling
R-HSA-1227986	Signaling by ERBB2
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription
R-HSA-450321	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1
R-HSA-69229	Ubiquitin-dependent degradation of Cyclin D1
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
