Q15691	MAPRE1
Q15942	ZYX
P40939	HADHA
P33241	LSP1
P61970	NUTF2
P04075	ALDOA
P61978	HNRNPK
P67775	PPP2CA
Q05397	PTK2
Q6UB35	MTHFD1L
Q00535	CDK5
Q00536	CDK16
P23458	JAK1
P07858	CTSB
Q9Y5Y2	NUBP2
O14558	HSPB6
Q12933	TRAF2
P02545	LMNA
Q9NQS3	PVRL3
P63000	RAC1
Q14145	KEAP1
Q01804	OTUD4
Q14141	SEPT6
Q15758	SLC1A5
P62979	RPS27A
Q96CX2	KCTD12
P07355	ANXA2
P18887	XRCC1
P19320	VCAM1
P29966	MARCKS
Q16401	PSMD5
P25786	PSMA1
Q16363	LAMA4
P29401	TKT
O60341	KDM1A
Q9UBT2	UBA2
O75436	VPS26A
Q9NZC7	WWOX
Q96AC1	FERMT2
P67936	TPM4
P68104	EEF1A1
P14373	TRIM27
O14980	XPO1
P11142	HSPA8
Q92934	BAD
Q09161	NCBP1
P34896	SHMT1
P34897	SHMT2
P06396	GSN
P60484	PTEN
P06400	RB1
P00338	LDHA
Q16637	SMN2
P13569	CFTR
Q15910	EZH2
O60488	ACSL4
Q5S007	LRRK2
Q04206	RELA
P47985	UQCRFS1
Q8N6T7	SIRT6
P06748	NPM1
Q9UPN3	MACF1
P53634	CTSC
P04049	RAF1
Q9H444	CHMP4B
Q14103	HNRNPD
Q01844	EWSR1
Q02750	MAP2K1
Q96EP5	DAZAP1
P57740	NUP107
Q71U36	TUBA1A
P04626	ERBB2
Q16854	DGUOK
P04629	NTRK1
P37840	SNCA
Q12800	TFCP2
P60660	MYL6
P46940	IQGAP1
Q16527	CSRP2
Q13233	MAP3K1
O75368	SH3BGRL
P26885	FKBP2
P27361	MAPK3
O60260	PARK2
P13639	EEF2
Q96CW5	TUBGCP3
P04183	TK1
P78417	GSTO1
O15111	CHUK
Q9Y2K1	ZBTB1
P38919	EIF4A3
P24821	TNC
Q13428	TCOF1
Q9NVR5	DNAAF2
P84022	SMAD3
P00488	F13A1
Q9UKV8	AGO2
P27797	CALR
P15498	VAV1
Q9UBS8	RNF14
Q9Y6K9	IKBKG
P62993	GRB2
Q16181	SEPT7
P16949	STMN1
Q86XR8	CEP57
Q9Y4L5	RNF115
Q13283	G3BP1
O00159	MYO1C
P25067	COL8A2
P49916	LIG3
P06702	S100A9
Q05707	COL14A1
O00151	PDLIM1
P61221	ABCE1
P52566	ARHGDIB
Q14999	CUL7
P62136	PPP1CA
Q7Z3E5	ARMC9
P37231	PPARG
P05067	APP
O43504	LAMTOR5
O96008	TOMM40
P37802	TAGLN2
Q5VTD9	GFI1B
P12814	ACTN1
Q04724	TLE1
P52943	CRIP2
O43597	SPRY2
P13674	P4HA1
Q00610	CLTC
P24864	CCNE1
P35813	PPM1A
O95684	FGFR1OP
Q9C0B0	UNK
Q86X55	CARM1
P24941	CDK2
Q9Y5S9	RBM8A
P29353	SHC1
Q14676	MDC1
Q16555	DPYSL2
Q9ULV4	CORO1C
Q9NX36	DNAJC28
P29590	PML
Q9NUX5	POT1
P32455	GBP1
P04233	CD74
Q9BQB6	VKORC1
P00533	EGFR
Q09472	EP300
P04406	GAPDH
Q5GAN3	RNASE13
Q13418	ILK
P68133	ACTA1
P02751	FN1
Q9UPV0	CEP164
P30153	PPP2R1A
P55036	PSMD4
P35226	BMI1
Q96Q05	TRAPPC9
P35222	CTNNB1
Q9P127	LUZP4
Q08830	FGL1
P38646	HSPA9
P35658	NUP214
Q9BSJ2	TUBGCP2
Q13573	SNW1
P27694	RPA1
O75955	FLOT1
P15374	UCHL3
Q504Q3	PAN2
P54253	ATXN1
Q7L5N1	COPS6
O00233	PSMD9
P54259	ATN1
P05026	ATP1B1
P05556	ITGB1
P14174	MIF
P53350	PLK1
P45983	MAPK8
Q15554	TERF2
P23443	RPS6KB1
Q96TA1	FAM129B
O95400	CD2BP2
O15498	YKT6
Q86X19	TMEM17
P04637	TP53
