P68366	GO:0005856 GO:0005874 GO:0005737
Q99942	GO:0005783 GO:0016020
P54274	GO:0000781 GO:0000783 GO:0000784 GO:0005856 GO:0070187 GO:0005654 GO:0005737 GO:0005730 GO:0005634 GO:0005694 GO:0005819
Q6PD62	GO:0005634
P31749	GO:0031982 GO:0016020 GO:0005654 GO:0005737 GO:0005634 GO:0005911 GO:0005819 GO:0005886
Q9NRR5	GO:0005783 GO:0005776 GO:0048471 GO:0005737 GO:0031410 GO:0005634
P08473	GO:0030425 GO:0030424 GO:0016020 GO:0005925 GO:0005737 GO:0005886
Q8WZ42	GO:0031430 GO:0005737 GO:0005634
Q9HAU4	GO:0016020 GO:0000151 GO:0005654 GO:0005737 GO:0005634 GO:0005886 GO:0045121
Q16718	GO:0016020
H7C1Q3	GO:0016020
Q9Y2R0	GO:0016020
P49792	GO:0016020 GO:0031965 GO:0005634
Q5RL73	GO:0005654
O00716	GO:0005667 GO:0005654 GO:0005737 GO:0005634
O75052	GO:0048471 GO:0005634
P48201	GO:0016020 GO:0005741
O75190	GO:0016020 GO:0005654 GO:0048471 GO:0005737 GO:0005634
O14558	GO:0005737 GO:0005634
P40429	GO:0016020 GO:0005925 GO:0005737 GO:0005730 GO:0005634 GO:0097452
P51858	GO:0005654 GO:0005737 GO:0005634 GO:0005615
P63000	GO:0016020 GO:0005925 GO:0016023 GO:0005737 GO:0031410 GO:0005634 GO:0036464 GO:0030027 GO:0005886 GO:0042470
Q14145	GO:0005783 GO:0005925 GO:0005654 GO:0005737 GO:0005634 GO:0030496 GO:0005884
Q5PY61	GO:0005737
P03891	GO:0016020
Q9UBB9	GO:0000784 GO:0005737 GO:0005730 GO:0005634 GO:0071013 GO:0005681
P03897	GO:0016020
P02768	GO:0005783 GO:0043209 GO:0043234 GO:0072562 GO:0005737 GO:0031093 GO:0005634 GO:0005615
Q9HCK5	GO:0016020 GO:0005737 GO:0070578 GO:0000932
P16298	GO:0005654 GO:0005886
Q86UX7	GO:0016020
P62979	GO:0022627 GO:0043209 GO:0016020 GO:0005654 GO:0005737 GO:0005730 GO:0005634 GO:0005886 GO:0005615
P35968	GO:0005783 GO:0016020 GO:0016023 GO:0005737 GO:0031410 GO:0005634 GO:0071944 GO:0005886 GO:0045121 GO:0005768 GO:0005769
O00560	GO:0005783 GO:0016020 GO:0005925 GO:0005856 GO:0072562 GO:0005737 GO:0005634 GO:0005886 GO:0005615 GO:0042470 GO:0045121
P09211	GO:0031982 GO:0005737 GO:0005634 GO:0005886 GO:0005615
P19320	GO:0005783 GO:0016020 GO:0071944 GO:0005886 GO:0005615 GO:0005769
Q96EB6	GO:0000790 GO:0000785 GO:0016605 GO:0005719 GO:0005654 GO:0005737 GO:0005730 GO:0005634
P62280	GO:0022627 GO:0016020 GO:0005925 GO:0005737 GO:0005730
Q15008	GO:0000502 GO:0005654
P67809	GO:0030425 GO:0070937 GO:0031965 GO:0005654 GO:0048471 GO:0005737 GO:0005634
Q49A88	GO:0005856 GO:0005737
P22736	GO:0031965 GO:0005654 GO:0005737 GO:0005634
P42858	GO:0030425 GO:0030424 GO:0005783 GO:0005776 GO:0043234 GO:0005654 GO:0043025 GO:0016023 GO:0005737 GO:0005634 GO:0016234 GO:0030659
O00400	GO:0005783 GO:0016020
O60343	GO:0005737 GO:0030659
P39023	GO:0005925 GO:0005654 GO:0005737 GO:0005730 GO:0005634
P68104	GO:0016020 GO:0005737 GO:0005730 GO:0005634 GO:0005615
P27635	GO:0005783 GO:0016020
Q9NX24	GO:0031429 GO:0000784 GO:0090661 GO:0005654 GO:0072589 GO:0005737 GO:0005730 GO:0005634 GO:0005697
Q9H845	GO:0030425 GO:0005634
P36542	GO:0045261 GO:0043209 GO:0016020 GO:0005759
D3YTC6	GO:0005654
P63220	GO:0022627 GO:0005737
P11142	GO:0043209 GO:0016020 GO:0005925 GO:0072562 GO:0005654 GO:0005737 GO:0005730 GO:0005634 GO:0005886 GO:0005615 GO:0042470 GO:0005681
Q92934	GO:0016020 GO:0005737 GO:0005741
Q9Y5K8	GO:0016020
O75380	GO:0016020
Q14192	GO:0005925 GO:0005654 GO:0031430 GO:0005737 GO:0005634
Q9BQ95	GO:0005654 GO:0005737 GO:0005634
Q9Y4G8	GO:0016020 GO:0043234 GO:0048471 GO:0043025 GO:0005737 GO:0043005 GO:0005911 GO:0005886 GO:0005768
Q14197	GO:0005759
P60520	GO:0005776 GO:0005737 GO:0031410 GO:0000421
Q14807	GO:0000785 GO:0005925 GO:0005856 GO:0005874 GO:0005737 GO:0005634 GO:0072686 GO:0005819 GO:0000776
Q14203	GO:0016020 GO:0043234 GO:0005856 GO:0031252 GO:0005874 GO:0005737 GO:0000776
P62891	GO:0005615
