GO:0051428	Q06124 O60674 P06241 P01160
GO:0050681	Q09472 O75925 Q14192 P35222 P17844 Q99497
GO:0001077	P67809 P05412 P08047 P22736 O43889 P40763 Q15796 Q04206 P03372 P15336 P01106 Q00653 P01100 P04637 P16220 Q13485 Q06330 P15173
GO:0030346	Q9NPC6 P16298 Q92934 P00441
GO:0031593	Q9UMX0 Q9UBN7 Q96CV9 P55036 Q9NRR5 P46379
GO:0044325	P12814 P04156 P42858 P27348 P08238 Q5S007 Q03135 P62158 P49407 P21796 P12931 P35222 O43707 Q13642 O15273 P06241 P35609 P62258
GO:0030911	Q9UNE7 P07900 P08238
GO:0003713	Q92731 Q14192 Q92793 Q9Y5V3 P15336 P19793 Q09472 P62380 P17844 P06748 P51610 O75925 Q93062 Q00653 P35222 P23497 P15172 Q99497 Q9Y3C7 P05412 Q13263 Q13573 Q16594 P29590
GO:0000166	P51149 P51148 P68366 P31749 P51668 Q13523 P07900 P78527 Q8WZ42 P15104 P27708 Q13283 Q5RL73 Q93062 Q13043 P52564 O15530 P63000 P13984 Q59H18 Q13177 Q9UBU9 P35968 P19525 P04049 P25705 Q05639 P68371 O95758 O00571 P24941 P12883 P35579 P68104 P10398 P11142 P42345 P13010 P10809 P51965 Q14807 P00533 Q16540 Q13315 Q13418 P68133 Q9UG63 P17844 P50570 Q14683 P68032 Q32P51 P06493 Q09013 P08238 Q5S007 P30086 Q15058 Q00839 A2RTX5 P06576 P51858 O60674 Q15424 A6NL76 P26599 P28340 Q01844 Q9H422 Q92614 Q71U36 P06732 P53355 P04626 P53350 O43542 Q92900 Q8NB16 P00519 P63279 P61586 P60709 Q6DD88 Q15831 Q99832 P09619 P60953 P12931 P38919 O60506 P49841 P01116 P11021 P06241
GO:0034513	Q9NPE3 Q9NX24 O60832 Q9NY12
GO:0051059	P23396 Q04206 P60900 Q92769 P49841 Q96EY1 P06748
GO:0019901	P84022 P31749 Q13177 P49023 Q04206 Q15424 P05556 P53350 Q05639 P04792 P36873 Q8WZ42 P62993 P31947 P46940 P48059 P14635 Q13418 P21796 P50570 Q96EY1 Q7Z434 P19429 Q00610 P23396 P40763 P08238 P30086 P60953 Q13501 P09619 P12931 P62140 Q15058 O15530 P04637 Q03135 P09874 Q16543 Q9Y4K3 Q99459 P06748 P63104 P52564 P68104 O60674 P62158 P63000 P15336 Q14764 P49841 Q92934 Q8NB16 P03891 P42345 O15169
GO:0019900	Q9UMX0 Q16543 P21333 P23396 Q9UNE7 P25445 Q03135 P12931 P05556 P35222 P08238 P23497 P07195 P14136 Q99497
GO:0019903	P00533 P62993 P46940 P63244 P40763 Q14764 P04626 P04637 P35222 P36873 Q92934
GO:0019904	Q71U36 P05556 P35579 O14503 Q9Y6K9 Q96EB6 P35609 A5YKK6 P37840 Q06124 P62993 P31947 P46940 P06396 P36873 P12757 P62258 P63104 P27348 P19429 P00519 P12931 P19793 P23497 P31946 P67870 P32121 O75376 P13473 P62158 P61981 Q9P0L0 P63167 P11021 P42345 O15169
GO:0098505	P54274 Q15554 Q9NYB0 Q9NUX5
GO:0044212	P37840 P49407 O75376 P05412 P13010 P40763 P16220 Q04206 P19838 Q16594 P35222 P04637 P35232 Q13485 P01100 Q9UBL3 Q9UL18 P84022 P08047
GO:0043236	P17301 P05556 P08865 P09382 P07996
GO:0051879	Q9UNE7 Q16543 P35968 Q9UBN7 P23396
GO:0051219	P37840 P49407 P31947 P31946 P12931 P62258 P42345
GO:0070034	Q00839 Q9NY12 Q9NX24 O60832 Q9NPE3 Q96BK5
GO:0043130	Q9UBN7 P54274 Q9UK41 Q96FW1 Q99816 P37198 P04792 Q13501 P84022
GO:0051787	Q9UNE7 P11021 Q9UBN7 P10809 P46379
GO:0031072	Q16543 Q09013 P19838 O75190 Q92769 P11142 P29692 Q96EY1
GO:0048487	P37840 Q9UBN7 P42858 O95166 P42704 Q9H0R8 P60520
GO:0003677	P54274 Q13485 P78527 O43889 P62380 P23396 Q13283 O75925 O00716 P23497 P16104 O75190 Q9UJ41 P16220 P15336 P13984 Q9UBB9 P02768 P42224 Q92793 Q9UBL3 Q9NYB0 P67809 P29372 P22736 P19838 P03372 Q99816 O94842 O00571 Q9Y3C5 P05412 Q13263 Q7Z3K3 P84022 P13010 P42229 Q92731 P29590 Q9NUX5 Q14807 P19793 Q09472 Q13315 O95831 P29692 Q06330 O75376 P35222 P09874 P15172 P15173 Q00839 Q16531 P51858 Q15424 P68431 Q02878 P28340 P54253 P08047 Q92614 P42677 Q04206 P06733 P17020 Q15327 P78549 O14503 P19474 Q15047 O43542 Q15554 Q92900 P00519 Q15796 O95619 P01106 P01100 P42704 P40763 Q00653 P04637 Q99459 Q7Z6Z7 Q16594 P09429
GO:0043422	P32121 Q9UKG1 Q9Y4K3 Q92934
GO:0000987	Q13485 P15173 Q92793 P84022 P08047
GO:0043022	P08865 P60468 K7EQM4 Q14197 P11021 P42345 P46379
GO:0042826	O75376 Q9UBN7 P31946 P08238 P62258 Q9Y4K3 P63000 P09874 Q15327 P35232 Q04206 P07900 P08047
GO:0003723	P54253 O95793 Q6P2Q9 Q9UKV8 H0YEN5 Q9UBU9 Q15424 P60900 P62424 P19474 P19525 P62280 P67809 Q92900 P62891 P25786 Q16540 Q9UL18 Q9NY12 P46782 P46781 P26373 Q16637 P36578 P42704 P17844 Q99497 J3JS69 P26599 Q32P51 P39023 P83731 P46777 P23396 Q13283 P49792 Q5RL73 Q93062 P38919 P15880 O60832 Q99459 P61247 P06748 Q00839 Q5U5Q3 O60506 P52815 P62701 Q9HCK5 Q9NX24 O00571 P62888 P62487 O95758 Q02878 Q01844
GO:0038085	P09619 P21246 P35968 O14786
GO:0008017	P37840 Q9UBN7 Q9H492 P04156 P23396 P54274 Q5S007 P42704 P04406 Q9P0L0 O95166 Q6P597 Q15058 P53350 P60520 P50570 Q14807
GO:0016301	Q59H18 P31749 Q13177 P35968 P06732 Q13523 P53355 P04626 P53350 Q9H422 P19525 P78527 Q8WZ42 P00533 H0YJJ7 P00519 Q13315 P14635 Q13418 Q9BRR6 H3BR70 P06493 Q09013 Q15831 Q5S007 P09619 P12931 P24941 Q13043 P52564 O15530 O60674 P10398 P04049 P49841 P06241 P42345
GO:0035257	O75376 Q09472 Q13573 Q96EB6 P35222 O43707 P15172
GO:0048156	P37840 Q9UBN7 P02649 P49841
GO:0050815	Q13526 P31946 P62258
GO:0008013	Q9UBN7 Q09472 P49023 P03372 P49841 Q13526 Q9UBL3 Q92997 P49768 P84022 O15169
GO:0001085	Q09472 P49841 Q15327 P04637 Q13485 P35222 Q92793
GO:0051539	P49821 O75251 P28331 O75306 Q99798 P78549 P28340 O00217
GO:0051536	P49821 O75251 P23396 P19404 P28331 O75306 Q99798 P78549 P28340 O00217
GO:0048365	P51149 P46940 P21333 Q03135 Q92997 Q13177 P00441
GO:0000977	P19793 P15172 O43707 O43889 Q04206 P19838 P15336 Q92793 P04637 Q13485 P15173 P84022 P08047
GO:0000978	P67809 P05412 P08047 O43889 P40763 Q15796 P42224 Q04206 P03372 P01106 Q00653 P01100 P15172 P16220 Q13485 P12757 Q9UL18 Q06330 P84022 P15173
GO:0046982	P17301 P15172 P10809 P54274 Q14683 Q04206 P05556 O00560 P29590 O14503 Q9Y6K9 P68431 P19793 P22736 Q15796 P19838 P01100 Q16594 P15173 Q9P0L0 P30153 P00533 P02652 P04637 Q13813 Q13485 Q92997 P16104 P12883 P06748 Q03135 P04049 P15336 P84022 P62258 P04626 Q92934
GO:0008022	Q59H18 P54253 P13010 Q9UKV8 Q96CV9 P04626 P35232 P00519 O95619 P08047 Q15554 O00505 Q09472 P36873 Q93009 P27348 Q03001 P98160 P12931 P35222 P31946 O60674 P98082 Q96EB6 P63167 O00560 Q96NL6 O15169
