Q6PD62	568606
Q99942	554348 568611 554356 1045383 568650
P54274	568606 554355
Q8N6Y0	554348 440185 554356
P68366	568819 568611 568650
P31749	554348 568611
Q49A88	440185
P08473	568611
Q8WZ42	1246768
Q9HAU4	554348 554356
Q9Y2R0	568606
P49792	208293 1246768 23854 440185 568611 568650
O00716	1083058 568819 568844
O75190	1246768 440185
O14558	567547
P40429	568819 440185
P63000	569661 970170 1079863 568611 569655 1045383 1282719
Q9UBB9	440185
P03897	554348
P02768	771931 568611
P16298	568611
P62979	1246768 568886 440185 568611 568866 568650
P35968	568611 568650
O00560	568886 440185 771931 568611 567547 568650
P19320	568611
Q96EB6	568611 568650
P62280	23854 440185
Q15008	568838 440185
P67809	1246768 23854 1084136 568611 554359 568650
P25786	1083058 568819 440185 568611 569655 568650
P42858	440185 1045383
O60343	1045383
P39023	569035 23854 1084136 440185 568611 568867 568650
P68104	1246768 568665 568819 568838 1283665 23854 554348 1084136 568886 374253 568844 568612 568611 227876 568867 568866 554356 568650
P27635	23854 1084136 440185 568844
P36542	569035 568838 23854 440185
P11142	569035 568819 1283665 23854 1084136 440185 568611 554356 554359 568650
Q92934	1246768 568611 1045383
Q14192	568838 440185 568844 554356
Q14807	568611 568650
Q14203	568838 374253 771931
P62891	440185
Q13561	374253
P62266	1246768 440185 568844 568611 568650
Q16637	208293 568819 568838 440185 568611 568650 772043
P17844	554348 1084136 374253 440185 568611 227876 554355 554359 568650
Q06330	568606 440185
P68032	568819
Q7Z434	568819 568838 554348 440185 554355
P30086	568611
P05412	1246768 568819 23854 554348 568611 569655 554356
Q8N3C7	554355
P06748	569035 1246768 568606 23854 554348 1084136 440185 568612 568611 567547 554355 568650
Q9HC24	554348 554356
P49821	568606
P04049	554348 1045383 568650
Q02878	568819 1084136 568886 568611 568863 569655 568867 568866 554355 568650
P07195	23854 440185
Q01844	568611 569655 568650
Q04206	440185 771931 568611 568867
Q71U36	1246768 568606 1283665 440185 568611 227876 554359 568650
P04626	568819 440185 1045383
Q9Y5V3	554348 440185 568611 567547 554356 568650
Q9Y2Q3	568819 568838
Q00987	440185 568611 568650
Q15047	568611
A5YKK6	374253 440185 1045383
P37840	1045383
P13073	568606 568611 568650
P46940	568819 1045383
P23396	1283665 23854 1084136 568611 568866 554359
P60709	568838 23854 1084136 568886 374253 440185 568611 554356 568650
Q96EY1	568819 568886 440185 227876 568866 554356
P60468	1083058 568819 568838 440185 567547
P61353	23854 568611 568650
P40763	568606 554348 554356 1045383
P02652	554348 554355
P09619	208293 568819 440185 567547
O75925	208293 568886 374253 440185 771931
P38919	568606
Q00653	440185 568611
P15880	23854 440185 568611 554359 568650
P67870	554348 440185 568611 554356 1045383 568650
O60506	1246768 554348 440185 568611 568650
Q16594	554348 568611
Q9UK41	568611 569655
O15169	554356
Q8N4V1	568611 568650
Q9UKV8	568611
Q9Y4K3	1246768 440185 568611
Q13523	568665 568611 568650
Q13526	568611 568650
Q9Y6K9	569661 1246768 568606 1079863
P78527	569035 568606 1283665 568611 568650
P62140	568606 568611
P27708	569035 568819 1283665 440185 567547
P63313	568844
P61586	569661 1079863 568611 569655 1045383 1282719
A0MZ66	440185
Q13162	1246768 568611 227876 568650
P00395	568606 568819 568866
P48047	569035 568819 568838 440185 568611 568650
Q13283	1246768 1084136 568611 569655 568650
P23497	440185 569655
Q96BK5	1045383
P61981	569035 970170 1084136 568611
P15336	569655
P16220	568611 569655
P13984	568611 568650
Q00765	568606 568819 554348 554356
O00483	1083058 568819 568838 440185 567547
P19438	568819 554348 568611 554407
P05141	569035 1246768 1283665 23854 554348 1084136 440185 568611 568867 554355 554356
O96008	568611 568650
P25705	569035 23854 1084136 440185
Q05639	1246768 1283665 23854 568611 227876
P03886	568867
P12814	568665 554348 568886 440185 771931 568611 568863 568866 554355 554356
P29372	568611 568650
