P68366	TUBA4A
P31749	AKT1
P54274	TERF1
Q8N6Y0	USHBP1
Q6PD62	CTR9
Q99942	RNF5
Q49A88	CCDC14
P08473	MME
Q8WZ42	TTN
Q9HAU4	SMURF2
Q16718	NDUFA5
Q9Y2R0	COA3
P19429	TNNI3
Q5RL73	RBM48
O00716	E2F3
O75052	NOS1AP
P48201	ATP5G3
O75190	DNAJB6
O14558	HSPB6
P40429	RPL13A
P51858	HDGF
P63000	RAC1
Q14145	KEAP1
P03891	MT-ND2
Q9UBB9	TFIP11
J3QR09	RPL19
P02768	ALB
Q6ZMI0	PPP1R21
P16298	PPP3CB
Q86UX7	FERMT3
P62979	RPS27A
P35968	KDR
O00560	SDCBP
Q16795	NDUFA9
P19320	VCAM1
P04049	RAF1
P62280	RPS11
Q15008	PSMD6
P67809	YBX1
P22736	NR4A1
P42858	HTT
O00400	SLC33A1
O60343	TBC1D4
P39023	RPL3
O95299	NDUFA10
P68104	EEF1A1
P27635	RPL10
Q9NX24	NHP2
P36542	ATP5C1
P63220	RPS21
P11142	HSPA8
Q92934	BAD
Q9Y5K8	ATP6V1D
O75380	NDUFS6
Q14192	FHL2
Q9BQ95	ECSIT
Q9Y4G8	RAPGEF2
Q96DV4	MRPL38
Q14197	ICT1
P60520	GABARAPL2
Q14807	KIF22
Q14203	DCTN1
P62891	RPL39
Q13561	DCTN2
P62266	RPS23
Q16637	SMN2
P61247	RPS3A
P17844	DDX5
P50570	DNM2
Q06330	RBPJ
P68032	ACTC1
Q7Z434	MAVS
P56134	ATP5J2
Q09013	DMPK
Q5S007	LRRK2
P30086	PEBP1
P98160	HSPG2
P57740	NUP107
P09211	GSTP1
P57678	GEMIN4
P09382	LGALS1
Q8N3C7	CLIP4
P06748	NPM1
Q9HC24	TMBIM4
P49821	NDUFV1
Q9Y375	NDUFAF1
Q96EB6	SIRT1
Q96C32	UBC
Q9BSB4	ATG101
Q02878	RPL6
P07195	LDHB
Q01844	EWSR1
Q04206	RELA
Q9BTT4	MED10
Q71U36	TUBA1A
Q15323	KRT31
P04626	ERBB2
Q15327	ANKRD1
Q9Y5V3	MAGED1
P19474	TRIM21
Q00987	MDM2
Q15047	SETDB1
O43542	XRCC3
A5YKK6	CNOT1
P37840	SNCA
P13073	COX4I1
P46940	IQGAP1
O95168	NDUFB4
O95166	GABARAP
O95163	IKBKAP
P0CG48	UBC
P60709	ACTB
P32121	ARRB2
Q96EY1	DNAJA3
P60468	SEC61B
P10916	MYL2
P61353	RPL27
O14786	NRP1
P40763	STAT3
P02652	APOA2
P09619	PDGFRB
O75925	PIAS1
P38919	EIF4A3
Q00653	NFKB2
P15880	RPS2
P17568	NDUFB7
P67870	CSNK2B
Q24JP5	TMEM132A
O60506	SYNCRIP
P55809	OXCT1
Q16594	TAF9
P84022	SMAD3
Q9UK41	VPS28
O15169	AXIN1
Q8N4V1	MMGT1
Q9UKV8	AGO2
Q9Y4K3	TRAF6
Q00005	PPP2R2B
Q13523	PRPF4B
Q13526	PIN1
Q9NRR5	UBQLN4
Q9Y6K9	IKBKG
P35609	ACTN2
P62993	GRB2
P27708	CAD
P63316	TNNC1
P62380	TBPL1
P63313	TMSB10
Q92731	ESR2
P01100	FOS
A0MZ66	SHTN1
Q13162	PRDX4
P00395	MT-CO1
P00403	MT-CO2
Q13283	G3BP1
P08590	MYL3
P23497	SP100
Q96BK5	PINX1
Q13043	STK4
Q01449	MYL7
P52566	ARHGDIB
P52564	MAP2K6
P61981	YWHAG
P15336	ATF2
Q86VR2	FAM134C
Q9UNE7	STUB1
P13984	GTF2F2
Q00765	REEP5
O00483	NDUFA4
Q02221	COX6A2
P19438	TNFRSF1A
P05141	SLC25A5
O96008	TOMM40
Q9NPC6	MYOZ2
Q9UBL3	ASH2L
Q9NYB0	TERF2IP
Q05639	EEF1A2
P03886	MT-ND1
P12814	ACTN1
P29372	MPG
Q15831	STK11
P14635	CCNB1
Q14789	GOLGB1
P00156	MT-CYB
P07996	THBS1
Q93009	USP7
Q93008	USP9X
P03905	MT-ND4
Q00610	CLTC
P03901	MT-ND4L
P35813	PPM1A
O00571	DDX3X
P19793	RXRA
P24941	CDK2
P63104	YWHAZ
Q13263	TRIM28
O43181	NDUFS4
Q9P0L0	VAPA
P13196	ALAS1
P03897	MT-ND3
P40692	MLH1
Q92733	PRCC
P00846	MT-ATP6
P29590	PML
Q9NUX5	POT1
Q13501	SQSTM1
P00533	EGFR
O00505	KPNA3
Q09472	EP300
Q15109	AGER
P04406	GAPDH
Q4ZH49	N/A
P68133	ACTA1
P24539	ATP5F1
P02751	FN1
O95831	AIFM1
P29692	EEF1D
P05976	MYL1
P20963	CD247
O75251	NDUFS7
P30153	PPP2R1A
P10606	COX5B
P55036	PSMD4
P35222	CTNNB1
P30480	HLA-B
P49748	ACADVL
P10176	COX8A
P21246	PTN
Q15038	DAZAP2
Q5U5Q3	MEX3C
P62701	RPS4X
O60674	JAK2
Q15424	SAFB
Q13573	SNW1
P50461	CSRP3
P62273	RPS29
O15239	NDUFA1
Q9NRI5	DISC1
P00441	SOD1
P54253	ATXN1
Q9H422	HIPK3
O00231	PSMD11
P47755	CAPZA2
P42677	RPS27
Q07065	CKAP4
P06732	CKM
P05556	ITGB1
P53355	DAPK1
P17020	ZNF16
P53350	PLK1
O14503	BHLHE40
Q13137	CALCOCO2
P46379	BAG6
Q15554	TERF2
Q01082	SPTBN1
Q9UI09	NDUFA12
Q9UKG1	APPL1
P46783	RPS10
P46782	RPS5
P46781	RPS9
Q8TB24	RIN3
P16144	ITGB4
Q6P597	KLC3
P37198	NUP62
P42704	LRPPRC
P54296	MYOM2
O14949	UQCRQ
P27469	G0S2
Q86X19	TMEM17
P12931	SRC
P04637	TP53
Q99459	CDC5L
Q9UMX0	UBQLN1
O75376	NCOR1
P25786	PSMA1
P09429	HMGB1
P49841	GSK3B
Q13813	SPTAN1
Q96NL6	SCLT1
P40939	HADHA
Q96CV9	OPTN
P05412	JUN
P19838	NFKB1
P09874	PARP1
P20674	COX5A
Q9H8W4	PLEKHF2
P49407	ARRB1
P31947	SFN
P31946	YWHAB
O43889	CREB3
P15104	GLUL
P25445	FAS
O95870	ABHD16A
P06396	GSN
Q9Y371	SH3GLB1
O15273	TCAP
P02792	FTL
