P12883	GO:0001725
H3BU31	GO:0005730 GO:0005634
P68366	GO:0005856 GO:0005874
Q99942	GO:0005783
P54274	GO:0000781 GO:0000784 GO:0005856 GO:0070187 GO:0005654 GO:0005730 GO:0005634 GO:0005694 GO:0005819
P08574	GO:0005634
Q6PD62	GO:0005634
P33240	GO:0005654 GO:0005634
P31749	GO:0031982 GO:0005654 GO:0005634 GO:0005911 GO:0015630 GO:0005819 GO:0005886
Q9NRR5	GO:0005783 GO:0005776 GO:0048471 GO:0031410 GO:0005634
Q9Y6H1	GO:0005634
Q92574	GO:0030426 GO:0043234 GO:0005856 GO:0048471 GO:0005938 GO:0005634 GO:0030027 GO:0005886
Q8WZ42	GO:0005634 GO:0031430
Q9HAU4	GO:0000151 GO:0005654 GO:0005634 GO:0005886 GO:0045121
P49792	GO:0031965 GO:0005634
Q5RL73	GO:0005654
P06858	GO:0009986 GO:0005615 GO:0005886
P30049	GO:0000275 GO:0005759
P30048	GO:0005759 GO:0005769
O00716	GO:0005667 GO:0005654 GO:0005634
O75052	GO:0048471 GO:0005634
O95817	GO:0043005 GO:0005886
P48201	GO:0005741
Q9UHB6	GO:0005856 GO:0005903 GO:0001725 GO:0005886
O75190	GO:0005654 GO:0048471 GO:0005634
O14558	GO:0005634
P40429	GO:0005730 GO:0005634 GO:0097452
P63000	GO:0016023 GO:0031410 GO:0005634 GO:0032587 GO:0036464 GO:0030027 GO:0005886 GO:0042470
Q14145	GO:0005783 GO:0005654 GO:0005634 GO:0030496 GO:0005884
P08575	GO:0009986 GO:0005886 GO:0045121
Q9UBB9	GO:0000784 GO:0005730 GO:0005634 GO:0071013 GO:0005681
J3QR09	GO:0005730
P02768	GO:0005783 GO:0043234 GO:0072562 GO:0031093 GO:0005634 GO:0005615 GO:0005604
P62879	GO:0031982 GO:0043234 GO:0048471 GO:0005615 GO:0044297 GO:0005886
P16298	GO:0005654 GO:0005886
P02760	GO:0072562 GO:0009986 GO:0005615 GO:0005886
Q15750	GO:0005654
P62875	GO:0005654 GO:0005634
P02766	GO:0043234 GO:0005615
P54725	GO:0000502 GO:0005634
O00560	GO:0005783 GO:0005856 GO:0072562 GO:0005634 GO:0005615 GO:0005886 GO:1903561 GO:0042470 GO:0045121
P07355	GO:0031982 GO:0043234 GO:0048471 GO:0042383 GO:0005938 GO:0005634 GO:0009986 GO:0030496 GO:0005615 GO:0005886 GO:0042470 GO:0005604 GO:0005768 GO:0005769
P09211	GO:0031982 GO:0005634 GO:0005615 GO:0005886
