P68366	GO:0000166 GO:0019899 GO:0005200
P31749	GO:0000166 GO:0019901 GO:0016301 GO:0019899 GO:0005080 GO:0042802 GO:0004674 GO:0030235
P54274	GO:0098505 GO:0043130 GO:0003677 GO:0008017 GO:0046982 GO:0042803
P08575	GO:0019901
P33240	GO:0000166 GO:0003723 GO:0003729
Q9NRR5	GO:0031593 GO:0042802
Q9Y6H1	GO:0008134
Q92574	GO:0051087 GO:0047485
Q8WZ42	GO:0000166 GO:0019901 GO:0016301 GO:0019899 GO:0002020 GO:0042805 GO:0042802 GO:0004674
Q9HAU4	GO:0046332 GO:0042802 GO:0061630
Q16718	GO:0016651
Q16740	GO:0042802
P19429	GO:0019901 GO:0019904 GO:0048306
Q5RL73	GO:0000166 GO:0003723
P30048	GO:0016209 GO:0019901 GO:0019900 GO:0008022 GO:0042802
O00716	GO:0003677 GO:0001047
O75052	GO:0050998
O95817	GO:0051087 GO:0032403
O75190	GO:0031072 GO:0003677 GO:0051087 GO:0051082
O14558	GO:0042803
P40429	GO:0003729
P63000	GO:0000166 GO:0019901 GO:0042826 GO:0019899 GO:0031996
Q14145	GO:0008134
P03891	GO:0019901
Q9UBB9	GO:0003677
P02768	GO:0016209 GO:0003677 GO:0019899 GO:0051087
P62879	GO:0032403
P16298	GO:0030346 GO:0019899
P02760	GO:0042803
P62875	GO:0003677
P02766	GO:0046982 GO:0042802
P54725	GO:0031593 GO:0003684
O00560	GO:0001948 GO:0046982 GO:0008022 GO:0042802 GO:0042803 GO:0047485
P07355	GO:0044548 GO:0003723 GO:0048306 GO:0002020
Q16795	GO:0003954 GO:0032403
P19320	GO:0005178
P23771	GO:0001077 GO:0003713 GO:0044212 GO:0003677 GO:0000987 GO:0001085 GO:0070888 GO:0008134 GO:0003682 GO:0000979
Q96EB6	GO:0003714 GO:0019904 GO:0035257 GO:0008022 GO:0019899 GO:0042802 GO:0008134 GO:0002039
P62280	GO:0003723
P67809	GO:0001077 GO:0003677 GO:0003723 GO:0000978 GO:0003690 GO:0008134 GO:0003682 GO:0002039 GO:0003729
P25786	GO:0003723
P42858	GO:0044325 GO:0048487 GO:0042802 GO:0008134 GO:0002039
P39023	GO:0003723
P09651	GO:0000166 GO:0098505 GO:0003723 GO:0003727
Q99523	GO:0019899
Q6PD62	GO:0000993 GO:0042169
Q08431	GO:0005178
P68104	GO:0000166 GO:0019901
O15514	GO:0000166
Q9NX24	GO:0034513 GO:0070034 GO:0003723
P63220	GO:0047485
P11142	GO:0000166 GO:0031072 GO:0019899 GO:0051082 GO:0031625
Q92934	GO:0030346 GO:0019901 GO:0019903 GO:0043422 GO:0046982
P34897	GO:0042802 GO:0003682
P02511	GO:0008017 GO:0051082 GO:0042802 GO:0042803
Q14197	GO:0043022
P60520	GO:0051117 GO:0048487 GO:0008017 GO:0031625
