GO:0051428	Q06124 O60674 P06241 P01160
GO:0001077	P67809 P15336 P51692 P05412 P08047 P22736 O43889 P40763 Q15796 Q04206 P03372 P15884 P01106 Q00653 P01100 P04637 P16220 Q13485 P23771 Q06330 P15173
GO:0030346	Q9NPC6 P16298 Q92934 P00441
GO:0031593	Q9UMX0 Q9UBN7 Q96CV9 Q9NRR5 P54725 P46379
GO:0044325	P23327 Q13642 P35609 Q04917 P12814 P04156 P42858 Q01484 O15273 P27348 P08238 Q5S007 P49407 Q13557 P35222 P21796 P12931 P62158 O43707 P62258 Q03135 P06241
GO:0003714	O75376 P31946 Q13263 P06733 Q9UER7 Q9Y6X8 Q13573 Q96EB6 P27695 Q99816 Q15327 P24385 O14503 P23497 P12757 O75925
GO:0003713	Q92731 Q9Y5V3 Q92793 P61457 P23771 Q16594 P19793 Q09472 Q12824 P62380 P17844 Q99497 P51610 O75925 Q93062 Q00653 P35222 P23497 O00151 P15172 P06748 Q9Y3C7 P05412 Q13263 Q13573 P15336 P27695 P29590
GO:0000166	P51149 P51148 P68366 P31749 P51668 Q13523 P33240 P07900 P78527 Q8WZ42 Q9H832 P15104 P27708 Q13283 Q5RL73 P60953 Q13043 O15530 P52564 Q06187 P68400 Q9BQE3 P63000 P13984 Q59H18 Q13177 Q9UBU9 O94832 Q9Y295 P19525 P25705 Q05639 Q9UHI6 Q16654 Q16659 Q15831 O95758 Q99832 O96017 P09651 O00571 P24941 P12883 Q13557 P35579 P68104 O15514 P11142 P42345 Q15904 P10809 P51965 H0YH81 Q14807 P00533 Q16540 P51451 Q13315 Q13418 P68133 Q9UG63 P17844 P50570 Q14683 P68032 Q32P51 P06493 Q09013 P08238 Q5S007 P30086 Q15058 O75643 P62820 Q00839 A2RTX5 P06576 P51858 O60674 Q16539 Q15424 P04049 P28340 Q01844 P62837 P10398 Q9H422 Q92614 Q71U36 P06732 P04626 P53350 P11802 O43542 Q92900 Q8NB16 P26599 P63279 P61586 P60709 Q6DD88 P13639 P68371 P04183 Q9UHD2 P09619 P31751 P12931 P38919 P00519 P06241 O60506 P49841 P01116 P11021 P43246 K7ERT8 Q93062
GO:0034513	Q9NPE3 Q9NX24 O60832
GO:0051117	P26678 P23297 P03372 Q16594 P15311 P23327 Q01484 P60520 Q03135
GO:0016209	Q13162 P02768 P02649 P30048 P63302 P00441
GO:0051059	P60900 P23396 Q04206 P27695 Q92769 P49841 Q96EY1 P06748
GO:0046332	Q92793 Q6ZNA4 P21333 Q9HAU4 Q15796 Q9Y4E8 P98082 Q13573 P35222 P29590 Q9UNE7 P12757 P84022 O15169
GO:0019900	Q9UMX0 Q15628 Q16543 P21333 P30048 Q9UNE7 P25445 P23396 Q9UNI6 Q03135 P12931 P05556 P35222 P08238 P23497 P07195 P14136 Q99497
GO:0019903	P00533 P62993 P46940 P63244 P40763 Q16539 Q14764 P36873 P51692 P04626 P04637 P35222 Q8TEW0 Q92934
GO:0019904	O94832 Q71U36 P05556 O14503 Q9Y6K9 Q96EB6 P35609 A5YKK6 P37840 Q06124 P19793 P31947 P46940 Q9UHI6 P15311 P06396 P36873 Q04917 P12757 O75376 P63104 P27348 P19429 P00519 P12931 P62993 P23497 Q8N137 P11021 P31946 P67870 P32121 P35579 P13473 P62158 P61981 Q9P0L0 P63167 P62258 P42345 O15169
GO:0098505	P54274 P09651 Q9NYB0 Q9NUX5 Q15554
GO:0044212	P37840 O43829 P49407 O75376 P05412 P08047 P40763 P16220 Q04206 P19838 Q16594 P01100 P04637 P35232 Q13485 P35222 P23771 Q9UL18 Q9UBL3 P84022
GO:0044548	P15311 P23297 P46940 P07355 Q15109
GO:0051219	P37840 P49407 P31947 P31946 Q9UHD2 P12931 P62258 P42345
GO:0070034	Q96BK5 Q9NPE3 Q9NX24 O60832 Q00839
GO:0043130	Q9UBN7 P54274 Q9UK41 Q96FW1 Q99816 P37198 P04792 Q13501 P84022
GO:0051787	Q9UNE7 P11021 Q9UBN7 P10809 P46379
GO:0000993	Q6PD62 Q9UL18 Q9H7B4 Q9UKV8 Q6P1J9
GO:0031072	Q16543 Q09013 Q9UER7 P19838 O75190 Q07812 Q92769 P11142 P29692 Q96EY1
GO:0048487	P37840 Q9H6U6 Q9UBN7 P42858 O95166 P60520 Q9H0R8 P42704
GO:0003677	P54274 Q13485 P10412 P05204 P78527 Q9UBL3 O43889 Q12824 Q9Y6X8 P62380 P23396 Q13283 O75925 O00716 P23497 P16104 O75190 Q9UJ41 P16220 P15336 Q8IXK0 P13984 Q9UBB9 P05067 P02768 P42224 P62875 Q92793 P23771 Q9NYB0 P67809 P29372 Q9UHI6 P19838 P03372 Q99816 Q9BWH6 O43829 Q14807 O94842 O14862 O95602 O00571 P51692 Q9Y3C5 P05412 Q13263 Q7Z3K3 P84022 Q04864 P42229 Q92731 P29590 Q9NUX5 Q8N9N5 P19793 Q09472 Q13315 O95831 P29692 Q06330 Q9NVV9 P35222 P09874 P15172 P15173 Q00839 Q16531 P51858 Q15424 P68431 P27695 Q02878 P28340 P54253 P08047 Q92614 P42677 Q04206 P06733 P17020 Q15327 P78549 O14503 P19474 Q15047 O43542 Q15554 Q92900 P00519 Q15796 Q9UGN5 P01106 P01100 P42704 Q7Z6Z7 P40763 P15884 Q00653 P04637 Q99459 O75376 P22736 Q16594 P09429 Q969G2 P12004 P43246
GO:0043422	P32121 Q9UKG1 Q9Y4K3 Q92934
GO:0000987	P08047 Q92793 Q13485 P23771 P84022 P15173
GO:0043022	P08865 P11021 K7EQM4 Q14197 P60468 P61619 P13639 P42345 P46379
GO:0042826	O75376 Q9UBN7 P08047 Q9UHI6 P08238 P62258 Q04206 Q9Y4K3 Q15327 P24385 P35232 P09874 P07900 P63000 P31946
GO:0003723	P54253 O95793 Q6P2Q9 P07355 Q9UKV8 H0YEN5 Q9UBU9 Q15424 P60900 O00567 P33240 O95758 P62424 P19474 P30050 P62913 P62280 Q02543 P67809 Q92900 P62891 P25786 Q16540 Q9UL18 P46782 P46781 P26373 Q16637 P36578 P62263 P42704 P62249 P17844 Q99497 P13639 P26599 P62269 P62906 Q32P51 P39023 P83731 P46777 P19525 P23396 Q13283 P49792 Q5RL73 Q93062 P09651 P38919 P15880 O60832 Q99459 P61247 P06748 Q00839 Q5U5Q3 O60506 P52815 P62701 Q9HCK5 Q9NX24 O00571 P62888 P62487 P27695 Q02878 Q01844
GO:0030957	Q12824 Q9H0R8 P60709 P06748
GO:0008017	Q9UBN7 P54274 P04406 P05109 P53350 P60520 P25054 Q14807 P37840 Q9H492 P04156 Q9BYV2 O95166 Q6P597 P42704 P50570 P02511 P23396 Q5S007 Q15058 Q9GZQ8 Q92597 Q9P0L0 P15311 H7C4C5
GO:0016301	Q59H18 Q16539 P31749 Q13177 P06732 Q13523 P04626 P53350 P19525 Q9H422 P11802 P78527 Q8WZ42 P00533 P00519 Q16654 P51451 Q13315 P14635 Q13418 Q9BRR6 H3BR70 P68400 O96017 P06493 Q09013 Q15831 P04183 Q9UHD2 Q5S007 P09619 P31751 P12931 P24941 H0Y4J6 Q13043 O15530 Q13557 P52564 Q06187 O60674 P10398 P04049 P49841 P24385 P06241 Q16659 P42345
GO:0035257	O75376 Q09472 Q9H6U6 Q13573 Q96EB6 P35222 O43707 P15172
GO:0008013	P12830 Q9UBN7 Q09472 P49023 P03372 P49841 P25054 Q13526 Q9UBL3 Q92997 P49768 P84022 O15169
GO:0050815	Q13526 P31946 P62258
GO:0001085	Q09472 P35222 Q15327 P04637 Q13485 P49841 P23771 Q92793
GO:0051539	P49821 O75251 P28331 O75306 Q99798 P78549 P28340 O00217
GO:0048365	P51149 P46940 P21333 O14640 Q03135 Q92997 Q13177 P00441
GO:0000978	P67809 P05412 P08047 O43889 P40763 Q15796 P42224 Q04206 P03372 P15884 P01106 Q00653 P01100 P15172 P16220 Q13485 P12757 Q9UL18 Q06330 P84022 P15173
GO:0046982	P17301 P10809 P54274 Q14683 Q04206 P02766 P05556 Q13813 O00560 P29590 O14503 Q9Y6K9 Q04917 P15336 P19793 P22736 Q15796 Q16659 Q15102 P19838 P01100 P15172 P15173 Q9P0L0 P68431 P30153 P00533 P02652 Q13485 P15884 Q9Y6X8 P04637 Q03135 O00267 Q92997 P16104 P12883 P06748 Q07812 P04049 Q16594 O75955 P84022 P62258 P04626 Q92934
GO:0016829	P40939 Q9P035 J3KPS3 P27695 P30084 P61457 H3BU78 P06733 P09429 Q99798 P15104 P05093 O95470 P78549 P23396
GO:0008022	Q59H18 P54253 Q99623 P08047 Q9UKV8 Q96CV9 P04626 P35232 P00519 P36873 Q15554 O00505 Q09472 P63167 Q66GS9 Q93009 P27348 Q03001 P98160 P12931 P30048 P35222 P31946 P15884 P38432 O60674 Q16539 P98082 Q96EB6 P50542 P08670 O00560 Q96NL6 P43246 O15169
GO:0033613	P05412 Q09472 Q15796 Q04206 Q16594 Q92793 P29692
GO:0048306	P23297 P25815 A5D8V6 P19429 P62158 O94832 Q99816 P63316 P07355 P26447 P17844
GO:0019899	P05067 P02768 P68366 P16298 Q92731 Q16539 P42224 Q04206 O00267 P40337 Q9UNE7 P35232 P60484 P31749 Q00987 P78527 Q8WZ42 P00533 Q99523 P31946 P27708 Q9UBN7 P03372 Q92769 P63279 P24752 Q04917 P17844 P50570 P62258 P12004 P37840 Q9UER7 Q9P035 Q01484 P23396 P30086 O75925 P02647 P12931 P19793 P15880 P04637 Q03135 P09874 P05412 P16104 Q15051 P15172 Q99497 P11021 P32121 P43246 P13473 P63244 P16220 Q9Y383 P63000 Q96EB6 P50542 P63167 P24385 P11142 P35222 O14640 P00441 P84022 O15169
GO:0031490	P19793 Q09472 P40763 P10412 Q04206 P27695 P15172 O43707 P84022 P15173
GO:0070888	P15884 P01106 O14503 P23771 P15172 P15173
