P40692	H00020 H00026 H00027
Q07812	H00020
P04626	H00019 H00026 H00027 H00031
Q16795	H01354
P60484	H00026 H00031 H00048
O75489	H01354
O00217	H01354
P12830	H00031 H00048
P00533	H00016
Q9UI09	H01354
Q15796	H00020
P01106	H00016 H00027 H00031
P42704	H01354
O43678	H01354
O75251	H01354
Q15831	H00019
P40763	H00016
P35222	H00020 H00026 H00048
P04637	H00019 H00020 H00016 H00026 H00027 H00031 H00048
Q13485	H00019 H00020
O43181	H01354
P01116	H00019 H00020 H00016 H00026 H00027 H00048
P24385	H00016 H00031
O95299	H01354
P43246	H00020 H00027
O15169	H00048
