R-HSA-2559585	Oncogene Induced Senescence
R-HSA-2559580	Oxidative Stress Induced Senescence
R-HSA-2467813	Separation of Sister Chromatids
R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint
R-HSA-5676590	NIK-->noncanonical NF-kB signaling
R-HSA-6804757	Regulation of TP53 Degradation
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1
R-HSA-180534	Vpu mediated degradation of CD4
R-HSA-5627123	RHO GTPases activate PAKs
R-HSA-5610783	Degradation of GLI2 by the proteasome
R-HSA-5625740	RHO GTPases activate PKNs
R-HSA-3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production
R-HSA-4641258	Degradation of DVL
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
R-HSA-111447	Activation of BAD and translocation to mitochondria
R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C
R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer
R-HSA-69541	Stabilization of p53
R-HSA-977225	Amyloid fiber formation
R-HSA-209560	NF-kB is activated and signals survival
R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21
R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity
R-HSA-933542	TRAF6 mediated NF-kB activation
R-HSA-202424	Downstream TCR signaling
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA
R-HSA-5687128	MAPK6/MAPK4 signaling
R-HSA-2173788	Downregulation of TGF-beta receptor signaling
R-HSA-180585	Vif-mediated degradation of APOBEC3G
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation
R-HSA-4641257	Degradation of AXIN
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling
R-HSA-1445148	Translocation of GLUT4 to the plasma membrane
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
R-HSA-5205685	Pink/Parkin Mediated Mitophagy
R-HSA-1169091	Activation of NF-kappaB in B cells
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1
R-HSA-69481	G2/M Checkpoints
R-HSA-5632684	Hedgehog 'on' state
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin
R-HSA-445989	TAK1 activates NFkB by phosphorylation and activation of IKKs complex
R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
R-HSA-195253	Degradation of beta-catenin by the destruction complex
R-HSA-1912408	Pre-NOTCH Transcription and Translation
R-HSA-5621575	CD209 (DC-SIGN) signaling
R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A
R-HSA-5626467	RHO GTPases activate IQGAPs
R-HSA-1227986	Signaling by ERBB2
R-HSA-5607764	CLEC7A (Dectin-1) signaling
R-HSA-5218920	VEGFR2 mediated vascular permeability
R-HSA-69229	Ubiquitin-dependent degradation of Cyclin D1
