Q6PD62	CTR9
P31749	AKT1
Q8WV48	CCDC107
P54274	TERF1
Q8N6Y0	USHBP1
P08574	CYC1
P08575	PTPRC
P33240	CSTF2
Q99942	RNF5
Q49A88	CCDC14
Q92574	TSC1
Q8WZ42	TTN
Q9HAU4	SMURF2
Q16718	NDUFA5
Q9Y2R0	COA3
P19429	TNNI3
Q5RL73	RBM48
P60411	KRTAP10-9
P06858	LPL
P30049	ATP5D
P30048	PRDX3
O00716	E2F3
O75052	NOS1AP
O43829	ZBTB14
P48201	ATP5G3
Q9UHB6	LIMA1
O75190	DNAJB6
O14558	HSPB6
P40429	RPL13A
P51858	HDGF
P63000	RAC1
Q14145	KEAP1
P03891	MT-ND2
P13196	ALAS1
P03897	MT-ND3
P02768	ALB
P62879	GNB2
Q6ZMI0	PPP1R21
P16298	PPP3CB
P02760	AMBP
Q15750	TAB1
P62875	POLR2L
P02766	TTR
O00567	NOP56
O00560	SDCBP
P07355	ANXA2
Q16795	NDUFA9
P19320	VCAM1
P23771	GATA3
Q96EB6	SIRT1
P62280	RPS11
Q15008	PSMD6
P67809	YBX1
P25786	PSMA1
P25787	PSMA2
P25788	PSMA3
O00400	SLC33A1
O60343	TBC1D4
Q7Z3S9	NOTCH2NL
P07900	HSP90AA1
P39023	RPL3
O60506	SYNCRIP
P09651	HNRNPA1
Q9H832	UBE2Z
P31946	YWHAB
P68104	EEF1A1
P27635	RPL10
O15514	POLR2D
Q9NX24	NHP2
P36542	ATP5C1
P63220	RPS21
Q9P2H0	CEP126
P11142	HSPA8
Q92934	BAD
Q9Y5K8	ATP6V1D
Q13011	ECH1
O75380	NDUFS6
P34897	SHMT2
Q9BQ95	ECSIT
Q9Y4G8	RAPGEF2
Q96DV4	MRPL38
Q14197	ICT1
P60520	GABARAPL2
P60484	PTEN
Q8N9N5	BANP
Q14203	DCTN1
P62891	RPL39
P51451	BLK
Q13561	DCTN2
P62266	RPS23
Q16637	SMN2
P61247	RPS3A
P17844	DDX5
P50570	DNM2
Q06330	RBPJ
P62269	RPS18
Q7Z434	MAVS
P56134	ATP5J2
Q09013	DMPK
P30084	ECHS1
Q5S007	LRRK2
P30086	PEBP1
Q09019	DMWD
