GO:0008022	P12931 P04626 P08047 P16615
GO:0019899	Q12933 P05412 P08887 P16615 P12931 P17252 Q03135
GO:0031730	P40763 P23458
GO:0044325	P12931 P08238 P06241 P62158 Q03135
GO:0031435	Q12933 Q9Y4K3
GO:0004715	P12931 P23458 P06241
GO:0004713	P12931 P23458 P06241 P04626
GO:0032403	P12931 Q12933 P06241 P49755 Q13546
GO:0042826	P08238 P08047 Q9Y4K3
GO:0042802	O96017 Q12933 P62993 P05412 P40763 Q9Y4K3 Q13546 O15455 P04626 P01375 Q03135
GO:0016301	O96017 P23458 P17252 Q13546 P12931 P04626 P06241
GO:0044212	P40763 P05412 P08047 P01375
GO:0030235	P08238 P62158
GO:0019901	O96017 Q12933 P62993 P40763 P08238 P62158 Q9Y4K3 P12931 Q13114 Q03135
GO:0019900	P12931 P08238 Q03135
GO:0019903	Q12933 P23458 P62993 P40763 Q13114 P04626
GO:0005164	Q12933 Q13114 Q9NZ08 Q9Y4K3 P01375
GO:0071837	P05412 P08047
GO:0050998	Q03135 P62158
GO:0031625	O96017 Q12933 P23458 Q13114 Q9Y4K3 Q13546
GO:0031996	Q12933 Q13114 P62158 Q9Y4K3
GO:0070851	P12931 P06241
GO:0046875	P12931 P62993 P06241
GO:0005515	Q13114 P08047 P19438 Q9Y4K3 P17020 P35579 P62993 Q13546 P05412 Q9H2H9 P02795 P62269 O96017 Q13007 P40763 P08238 P49755 P12931 P51681 Q9NZ08 O15260 P78556 Q15311 Q12933 P23458 O15455 P0CG48 P08887 P04626 P62158 P16615 P01375 Q03135 P06241 P17252
GO:0005102	P12931 Q03135 P23458 P06241 Q12933
