GO:0019221	cytokine-mediated signaling pathway
GO:0007596	blood coagulation
GO:0034351	negative regulation of glial cell apoptotic process
GO:0044281	small molecule metabolic process
GO:0007166	cell surface receptor signaling pathway
GO:0007167	enzyme linked receptor protein signaling pathway
GO:0045785	positive regulation of cell adhesion
GO:0000165	MAPK cascade
GO:0007179	transforming growth factor beta receptor signaling pathway
GO:0035666	TRIF-dependent toll-like receptor signaling pathway
GO:0031295	T cell costimulation
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
GO:0042127	regulation of cell proliferation
GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway
GO:0007173	epidermal growth factor receptor signaling pathway
GO:0030168	platelet activation
GO:0031666	positive regulation of lipopolysaccharide-mediated signaling pathway
GO:0002376	immune system process
GO:1903140	regulation of establishment of endothelial barrier
GO:0007165	signal transduction
GO:0051023	regulation of immunoglobulin secretion
GO:0071902	positive regulation of protein serine/threonine kinase activity
GO:0051222	positive regulation of protein transport
GO:0042981	regulation of apoptotic process
GO:0070102	interleukin-6-mediated signaling pathway
GO:0042060	wound healing
GO:0012501	programmed cell death
GO:0034142	toll-like receptor 4 signaling pathway
GO:0048011	neurotrophin TRK receptor signaling pathway
GO:0048010	vascular endothelial growth factor receptor signaling pathway
GO:0002756	MyD88-independent toll-like receptor signaling pathway
GO:0086098	angiotensin-activated signaling pathway involved in heart process
GO:0007250	activation of NF-kappaB-inducing kinase activity
GO:0070374	positive regulation of ERK1 and ERK2 cascade
GO:0097300	programmed necrotic cell death
GO:2000304	positive regulation of ceramide biosynthetic process
GO:0016310	phosphorylation
GO:0033209	tumor necrosis factor-mediated signaling pathway
GO:0043406	positive regulation of MAP kinase activity
GO:0007411	axon guidance
GO:0008543	fibroblast growth factor receptor signaling pathway
GO:0046777	protein autophosphorylation
GO:0036289	peptidyl-serine autophosphorylation
GO:0071803	positive regulation of podosome assembly
GO:0007254	JNK cascade
GO:0071375	cellular response to peptide hormone stimulus
GO:0038083	peptidyl-tyrosine autophosphorylation
GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway
GO:0002026	regulation of the force of heart contraction
GO:0002224	toll-like receptor signaling pathway
GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
GO:0002223	stimulatory C-type lectin receptor signaling pathway
GO:0008286	insulin receptor signaling pathway
GO:0070266	necroptotic process
GO:0010939	regulation of necrotic cell death
GO:0038095	Fc-epsilon receptor signaling pathway
GO:0051092	positive regulation of NF-kappaB transcription factor activity
GO:0071363	cellular response to growth factor stimulus
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage
GO:0042493	response to drug
GO:0071560	cellular response to transforming growth factor beta stimulus
GO:0045944	positive regulation of transcription from RNA polymerase II promoter
GO:0098909	regulation of cardiac muscle cell action potential involved in regulation of contraction
GO:0000186	activation of MAPKK activity
GO:0034138	toll-like receptor 3 signaling pathway
GO:0097190	apoptotic signaling pathway
GO:0050900	leukocyte migration
GO:0043507	positive regulation of JUN kinase activity
GO:0002726	positive regulation of T cell cytokine production
GO:0001525	angiogenesis
GO:0070555	response to interleukin-1
GO:0043066	negative regulation of apoptotic process
GO:0071550	death-inducing signaling complex assembly
GO:0043068	positive regulation of programmed cell death
GO:1901844	regulation of cell communication by electrical coupling involved in cardiac conduction
GO:0045087	innate immune response
GO:0006915	apoptotic process
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway
GO:0051403	stress-activated MAPK cascade
GO:0007265	Ras protein signal transduction
GO:0007264	small GTPase mediated signal transduction
GO:0036016	cellular response to interleukin-3
GO:0016032	viral process
GO:0097296	activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
GO:0001934	positive regulation of protein phosphorylation
