R-HSA-1059683	P40763 P08887 P23458
R-HSA-5668541	Q12933 Q13114 P0CG48 P01375
R-HSA-937072	O15455 P0CG48 Q9Y4K3
R-HSA-937041	O15455 P0CG48 Q9Y4K3 Q13546
R-HSA-5602571	Q13114 O15455
R-HSA-5357905	P19438 P0CG48 P01375 Q13546 Q12933
R-HSA-140534	Q12933 O15455 Q13546
R-HSA-5357956	P19438 P0CG48 P01375 Q13546 Q12933
R-HSA-5675482	Q12933 P0CG48 Q13546
R-HSA-1227986	P12931 P04626 P06241 P0CG48
R-HSA-75893	P19438 P01375 Q13546 Q12933
R-HSA-5357786	P19438 P01375 Q13546 Q12933
R-HSA-936964	Q13114 P0CG48 O15455
