Q13114	TRAF3
P08047	SP1
P19438	TNFRSF1A
Q9Y4K3	TRAF6
O15260	SURF4
P49755	TMED10
P35579	MYH9
P62993	GRB2
Q02127	DHODH
Q13546	RIPK1
O00400	SLC33A1
P05412	JUN
Q9H2H9	SLC38A1
P17020	ZNF16
P02795	MT2A
P62269	RPS18
O96017	CHEK2
P03905	MT-ND4
Q13007	IL24
P40763	STAT3
P08238	HSP90AB1
P12931	SRC
O15455	TLR3
Q9NZ08	ERAP1
Q03135	CAV1
P78556	CCL20
Q15311	RALBP1
Q12933	TRAF2
P23458	JAK1
P51681	CCR5
P0CG48	UBC
P08887	IL6R
P04626	ERBB2
P62158	CALM3
P16615	ATP2A2
P01375	TNF
P00846	MT-ATP6
P06241	FYN
P17252	PRKCA
