GO:0000983	Q9UBP5 P61244 P84022
GO:0008022	P27348 Q02750 P31946 P01112 P43246 O60674 P31146 P67775 Q96EB6 P08670 P35222 P04626 O15169 Q09472
GO:0033613	P56524 P05412 Q09472 Q92793
GO:0030971	Q02297 P29353 P19174 P61981 P16333 Q12891 P04637
GO:0050681	P06400 Q09472 P27797 Q14192 P35222 Q16512 O60341 Q99497
GO:0005168	P29353 P27986 P62993 P19174
GO:0019899	P05067 P31749 Q12891 Q92731 P06400 P10275 P60484 Q00987 P78527 P45983 Q8WZ42 P00533 P31946 Q9UPT9 O60341 Q04917 P21817 P35222 P04637 Q99497 Q12933 P05412 P07947 P16220 Q96EB6 Q03135 P43246 P84022 O15169
GO:0001228	Q09472 P40763 P25791 P15336 Q92793 P04637 Q06330
GO:0001077	Q99814 P05412 P40763 P16220 Q15319 Q00653 P15336 P10275 P01106 Q00059 P04637 Q13469 Q06330
GO:0035257	P35222 Q09472 Q13573 Q96EB6
GO:0003677	P05067 Q9Y2S7 Q8N9N5 P54274 Q92731 Q99459 P27797 P01106 Q9NPA5 P10275 Q92793 Q9NUX5 Q15047 Q9NYB0 P06400 P61244 Q09472 P49639 Q04837 P19838 P21580 P78527 Q99814 Q86YC2 Q99816 P49790 O60341 Q06330 Q12888 P41218 P40763 P56524 Q9UBC3 Q15319 Q00059 P35222 P23025 P04637 Q9UBP5 Q13469 Q12778 O75190 Q16531 P05412 Q8N8B7 O95863 P16220 P14373 P15336 P09429 Q00653 P84022 P39880 P43246 Q7Z3K3 Q9UBB9 P47974
GO:0044325	Q04917 P27348 P08238 Q5S007 P62158 P07947 P35222 Q03135
GO:0070491	P09429 P56524 P35222 P01106 Q99497
GO:0001948	Q9UP52 P08670 Q5S007 P20936 P27797
GO:0043565	Q12888 P05412 P04637 P49639 O95863 P16220 P19838 Q06330 P15336 P10275 Q15319 P40763 P39880 Q92731 Q9UBP5 Q13469 Q12778 P61244 P84022
GO:0045340	P02751 Q99497
GO:0043560	P42336 P27986 P62993 O60674 P06213
GO:0044212	P05412 P40763 P16220 P19838 P10275 P35222 P04637 Q13469 O60341 P84022
GO:0043548	P27986 O60674 P62158 P31146 P06213 O75553
GO:0003714	Q9UBC3 Q04724 P31946 O00422 P56524 Q15637 Q13573 Q96EB6 Q99816 P17980
GO:0003713	P06400 Q14192 P05412 Q09472 Q92905 Q00653 Q92731 Q9UPT9 Q93062 Q13573 P15336 P17980 P35222 Q92793 Q9Y5V3 P61244 Q99497
GO:0003712	Q02297 Q09472 P16220 P62195 Q92793 Q15645 P61244
GO:0004716	P00533 P04626 P06213
