GO:0090090	P25054 P25788 O14641 Q9BRK4
GO:0070914	Q16531 Q96EB6
GO:0051439	P25788 Q13616 P53350
GO:0051437	P25788 Q13616 P53350
GO:0030178	P25054 Q9BRK4 P63244
GO:0007049	P63244 Q5XUX0 P53350 Q9BRK4 P68400 Q9NR09
GO:0000381	Q9NWB1 Q13627 O43251
GO:0043065	P25054 Q15714 P05412 Q96EB6 P63244
GO:0048511	Q96EB6 P68400 Q92793 P63244
GO:0043066	Q15714 P05412 P25788 Q96EB6 Q92845 P53350 P25054 Q16531 Q9NR09
GO:0042127	P05412 Q9NR09 O43251 Q96EB6
GO:0008285	P25054 Q9BRK4 Q92845 P05412 Q13616
GO:0007623	Q13627 P05412 Q13616 Q96EB6
GO:0000278	P25788 Q13627 Q13616 P63167 P53350 P68400
GO:0006915	P63244 P25788 Q13616 Q96EB6 P63167 P25054 P68400 Q9NR09
GO:0031145	P25788 Q13616 P53350
GO:0006974	P25054 Q9BQ83 Q16531 Q5XUX0 Q96EB6
GO:0043518	Q13627 Q96EB6
GO:0051726	P25054 P05412 P53350 P63244
GO:0016055	P25054 Q9BRK4 Q16531 P68400 O14641
GO:0016567	Q16531 Q13616 Q96EB6 Q5XUX0 P53350 Q9NR09
GO:0016032	P62993 P63244 P25788 Q13616 Q96EB6 P63167 Q16531 Q92793
GO:0007091	P25054 P53350
