GO:0035631	Q12933 Q9Y4K3 Q13490
GO:0032044	O00267 P63272
GO:0030426	P05067 Q16643 Q12929 Q5S007 P62158 P10909 Q8WX93 P49768 P23471 P25054 P49841
GO:0030425	P67809 Q99523 P09917 P08758 Q16643 Q5S007 P42858 O00555 P10276 Q12983 P17655 P02649 P49768 P23471 Q9UQF2 P25054 P49841
GO:0005789	P09601 P41222 Q99942 P04114 P49755 Q9NQC3 Q15041 Q03518 P00533 Q99523 Q15382 O43889 Q9NRR5 P37268 P20073 Q96GF1 P60953 P49768 Q9NX47 Q12772 Q9NZ42 P18031 Q9Y5U4 Q9UQF2 Q03135 P45844
GO:0030139	P02647 P00533 P32121 P61020 O95477
GO:0016323	P00533 P49407 P29972 P32121 P08238 Q03135 P35222 P01130 O75955
GO:0035267	Q9Y265 Q9Y230 O96019 Q92993
GO:0036488	P35638 P17676
GO:0005925	Q63HR2 P49023 P08631 P30101 Q14192 P07947 P17655 P05106 P00533 P12814 P31946 P21333 P06756 P17948 Q15942 P13612 P18084 O94875 P60953 P35222 Q03135 P23528 P61247 P17813 P05556 Q14145 P08670 P21980 O75955 P08758 P62258 Q9Y490 Q8WX93
GO:0030054	Q63HR2 P49023 P08631 P05556 Q07817 P25054 P05106 P12814 Q92905 Q12929 Q15942 Q5S007 P16284 P35222 Q9NRD5 P61224 Q16643 Q9UI14 P21579 Q8WX93 O94875 Q9Y490 P49768
GO:0008180	P19174 Q7L5N1 P62993 O43561 Q92905
GO:0005856	P54274 P08631 Q15834 P07947 Q07817 O43353 P25054 Q13137 P12814 P21333 Q9BYV2 P04406 P49023 Q15942 O43597 P29074 P60953 P12931 P35222 Q9NRD5 Q9Y3P9 Q9GZQ8 P09493 P23528 Q08379 Q96MT8 P27816 P62158 Q3KQU3 O43586 Q8WX93 P08670 Q9P2H0 Q9Y490 Q9Y265 O15265 Q9Y613
GO:0030666	P0CG48 Q8WTV0 Q13555 Q9NRD5 Q03135 Q00987
GO:0031982	P31749 P14618 Q12929 P62158 P30533 P31751 P04406 P20073 O43353 P23528
GO:0031093	P05067 P12814 P04275 P04196 P10909 P02671 P02751 P01023
GO:0005730	P41220 P09601 P54274 Q9Y4K3 Q9UQ80 Q12789 Q9NQT4 P55345 Q00987 P62993 Q9Y3B2 P21333 Q13829 Q9UGN5 Q9UER7 Q9NRX1 Q15648 P07858 Q01780 P61247 Q92993 Q15393 P68104 P38432 O15265 Q01844
GO:0031410	P05067 O60493 Q96AW1 Q96CV9 Q9UHC9 P08631 P02647 P10909 P05556 P49755 P60520 Q13137 P49407 Q9ULC3 Q92905 P18031 Q9NRR5 Q5S007 P49768 Q12772 Q03135 Q9GZQ8 Q8IUH5 P32121 Q9UMX0 Q9UI14 P21579 O75955 Q07817 Q9Y328
