P09601	hsa04066 hsa05206
P04275	hsa04611 hsa04512 hsa04510 hsa04151
Q15942	hsa04510
Q9Y4K3	hsa04010 hsa04380 hsa05142 hsa05169 hsa05145 hsa04621 hsa05200 hsa05160 hsa04722 hsa04064 hsa05222
P17655	hsa04510 hsa04210 hsa05010
O43586	hsa04621
P31749	hsa04611 hsa04068 hsa05212 hsa05213 hsa05210 hsa04010 hsa05214 hsa05215 hsa04510 hsa04380 hsa04066 hsa04728 hsa04062 hsa04922 hsa05142 hsa05169 hsa05145 hsa04211 hsa04210 hsa05166 hsa04933 hsa05161 hsa05220 hsa05211 hsa04370 hsa05205 hsa05200 hsa04662 hsa04014 hsa04012 hsa05221 hsa04915 hsa04668 hsa04919 hsa04931 hsa04932 hsa04151 hsa04660 hsa05160 hsa04015 hsa04722 hsa04917 hsa05222
P03372	hsa05205 hsa04915 hsa04919 hsa04917
P49407	hsa04010 hsa04062
P62993	hsa04068 hsa05213 hsa04010 hsa05214 hsa05215 hsa04510 hsa04380 hsa04062 hsa05161 hsa05220 hsa05211 hsa05205 hsa05206 hsa05203 hsa05200 hsa04912 hsa04662 hsa04014 hsa04012 hsa05221 hsa04915 hsa04151 hsa04660 hsa05160 hsa04722 hsa04917
P31946	hsa05169 hsa05161 hsa05203 hsa04151
P14618	hsa04922 hsa05203
O43889	hsa05215 hsa04728 hsa04925 hsa04922 hsa04211 hsa05161 hsa05203 hsa04915 hsa04668 hsa04931 hsa04151
P35443	hsa04512 hsa04510 hsa04151
P25445	hsa04010 hsa05142 hsa04210 hsa05161 hsa05205 hsa05200 hsa04668 hsa04932 hsa05010
P01130	hsa04925 hsa05145 hsa05160
P13612	hsa04670 hsa04512 hsa04510 hsa04151
P53779	hsa04068 hsa05212 hsa05210 hsa04010 hsa04510 hsa04380 hsa04728 hsa05142 hsa05169 hsa05145 hsa04933 hsa04310 hsa05161 hsa05120 hsa04621 hsa05200 hsa04912 hsa04014 hsa04012 hsa04668 hsa04931 hsa04932 hsa05160 hsa04722 hsa04917
P60953	hsa05212 hsa04010 hsa04670 hsa04510 hsa04062 hsa04933 hsa05120 hsa05211 hsa04370 hsa05205 hsa05203 hsa05200 hsa04912 hsa04014 hsa04932 hsa04660 hsa04015 hsa04722 hsa04520
P06858	hsa05010
