P05067	R-HSA-114608 R-HSA-933542 R-HSA-445989
P42229	R-HSA-1251985
P04275	R-HSA-114608 R-HSA-5674135 R-HSA-216083 R-HSA-372708 R-HSA-75892 R-HSA-354194 R-HSA-354192
Q12772	R-HSA-381340
P51668	R-HSA-937041 R-HSA-2173795
P04196	R-HSA-114608
Q9NQT4	R-HSA-450385
P08631	R-HSA-912631
P02647	R-HSA-114608
P10909	R-HSA-114608
P04114	R-HSA-202733
P05556	R-HSA-202733 R-HSA-216083 R-HSA-3000170 R-HSA-75892
Q16543	R-HSA-1227986
Q92793	R-HSA-381340 R-HSA-5621575
P19320	R-HSA-216083
Q9Y6K9	R-HSA-937041 R-HSA-450321 R-HSA-933542 R-HSA-450302 R-HSA-168638 R-HSA-445989
P07359	R-HSA-75892
Q00987	R-HSA-5674400 R-HSA-198323
P17612	R-HSA-5621575
P49137	R-HSA-450385 R-HSA-450302
Q13490	R-HSA-937041 R-HSA-168638
P53779	R-HSA-450321
P10451	R-HSA-216083
P12814	R-HSA-114608 R-HSA-3000170
P61224	R-HSA-5674135 R-HSA-372708 R-HSA-354194 R-HSA-354192
P01023	R-HSA-114608
Q09472	R-HSA-381340 R-HSA-5621575
P21333	R-HSA-114608
P18031	R-HSA-354192
Q13485	R-HSA-3311021 R-HSA-2173795
Q15796	R-HSA-3311021 R-HSA-2173795
P17676	R-HSA-381340
Q9NYJ8	R-HSA-450321 R-HSA-450302 R-HSA-168638 R-HSA-445989 R-HSA-1251985
P06756	R-HSA-216083 R-HSA-3000170 R-HSA-210990
P03372	R-HSA-1251985
O43353	R-HSA-450321 R-HSA-450302 R-HSA-168638 R-HSA-445989
P12931	R-HSA-1227986
P02671	R-HSA-114608 R-HSA-5674135 R-HSA-216083 R-HSA-372708 R-HSA-354194 R-HSA-354192
P02751	R-HSA-114608 R-HSA-5674135 R-HSA-202733 R-HSA-216083 R-HSA-372708 R-HSA-3000170 R-HSA-354194 R-HSA-354192
P31751	R-HSA-5674400 R-HSA-198323
P25963	R-HSA-933542 R-HSA-445989
P12757	R-HSA-2173795
P78536	R-HSA-1251985 R-HSA-193692
P31749	R-HSA-450385 R-HSA-5674400 R-HSA-198323 R-HSA-354192
P13612	R-HSA-202733 R-HSA-216083
Q12933	R-HSA-933542
P18084	R-HSA-216083 R-HSA-3000170
P61077	R-HSA-937041 R-HSA-2173795
P32121	R-HSA-5674135
P35813	R-HSA-2173795
P19174	R-HSA-210990
P49407	R-HSA-5674135
P16284	R-HSA-114608 R-HSA-202733 R-HSA-216083 R-HSA-210990
Q92569	R-HSA-912631
Q15648	R-HSA-381340
P05106	R-HSA-114608 R-HSA-5674135 R-HSA-216083 R-HSA-372708 R-HSA-3000170 R-HSA-354194 R-HSA-354192 R-HSA-210990
P38936	R-HSA-5674400 R-HSA-198323
Q04206	R-HSA-381340 R-HSA-933542 R-HSA-445989 R-HSA-193692 R-HSA-5621575
Q9Y3B2	R-HSA-450385
P23528	R-HSA-114608
P06858	R-HSA-381340
Q9Y4K3	R-HSA-937041 R-HSA-450321 R-HSA-933542 R-HSA-450302 R-HSA-168638 R-HSA-445989 R-HSA-193692
P31946	R-HSA-5674135 R-HSA-450385
P00734	R-HSA-202733
Q13404	R-HSA-937041 R-HSA-168638
O75376	R-HSA-381340 R-HSA-2173795 R-HSA-1251985
P0CG48	R-HSA-937041 R-HSA-912631 R-HSA-2173795 R-HSA-450321 R-HSA-450302 R-HSA-168638 R-HSA-445989 R-HSA-1227986
Q9HAU4	R-HSA-2173795
P07947	R-HSA-912631 R-HSA-210990 R-HSA-1227986
Q9NZ42	R-HSA-1251985 R-HSA-193692
P22694	R-HSA-5621575
P62158	R-HSA-114608
P07204	R-HSA-202733
Q07869	R-HSA-381340
P07948	R-HSA-202733 R-HSA-912631 R-HSA-75892 R-HSA-5621575 R-HSA-210990
P49841	R-HSA-5674400 R-HSA-198323
P49840	R-HSA-5674400 R-HSA-198323
P37231	R-HSA-381340
Q9Y490	R-HSA-114608 R-HSA-5674135 R-HSA-372708 R-HSA-354194 R-HSA-354192
P15056	R-HSA-5674135
P02749	R-HSA-114608
P06241	R-HSA-202733 R-HSA-912631 R-HSA-75892 R-HSA-5621575 R-HSA-210990 R-HSA-1227986
P00533	R-HSA-1227986
P84022	R-HSA-3311021 R-HSA-2173795
