R-HSA-114608	Platelet degranulation
R-HSA-937041	IKK complex recruitment mediated by RIP1
R-HSA-381340	Transcriptional regulation of white adipocyte differentiation
R-HSA-5674135	MAP2K and MAPK activation
R-HSA-202733	Cell surface interactions at the vascular wall
R-HSA-216083	Integrin cell surface interactions
R-HSA-912631	Regulation of signaling by CBL
R-HSA-3311021	SMAD4 MH2 Domain Mutants in Cancer
R-HSA-450385	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
R-HSA-372708	p130Cas linkage to MAPK signaling for integrins
R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer
R-HSA-3000170	Syndecan interactions
R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity
R-HSA-450321	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1
R-HSA-933542	TRAF6 mediated NF-kB activation
R-HSA-450302	activated TAK1 mediates p38 MAPK activation
R-HSA-168638	NOD1/2 Signaling Pathway
R-HSA-445989	TAK1 activates NFkB by phosphorylation and activation of IKKs complex
R-HSA-198323	AKT phosphorylates targets in the cytosol
R-HSA-75892	Platelet Adhesion to exposed collagen
R-HSA-1251985	Nuclear signaling by ERBB4
R-HSA-193692	Regulated proteolysis of p75NTR
R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins
R-HSA-354192	Integrin alphaIIb beta3 signaling
R-HSA-5621575	CD209 (DC-SIGN) signaling
R-HSA-210990	PECAM1 interactions
R-HSA-1227986	Signaling by ERBB2
