Q15714	GO:0008284 GO:0043065 GO:0043066
P05412	GO:0008284 GO:0042127 GO:0043065 GO:0043066 GO:0051726
O43251	GO:0042127 GO:0000381
P63244	GO:0006915 GO:0043065 GO:0048511 GO:0016032 GO:0051726 GO:0030178
P25788	GO:0090090 GO:0006915 GO:0000278 GO:0012501 GO:0090263 GO:0031145 GO:0043066 GO:0051439 GO:0016032 GO:0051437
Q92845	GO:0043066
Q13627	GO:0000278 GO:0000381 GO:0043518
P62993	GO:0016032
Q96EB6	GO:0008284 GO:0006915 GO:0070914 GO:0042127 GO:0043065 GO:0048511 GO:0043066 GO:0016032 GO:0043518
P63167	GO:0006915 GO:0000278 GO:0012501 GO:0016032
Q9NWB1	GO:0000381
Q16531	GO:0070914 GO:0016055 GO:0043066 GO:0016032
O14641	GO:0090090 GO:0090263 GO:0016055
P53350	GO:0000278 GO:0031145 GO:0007091 GO:0043066 GO:0051439 GO:0051726 GO:0051437
Q9BRK4	GO:0090090 GO:0016055 GO:0030178
P25054	GO:0090090 GO:0006915 GO:0012501 GO:0090263 GO:0016055 GO:0007091 GO:0043065 GO:0043066 GO:0051726 GO:0030178
P20618	GO:0090090 GO:0006915 GO:0000278 GO:0012501 GO:0090263 GO:0031145 GO:0043066 GO:0051439 GO:0016032 GO:0051437
O75665	GO:0000278
P68400	GO:0008284 GO:0006915 GO:0000278 GO:0016055 GO:0048511
Q9NR09	GO:0008284 GO:0006915 GO:0042127 GO:0043066
Q92793	GO:0048511 GO:0016032
