P21291	1083058 602263
Q9UKV8	568609 568611
Q15942	602263 568838 440185 116070
Q5TB80	116070
O60232	568611
P27797	602263 568606 554348 440185 568611 569655 568650 116070 724678
P51531	568590 568611 568650
Q92882	568606
P05161	1083058 440185 568611
P06702	602263 1045383 116070
Q9Y6K9	569661 1246768 568606 568609 771929 1079863
P30050	602263 23854 440185 568590 724678
P52943	440185
P55083	116070
P23528	602263 554348 568611 554355 116070 724678
Q9H444	554348 568611
P62993	602263 568609 554348 568611 554355 554359 568650 116070
P55795	602263 771929 554348 568590 568611 567547 568650 116070
P60033	569661 602263 554348 568611 554355 554359 116070
O60518	602263 568611
P15104	602263 116070
P04075	602263 116070
P61978	1246768 602263 568606 568819 554348 1084136 440185 1045383 568590 568611 568929 724678
P25685	1083058 602263 568665 568838 440185 568650 724678
P08729	602263 568819 568929
P06396	569661 602263 568819 569655 116070
Q16181	1045383 116070
P28066	602263 568838 440185 568611
P35658	602263 568609 554348 1045383 568590 568611 569655 568650 116070
P61604	602263 554348 568611 554355 116070
Q6UB35	440185
P84243	1246768 602263 1045383 568590 568611 568650 116070
Q6ZW49	116070
Q14011	602263
P27361	1045383 568611 568650
P04083	1246768 602263 568838 1084136 568929 116070
Q15691	440185 1045383
P38646	602263 23854 568611
Q13283	1246768 602263 1084136 568611 569655 568650
Q00536	569661 569655
P60953	569661 602263 446562 1079863 1045383 569655 116070 1282719
P19338	602263 568606 568609 23854 554348 1084136 764963 446562 440185 568590 568611 554355 554359 116070 724678
P49662	568875 116070
O00159	602263 23854
Q15154	554359 116070
P12814	602263 568665 554348 440185 771931 568611 554355
P07858	1083058 568838 568875 554348 440185 568611 554355 732808 568650 116070
P02545	602263 568819 23854 568590 771931 568611 567546 568650 116070
P49137	602263
P13639	602263 23854 1084136 1045383 116070 724678
O00151	1246768 116070
O14920	1246768 568606 568609 554348 440185 569655
P61221	602263 23854 568611 568929 568650
Q9Y5Y2	602263
P46019	568611
Q12933	602263 568606 568609 554348 440185 568611
Q9ULZ3	568611
P52565	440185 568611
Q9Y678	1083058 602263 568838 1045383 567546
P50750	568665 568612 568611 568650 116070
Q16643	602263
P62987	1045383 771931
Q9UNE7	1083058 602263 440185 568611 732808 568650 116070 724678
P62333	1083058 602263 568819 568838 440185 568611 567547
P63000	569661 602263 1079863 1045383 568611 569655 116070 1282719
Q99439	440185
P62136	602263 568606 568819 440185 568590 568611
Q7Z3E5	602263
Q14141	1246768 554348 554355
P37231	554355
O14965	554355
Q9Y266	602263 568611 568650
P50453	116070
P26639	568611 568650
P35579	602263 1084136 568611 116070
Q13153	1045383 568650
P05067	1064300 446562 568611 568929 568650
Q08211	1246768 602263 23854 1084136 440185 568590 568611 554359 568650
Q15758	602263 568819 568838 724678
P19012	568929 569655
Q9BS26	1246768 568838 568611 568650 724678
Q96CW5	1064300 602263
Q15599	567547
P62979	1246768 602263 440185 568611 568650
P42224	1246768 1083058 602263 554348 568611 1073454 567547 554355 568650 116070 724678
Q9UPN3	602263 771931 116070
P42226	116070
Q96CX2	568838 440185
O96008	602263 568611 568650
P60484	568611 116070
Q9BUL8	568838
P07355	1246768 602263 568875 568611 568929 554355 554359 568650 116070
P09211	116070
