H00028	P00533 P01106 P04626 P04637
H00018	P00533 P24864 P16070 P35222 P01116 P04637 P25054 P04626
H00022	P06400 P00533 P04626 P04637
H00016	P00533 P01106 P01116 P04637
H00026	P60484 P35222 P04626 P01116 P04637
H00027	P01106 P04626 P01116 P04637
H00055	P00533 P01106 P04637 P24864
H00047	P25054 P01116 P04637
H00031	P60484 P06400 P01106 P04626 P04637
H00030	P00533 P04626 P01116 P38936
H00048	P60484 P06400 P35222 P01116 P04637
H00013	P60484 P06400 P01106 P04637
H00017	P06400 P00533 P25054 P04637
H00032	P37231 P12270 P06753 P35222 P01116 P04637 P04629
