P05161	hsa04622
Q15942	hsa04510
P27797	hsa05142 hsa05166
P04406	hsa04066
Q9Y6K9	hsa05131 hsa05222 hsa05212 hsa05215 hsa04380 hsa04062 hsa05142 hsa05168 hsa05169 hsa05145 hsa04210 hsa05166 hsa05160 hsa05161 hsa05120 hsa05220 hsa04620 hsa04621 hsa04622 hsa05200 hsa04662 hsa04014 hsa05221 hsa04010 hsa05203 hsa04151 hsa04660 hsa04668
P49407	hsa04062 hsa04010
P62993	hsa04510 hsa05213 hsa04915 hsa05214 hsa05215 hsa04722 hsa05231 hsa04068 hsa04380 hsa04062 hsa05160 hsa05161 hsa05220 hsa05211 hsa05205 hsa05206 hsa05200 hsa04912 hsa04662 hsa04014 hsa05223 hsa04012 hsa05221 hsa04010 hsa05203 hsa04151 hsa04660 hsa04910 hsa04917
P14618	hsa05230 hsa05203
P04075	hsa04066
P61978	hsa05168 hsa05206 hsa05203
P25685	hsa05164
P16949	hsa05206 hsa04010
P06396	hsa04810 hsa04666 hsa05203
P51884	hsa05205
Q05397	hsa04510 hsa05222 hsa04062 hsa04370 hsa04810 hsa05100 hsa05205 hsa05200 hsa04012 hsa04151
P26038	hsa04810 hsa05162 hsa05205
Q9UJU2	hsa05213 hsa05210 hsa05216 hsa05215 hsa05200 hsa05221 hsa04520 hsa04916
P60953	hsa05131 hsa05130 hsa04510 hsa05212 hsa04722 hsa04062 hsa04933 hsa04370 hsa04810 hsa05120 hsa05211 hsa05100 hsa05205 hsa05200 hsa04912 hsa04666 hsa04014 hsa04010 hsa05203 hsa04660 hsa04520
Q92934	hsa04510 hsa05212 hsa05213 hsa05210 hsa05218 hsa05215 hsa04722 hsa04370 hsa05145 hsa04210 hsa05160 hsa05161 hsa05220 hsa05200 hsa04014 hsa05223 hsa04012 hsa05221 hsa05203 hsa04919 hsa04151 hsa04910
P19338	hsa05130
O43353	hsa05131 hsa04722 hsa04621
P49137	hsa04722 hsa04370 hsa04010 hsa05203
O14920	hsa05131 hsa05222 hsa05212 hsa05215 hsa04722 hsa04068 hsa04380 hsa04062 hsa05142 hsa05168 hsa05169 hsa05145 hsa05164 hsa04210 hsa05166 hsa05160 hsa05161 hsa05120 hsa05220 hsa05206 hsa04620 hsa04621 hsa04622 hsa05200 hsa04662 hsa04014 hsa05221 hsa04010 hsa04151 hsa04660 hsa04910 hsa04668
P52566	hsa04722
Q12933	hsa05222 hsa04380 hsa05168 hsa05169 hsa04210 hsa05160 hsa04622 hsa05200 hsa04010 hsa05203 hsa04071 hsa04668
Q9ULZ3	hsa05164 hsa04621
P52565	hsa04722
Q9NQS3	hsa04520
P63244	hsa05162
O95863	hsa04520
P35658	hsa05169
P63000	hsa05131 hsa04510 hsa05212 hsa05210 hsa04722 hsa05231 hsa04380 hsa04062 hsa04933 hsa04370 hsa04810 hsa05120 hsa05211 hsa05100 hsa05205 hsa04620 hsa05200 hsa04666 hsa04662 hsa04014 hsa04010 hsa05203 hsa04151 hsa04520 hsa04071
P15336	hsa04915 hsa05169 hsa05164 hsa05166 hsa05161 hsa04010 hsa05203 hsa04151 hsa04668
P08670	hsa05169 hsa05206
Q14141	hsa05100
P37231	hsa05216 hsa04380 hsa05200
Q15758	hsa05230
O43504	hsa05161
Q9UBU9	hsa05168 hsa05164
P42224	hsa05212 hsa04380 hsa04062 hsa04933 hsa05168 hsa05145 hsa05164 hsa05160 hsa05161 hsa05162 hsa04620 hsa05200 hsa04919 hsa04917
P42226	hsa05161
P60484	hsa04510 hsa05222 hsa05213 hsa05218 hsa05214 hsa05215 hsa05230 hsa04068 hsa05161 hsa05206 hsa05200 hsa04151 hsa04071
P09211	hsa05215 hsa05200
P25054	hsa05213 hsa05210 hsa05166 hsa04810 hsa05206 hsa05200
P19320	hsa04933 hsa05166 hsa04668
P04792	hsa04370 hsa05169 hsa04010
Q13501	hsa04380
P29966	hsa05206 hsa04666
P62136	hsa04510 hsa04720 hsa04114 hsa05168 hsa04810 hsa05205 hsa04910
P12814	hsa04510 hsa04810 hsa05203 hsa04520
P21333	hsa04510 hsa05205 hsa04010
Q16363	hsa04510 hsa05222 hsa05145 hsa05200 hsa04151
Q16658	hsa05206
P03372	hsa04915 hsa05205 hsa04919 hsa04917
O43597	hsa05206
P35813	hsa04010
P27348	hsa05130 hsa04114 hsa05169 hsa05161 hsa05203 hsa04151
P24864	hsa05222 hsa05215 hsa04114 hsa05161 hsa05162 hsa05206 hsa05200 hsa05203 hsa04151
P10451	hsa04510 hsa04620 hsa04151
P12270	hsa05216 hsa05200
P67775	hsa04114 hsa05142 hsa05160 hsa04151 hsa04071
P46527	hsa05222 hsa05215 hsa04068 hsa04066 hsa04933 hsa05169 hsa05161 hsa05162 hsa05220 hsa05206 hsa05200 hsa04012 hsa05203 hsa04151
Q5FBB7	hsa04114
P24941	hsa05222 hsa05215 hsa04068 hsa04114 hsa05168 hsa05169 hsa05161 hsa05162 hsa05200 hsa05203 hsa04151
P35579	hsa04810
P60033	hsa05160 hsa04662
Q13617	hsa04066 hsa05211 hsa05200
Q06124	hsa04722 hsa05168 hsa05120 hsa05220 hsa05211 hsa05205 hsa04014
P15311	hsa05130 hsa04810 hsa05205 hsa05206
O43318	hsa04380 hsa05168 hsa05169 hsa05145 hsa05162 hsa04620 hsa04621 hsa04622 hsa04010 hsa04660 hsa04520 hsa04668
P11142	hsa04915 hsa05169 hsa05145 hsa05164 hsa05162 hsa04010
O43586	hsa04621
P84022	hsa05212 hsa05210 hsa04068 hsa04933 hsa05142 hsa05166 hsa05161 hsa05220 hsa05200 hsa04520
Q9UBN7	hsa05203
Q13153	hsa04510 hsa04062 hsa04810 hsa05120 hsa05211 hsa05205 hsa04666 hsa04014 hsa04012 hsa04010 hsa04660
O00429	hsa04668
P29590	hsa05168 hsa05164 hsa05200 hsa05221
P16070	hsa05131 hsa05169 hsa05205 hsa05206
