hsa04068	FoxO signaling pathway
hsa05212	Pancreatic cancer
hsa05213	Endometrial cancer
hsa04020	Calcium signaling pathway
hsa05220	Chronic myeloid leukemia
hsa04024	cAMP signaling pathway
hsa05215	Prostate cancer
hsa04720	Long-term potentiation
hsa04722	Neurotrophin signaling pathway
hsa05230	Central carbon metabolism in cancer
hsa04510	Focal adhesion
hsa04066	HIF-1 signaling pathway
hsa04728	Dopaminergic synapse
hsa04922	Glucagon signaling pathway
hsa04921	Oxytocin signaling pathway
hsa05210	Colorectal cancer
hsa05168	Herpes simplex infection
hsa05169	Epstein-Barr virus infection
hsa05166	HTLV-I infection
hsa04310	Wnt signaling pathway
hsa05161	Hepatitis B
hsa05214	Glioma
hsa05205	Proteoglycans in cancer
hsa04110	Cell cycle
hsa05206	MicroRNAs in cancer
hsa05200	Pathways in cancer
hsa04114	Oocyte meiosis
hsa04912	GnRH signaling pathway
hsa04910	Insulin signaling pathway
hsa04520	Adherens junction
hsa04750	Inflammatory mediator regulation of TRP channels
hsa04917	Prolactin signaling pathway
hsa04915	Estrogen signaling pathway
hsa05203	Viral carcinogenesis
hsa04919	Thyroid hormone signaling pathway
hsa04931	Insulin resistance
hsa04151	PI3K-Akt signaling pathway
hsa05031	Amphetamine addiction
hsa05034	Alcoholism
hsa04390	Hippo signaling pathway
hsa04012	ErbB signaling pathway
