R-HSA-3371511	P15927 P07900 Q9UBN7 P62258
R-HSA-75035	P27348 P62258 P06493 P31946 P61981
R-HSA-3769402	Q13363 P0CG48 O14980 P35222 P48431 P25054 Q04724 Q13547
R-HSA-4641262	P30153 P35222 P25054 Q03135 P49841 O15169
R-HSA-4641265	P35222 Q08117 Q13363 Q04724 Q13547
R-HSA-5358752	P25054 P49841 P30153 P35222 O15169
R-HSA-5610783	P0CG48 P51665 P25786 Q99460 P62877 Q13616 P49841 O00231
R-HSA-5625740	P27348 P62140 P31946 P61981 P35579 P62258
R-HSA-5358751	P25054 P49841 P30153 P35222 O15169
R-HSA-5610785	P0CG48 P51665 P25786 Q99460 P62877 Q13616 P49841 O00231
R-HSA-1169091	Q04864 P0CG48 P51665 P25786 Q99460 Q04206 Q13616 O00231
R-HSA-2894862	Q92831 Q9UBN7 Q09472 P62877 Q13616 Q13547 P01106 Q92793 P0CG48
R-HSA-5696395	Q13619 P0CG48 P61088 P62877 Q13620 P15927 P61956
R-HSA-5696394	Q13619 P0CG48 Q92905 P62877 P25490 Q13620 Q7L5N1
R-HSA-110314	Q13619 P0CG48 Q9NZJ0 P62877 Q13620 P15927 P12004
R-HSA-5607764	P0CG48 P51665 P25786 P61088 Q99460 Q05655 Q15750 Q04206 Q13616 O00231
R-HSA-400253	P62136 P62140 P0CG48 Q09472 Q13616 Q96EB6 P15336 Q92793 P36873 Q16665
R-HSA-451308	Q92796 P39086 P62158 P78352
R-HSA-5358747	P25054 P49841 P30153 P35222 O15169
R-HSA-5358749	P25054 P49841 P30153 P35222 O15169
R-HSA-195253	P0CG48 P51665 P25786 Q99460 P62877 Q13616 P49841 P25054 P30153 O15169 O00231
R-HSA-2644606	Q92831 Q9UBN7 Q09472 P62877 Q13616 Q13547 P01106 Q92793 P0CG48
R-HSA-2565942	P62140 P0CG48 Q15691 Q13616 P61981 P62258 P30153 P06493 P07900 Q71U36
R-HSA-2173788	P62140 P0CG48 Q9Y4E8 O14980 P62136 P36873 P84022
R-HSA-2122947	Q92831 Q04724 Q09472 P62877 Q13616 Q13547 P01106 Q92793 Q9UBN7 P0CG48 Q16665
