R-HSA-3371511	HSF1 activation
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
R-HSA-3769402	Deactivation of the beta-catenin transactivating complex
R-HSA-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane
R-HSA-4641265	Repression of WNT target genes
R-HSA-5358752	T41 mutants of beta-catenin aren't phosphorylated
R-HSA-5610783	Degradation of GLI2 by the proteasome
R-HSA-5625740	RHO GTPases activate PKNs
R-HSA-5358751	S45 mutants of beta-catenin aren't phosphorylated
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome
R-HSA-1169091	Activation of NF-kappaB in B cells
R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
R-HSA-5696395	Formation of Incision Complex in GG-NER
R-HSA-5696394	DNA Damage Recognition in GG-NER
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex
R-HSA-5607764	CLEC7A (Dectin-1) signaling
R-HSA-400253	Circadian Clock
R-HSA-451308	Activation of Ca-permeable Kainate Receptor
R-HSA-5358747	S33 mutants of beta-catenin aren't phosphorylated
R-HSA-5358749	S37 mutants of beta-catenin aren't phosphorylated
R-HSA-195253	Degradation of beta-catenin by the destruction complex
R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants
R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
R-HSA-2173788	Downregulation of TGF-beta receptor signaling
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription
