P19474	TRIM21
P45983	MAPK8
P51665	PSMD7
P78406	RAE1
Q9NPA5	ZFP64
Q13526	PIN1
Q9Y4C0	NRXN3
P55081	MFAP1
O43688	PLPP2
P09211	GSTP1
P07900	HSP90AA1
Q5VU13	VSIG8
Q15303	ERBB4
Q99728	BARD1
P62993	GRB2
P31946	YWHAB
Q86SJ6	DSG4
Q05655	PRKCD
P61978	HNRNPK
O95147	DUSP14
P35916	FLT4
P63092	GNAS
Q8IUH5	ZDHHC17
Q14031	COL4A6
Q5JSH3	WDR44
P04083	ANXA1
P40337	VHL
Q00535	CDK5
P43115	PTGER3
Q93062	RBPMS
O00499	BIN1
P27482	CALML3
P04629	NTRK1
Q13155	AIMP2
Q9Y3R0	GRIP1
P07858	CTSB
P02787	TF
Q13363	CTBP1
P04040	CAT
P61981	YWHAG
P62136	PPP1CA
Q01968	OCRL
Q7Z5N4	SDK1
Q8N2Q7	NLGN1
P39880	CUX1
Q9NSB8	HOMER2
Q9NW61	PLEKHJ1
P05067	APP
P62879	GNB2
P33764	S100A3
P46379	BAG6
Q15750	TAB1
P62877	RBX1
Q3SYF9	KRTAP19-7
Q04323	UBXN1
Q92796	DLG3
Q9NRC8	SIRT7
O43463	SUV39H1
Q9NWB7	IFT57
Q92793	CREBBP
Q969H0	FBXW7
P25054	APC
P19320	VCAM1
Q9H255	OR51E2
Q9NYB0	TERF2IP
P15336	ATF2
Q04724	TLE1
Q9UP52	TFR2
Q9UQK1	PPP1R3C
P08670	VIM
Q9NZJ0	DTL
Q15691	MAPRE1
Q13620	CUL4B
P30837	ALDH1B1
O00214	LGALS8
Q96QP1	ALPK1
P39086	GRIK1
Q7Z3S9	NOTCH2NL
Q9UM82	SPATA2
Q08AM6	VAC14
P27348	YWHAQ
P21817	RYR1
Q13061	TRDN
P61158	ACTR3
P25490	YY1
P49407	ARRB1
P78352	DLG4
P09651	HNRNPA1
Q5BKU9	OXLD1
P48431	SOX2
Q15075	EEA1
Q13469	NFATC2
P55196	MLLT4
Q99496	RNF2
Q13618	CUL3
Q13619	CUL4A
Q92831	KAT2B
P35579	MYH9
P0CG48	UBC
P46940	IQGAP1
P05091	ALDH2
Q13616	CUL1
O14980	XPO1
Q9P0L0	VAPA
Q86Y56	DNAAF5
Q08117	AES
P13196	ALAS1
Q01826	SATB1
Q149N8	SHPRH
Q03135	CAV1
P00441	SOD1
P84022	SMAD3
O94910	ADGRL1
Q15907	RAB11B
Q9UBN7	HDAC6
P10809	HSPD1
Q8TBB1	LNX1
P61160	ACTR2
Q96I59	NARS2
Q92736	RYR2
Q14192	FHL2
P42345	MTOR
Q12905	ILF2
Q9NUX5	POT1
P60484	PTEN
P07948	LYN
O00231	PSMD11
P06400	RB1
P00533	EGFR
P60174	TPI1
Q09472	EP300
P61088	UBE2N
Q13418	ILK
P00338	LDHA
P62140	PPP1CB
P45984	MAPK9
P02751	FN1
P06213	INSR
Q9UNN8	PROCR
P63218	GNG5
Q13107	USP4
P38405	GNAL
O95466	FMNL1
Q12888	TP53BP1
Q9UBU9	NXF1
P06493	CDK1
P09960	LTA4H
Q8N5S1	SLC25A41
P13647	KRT5
P62942	FKBP1A
P23297	S100A1
P31146	CORO1A
Q04206	RELA
P17931	LGALS3
Q8N4B1	FAM109A
P01909	HLA-DQA1
Q9NWV8	BABAM1
P25791	LMO2
Q92990	GLMN
O75553	DAB1
P06748	NPM1
Q9P2P5	HECW2
P20648	ATP4A
Q8NAT1	POMGNT2
Q96EB6	SIRT1
O43765	SGTA
P35222	CTNNB1
O14543	SOCS3
Q08379	GOLGA2
P07195	LDHB
P47974	ZFP36L2
Q15717	ELAVL1
Q53GS9	USP39
Q7L5N1	COPS6
O43159	RRP8
P08758	ANXA5
P10636	MAPT
O75400	PRPF40A
Q9Y4E8	USP15
O95292	VAPB
Q71U36	TUBA1A
Q15323	KRT31
P54646	PRKAA2
P04626	ERBB2
Q9Y6I3	EPN1
Q08495	DMTN
P15927	RPA2
P30153	PPP2R1A
P11802	CDK4
Q00987	MDM2
Q15047	SETDB1
P36873	PPP1CC
P36871	PGM1
P05556	ITGB1
Q15554	TERF2
Q13432	UNC119
Q96GM5	SMARCD1
Q5JWF2	GNAS
Q92905	COPS5
Q99460	PSMD1
Q13547	HDAC1
P01106	MYC
P30405	PPIF
Q6P444	MTFR2
P25098	ADRBK1
Q9BUH8	BEGAIN
P68400	CSNK2A1
P03372	ESR1
P61956	SUMO2
P37840	SNCA
Q8NFZ4	NLGN2
Q9H9J2	MRPL44
Q8TF66	LRRC15
P40763	STAT3
P50148	GNAQ
Q9NRD1	FBXO6
Q13554	CAMK2B
Q13895	BYSL
Q9P2D8	UNC79
Q14974	KPNB1
Q53GT1	KLHL22
P06733	ENO1
Q02297	NRG1
O00560	SDCBP
Q04864	REL
P25786	PSMA1
Q6PI48	DARS2
P62158	CALM3
Q9Y4Z0	LSM4
Q86XS8	RNF130
P49841	GSK3B
P49840	GSK3A
O15160	POLR1C
P62258	YWHAE
P62491	RAB11A
P12004	PCNA
O15169	AXIN1
Q16666	IFI16
P49959	MRE11A
Q16665	HIF1A
