O43251	GO:0042127 GO:0043484
P52597	GO:0043484
Q9NWB1	GO:0043484
P25054	GO:0090090 GO:0006921 GO:0090263 GO:0043065 GO:0043066 GO:0044336 GO:0030858 GO:0016477 GO:0043588 GO:0006915 GO:0012501 GO:0045595 GO:0007155 GO:0044337 GO:0016055 GO:0042493
Q15654	GO:0007155
O14980	GO:0000278 GO:0007179 GO:0042493
Q13490	GO:0006921 GO:0042127 GO:0043066 GO:0006915 GO:0051291 GO:0012501 GO:0045595
P22681	GO:0043066 GO:0007179
Q92845	GO:0043066
P02751	GO:0043066 GO:0008284 GO:0007155
Q9BRK4	GO:0090090 GO:1900181 GO:0016055
Q9NR09	GO:0042127 GO:0043066 GO:0008284 GO:0006915
Q15018	GO:0000278
P14923	GO:0090263 GO:0071681 GO:0042127 GO:0016477 GO:0043588 GO:0051291 GO:0007155
Q9HBT6	GO:0007155
Q15262	GO:0016477 GO:0007155 GO:0007179
P35222	GO:0006921 GO:0090263 GO:0043525 GO:0071681 GO:0042127 GO:0043065 GO:0044336 GO:0030858 GO:0043588 GO:0008284 GO:0006915 GO:0051291 GO:0012501 GO:0045595 GO:0007155 GO:0016055 GO:0042493
Q16787	GO:0007155
Q13618	GO:0090090 GO:0097193 GO:0016477 GO:0008284 GO:0000278 GO:0016055
P0CG48	GO:0090090 GO:0090263 GO:0043065 GO:0043066 GO:0000278 GO:0006915 GO:0012501 GO:0007179
P23258	GO:0000278
P08949	GO:0008284
P34741	GO:0016477
Q96EB6	GO:0042127 GO:0043065 GO:0043066 GO:0008284 GO:0006915
P63167	GO:0097193 GO:0000278 GO:0006915 GO:0012501
P49841	GO:0090090 GO:0090263 GO:0043525 GO:0043065 GO:0043066 GO:0016477 GO:0044337 GO:1900181 GO:0016055 GO:0042493
P42574	GO:0006921 GO:0097193 GO:0043525 GO:0043065 GO:0043066 GO:0006915 GO:0012501 GO:0042493
