Q6PD62	GO:0000993 GO:0042169 GO:0005515
P31749	GO:0019901 GO:0016301 GO:0019899 GO:0005080 GO:0042802 GO:0005515 GO:0030235
P54274	GO:0098505 GO:0043130 GO:0003677 GO:0046982 GO:0042803 GO:0005515 GO:0042162
Q8N6Y0	GO:0005515
Q99942	GO:0005515
Q49A88	GO:0005515
Q8WZ42	GO:0019901 GO:0016301 GO:0019899 GO:0002020 GO:0042805 GO:0042802 GO:0005515 GO:0031433
Q9HAU4	GO:0042802 GO:0005515 GO:0046332
Q16718	GO:0016651
Q9Y2R0	GO:0005515
P19429	GO:0019901 GO:0019904 GO:0003779 GO:0048306 GO:0005515
P60411	GO:0005515
Q9H8W4	GO:0005515
O00716	GO:0003677 GO:0005515 GO:0001047
O75052	GO:0005515
O75190	GO:0031072 GO:0003677 GO:0051087 GO:0051082 GO:0005515
O14558	GO:0042803 GO:0005515
P40429	GO:0044822
P63000	GO:0019901 GO:0042826 GO:0019899 GO:0005515 GO:0031996
Q14145	GO:0005515 GO:0008134
P03891	GO:0019901
P13196	GO:0005515
P03897	GO:0005515
P02768	GO:0016209 GO:0003677 GO:0019899 GO:0051087 GO:0005515
P62875	GO:0003677 GO:0005515
P54725	GO:0031593 GO:0005515 GO:0003684
Q9BQD3	GO:0005515
Q16795	GO:0003954 GO:0032403 GO:0005515
P19320	GO:0005178
P23771	GO:0001077 GO:0003713 GO:0044212 GO:0003677 GO:0000987 GO:0001085 GO:0000977 GO:0001228 GO:0005515 GO:0003682 GO:0008134 GO:0001046 GO:0000979
Q96EB6	GO:0019904 GO:0035257 GO:0008022 GO:0019899 GO:0042802 GO:0005515 GO:0002039 GO:0008134 GO:0001046
P62280	GO:0003723 GO:0044822 GO:0005515
Q15008	GO:0005515
P54296	GO:0005515
P22736	GO:0001077 GO:0003677 GO:0046982 GO:0005515
P42858	GO:0044325 GO:0048487 GO:0042802 GO:0005515 GO:0002039 GO:0008134
P25788	GO:0005515
Q9H814	GO:0003723 GO:0005515
Q7Z3S9	GO:0005515
O95602	GO:0003677 GO:0005515
P68104	GO:0019901 GO:0044822 GO:0005515
P27635	GO:0044822 GO:0005515
Q9NX24	GO:0070034 GO:0003723 GO:0044822 GO:0005515
P63220	GO:0044822 GO:0047485
P01019	GO:0031701 GO:0005515
Q92934	GO:0030346 GO:0019901 GO:0019903 GO:0043422 GO:0046982 GO:0005515
Q9Y5K8	GO:0005515
Q09161	GO:0003723 GO:0044822 GO:0005515
O75386	GO:0019899 GO:0032403 GO:0005515
Q9BQ95	GO:0016651 GO:0005515
P60520	GO:0048487 GO:0031625 GO:0005515
P22352	GO:0005515 GO:0008134
P08047	GO:0001077 GO:0044212 GO:0003677 GO:0000987 GO:0042826 GO:0000977 GO:0000978 GO:0008022 GO:0003690 GO:0042803 GO:0005515 GO:0008134 GO:0001046 GO:0000979
Q14203	GO:0005515
P62891	GO:0003723
P61247	GO:0003723 GO:0044822 GO:0005515
Q06330	GO:0001077 GO:0003677 GO:0000978 GO:0047485 GO:0001228 GO:0005515 GO:0003682 GO:0008134 GO:0000979
Q7Z5K2	GO:0005515
Q7Z434	GO:0019901 GO:0005515
Q5S007	GO:0044325 GO:0003779 GO:0016301 GO:0001948 GO:0042802 GO:0042803 GO:0005515
P98160	GO:0008022 GO:0005515
P57740	GO:0005515
P09382	GO:0043236 GO:0001948 GO:0042803 GO:0044822 GO:0005515
Q8N3C7	GO:0005515
P06748	GO:0003713 GO:0051059 GO:0019901 GO:0003723 GO:0046982 GO:0051082 GO:0042803 GO:0044822 GO:0005515
P49821	GO:0051539 GO:0051536 GO:0003954 GO:0016651
P38432	GO:0008022 GO:0042802 GO:0005515
P02794	GO:0005515
P04049	GO:0016301 GO:0046982 GO:0042802 GO:0005515
Q9H444	GO:0042802 GO:0042803 GO:0005515
Q9BSB4	GO:0032403 GO:0042802 GO:0005515
Q02878	GO:0003677 GO:0003723 GO:0044822
Q01844	GO:0003723 GO:0042802 GO:0044822 GO:0005515
P61457	GO:0003713 GO:0042802 GO:0005515
Q04206	GO:0001077 GO:0051059 GO:0019901 GO:0044212 GO:0003677 GO:0042826 GO:0000977 GO:0000978 GO:0046982 GO:0033613 GO:0019899 GO:0031490 GO:0032403 GO:0042805 GO:0042802 GO:0042803 GO:0031625 GO:0047485 GO:0005515 GO:0003682 GO:0008134
Q9BTT4	GO:0005515
Q71U36	GO:0019904 GO:0005515
P04626	GO:0019903 GO:0016301 GO:0046982 GO:0008022 GO:0042802 GO:0005515
Q15327	GO:0003677 GO:0042826 GO:0001085 GO:0005515 GO:0002039 GO:0031432 GO:0070412 GO:0008134
Q9Y2Q3	GO:0005515
P19474	GO:0003677 GO:0003723 GO:0042802 GO:0005515
Q00987	GO:0019899 GO:0042802 GO:0031625 GO:0005515 GO:0002039 GO:0042975
O43542	GO:0003677 GO:0003690 GO:0005515
A5YKK6	GO:0019904 GO:0044822 GO:0005515
P37840	GO:0019904 GO:0044212 GO:0051219 GO:0048487 GO:0019899 GO:0042802 GO:0047485 GO:0005515
Q9P0L0	GO:0019904 GO:0046982 GO:0005515
P46940	GO:0019901 GO:0019903 GO:0019904 GO:0032403 GO:0005515
P0CG48	GO:0002020 GO:0044822 GO:0005515
P60709	GO:0042802 GO:0005515
Q96EY1	GO:0051059 GO:0019901 GO:0031072 GO:0030544 GO:0051082 GO:0005515 GO:0008134
Q8TCT9	GO:0042803 GO:0031625 GO:0005515
P10916	GO:0005515
P40763	GO:0001077 GO:0019901 GO:0019903 GO:0044212 GO:0003677 GO:0000978 GO:0031490 GO:0042802 GO:0001228 GO:0005515 GO:0008134
P02652	GO:0046982 GO:0042803 GO:0005515
P09619	GO:0019901 GO:0016301 GO:0005515
P60953	GO:0019901 GO:0042802 GO:0005515 GO:0031996
P17568	GO:0003954
H0Y4J6	GO:0016301
P06733	GO:0003677 GO:0044822 GO:0005515
P55809	GO:0042803
P42345	GO:0019901 GO:0019904 GO:0051219 GO:0016301 GO:0005515
Q15796	GO:0001077 GO:0003677 GO:0000978 GO:0046982 GO:0033613 GO:0003690 GO:0042803 GO:0031625 GO:0005515 GO:0003682 GO:0070412 GO:0008134 GO:0046332
Q9UKV8	GO:0000993 GO:0003723 GO:0008022 GO:0044822 GO:0003727 GO:0003725 GO:0005515 GO:0001047
Q9Y4K3	GO:0019901 GO:0043422 GO:0042826 GO:0042802 GO:0031625 GO:0047485 GO:0005515 GO:0031996
Q13642	GO:0044325 GO:0005515
P35609	GO:0044325 GO:0019904 GO:0003779 GO:0042802 GO:0042803 GO:0005515 GO:0031432 GO:0005178
P42566	GO:0031593 GO:0042802 GO:0005515
P62993	GO:0019901 GO:0019903 GO:0019904 GO:0042802 GO:0044822 GO:0005515
P63316	GO:0048306 GO:0042803 GO:0005515
P62380	GO:0003713 GO:0003677 GO:0005515
P63313	GO:0003779 GO:0005515
P40692	GO:0005515
P61586	GO:0005515
A0MZ66	GO:0005515
P16860	GO:0005515
Q13162	GO:0016209 GO:0042803 GO:0005515
P00395	GO:0005515
P23497	GO:0003713 GO:0019900 GO:0019904 GO:0003677 GO:0042802 GO:0042803 GO:0005515 GO:0008134
Q13043	GO:0016301 GO:0042802 GO:0042803 GO:0005515 GO:0008134
P32121	GO:0019904 GO:0043422 GO:0019899 GO:0001664 GO:0032403 GO:0031701 GO:0031625 GO:0005515
P52564	GO:0019901 GO:0016301 GO:0005515
P61981	GO:0019904 GO:0005080 GO:0044822 GO:0005515
P15336	GO:0001077 GO:0003713 GO:0019901 GO:0003677 GO:0000977 GO:0046982 GO:0001102 GO:0001228 GO:0005515 GO:0003682 GO:0008134
Q86VR2	GO:0005515
P16220	GO:0001077 GO:0044212 GO:0003677 GO:0000978 GO:0019899 GO:0030544 GO:0003690 GO:0042802 GO:0001102 GO:0005515 GO:0008134
P13984	GO:0003677 GO:0005515
Q00765	GO:0005515
P05067	GO:0003677 GO:0019899 GO:0042802 GO:0005515 GO:0070851
O00483	GO:0032403 GO:0005515
H0YEN5	GO:0003723
P19438	GO:0005515
P05141	GO:0044822 GO:0031625 GO:0005515
Q9NPC6	GO:0030346 GO:0003779 GO:0005515 GO:0031433
Q9UBL3	GO:0044212 GO:0003677 GO:0005515
P25705	GO:0044822 GO:0005515
Q05639	GO:0019901 GO:0005515
P03886	GO:0005515
P12814	GO:0044325 GO:0003779 GO:0042803 GO:0003725 GO:0005515 GO:0005178
P14635	GO:0019901 GO:0016301 GO:0005515
Q14789	GO:0044822 GO:0005515
P00156	GO:0032403
P07996	GO:0043236 GO:0001948 GO:0042802 GO:0005515 GO:0005178
Q93009	GO:0008022 GO:0031625 GO:0005515 GO:0002039 GO:0008134
Q00610	GO:0019901 GO:0044822 GO:0003725 GO:0005515
P03901	GO:0016651
O95684	GO:0019901 GO:0042803 GO:0005515
P19793	GO:0003713 GO:0019904 GO:0003677 GO:0000977 GO:0046982 GO:0019899 GO:0031490 GO:0032403 GO:0003690 GO:0005515 GO:0008134
P63104	GO:0019901 GO:0019904 GO:0042802 GO:0044822 GO:0031625 GO:0005515 GO:0008134
O43181	GO:0016651
Q71RC2	GO:0003723 GO:0044822 GO:0005515
J3JS69	GO:0003723
F8W7C6	GO:0005515
Q92731	GO:0003713 GO:0003677 GO:0019899 GO:0005515 GO:0001046 GO:0042975
Q92736	GO:0044325 GO:0019901 GO:0019899 GO:0042802 GO:0005515
P29590	GO:0003713 GO:0003677 GO:0046982 GO:0042803 GO:0031625 GO:0005515 GO:0046332
Q9NUX5	GO:0098505 GO:0003677 GO:0005515 GO:0042162
