P51149	1283665 724678
P51148	602263 440185 724678
Q6PD62	602263 568606
Q99942	602263 554348 1045383 568611 554356 568650
Q9H492	568611
Q9UKV8	568611
P54274	568606 554355
Q96CV9	440185 1045383 554359
Q9GZT8	569655
P23528	602263 554348 568611 554355 724678
Q9Y4K3	1246768 568402 440185 568590 568611
Q8N6Y0	602263 554348 440185 554356
P14635	568886 1045383 568611
Q13485	568819 568611 568650
P40939	602263 568819 23854 568886 568611 568650 724678
Q96HR8	1045383
P52292	1246768 602263 568819 23854 440185 568611 568597 568650 724678
P23497	602263 568402 440185 568590 569655
Q9Y6K9	1246768 568606 1079863
P07900	602263 568819 23854 554348 440185 1045383 568590 771931 568611 554355 724678
Q9NRR5	554348 1084136 554356
P52298	602263
P78527	602263 568606 1283665 568590 568611 568650 724678
Q8WZ42	1246768 602263
P42566	1045383
P62993	602263 554348 568611 554407 554355 554356 554359 568650
P31946	602263 970170 554348 1084136 1045383 568590 568611 724678
Q9HAU4	602263 554348 568590 554356
O43889	602263 568838 554348 440185 568867 554356
P15104	602263
P25445	568838 554348 440185 568611
O95870	568838
Q99816	602263 568665 440185 568612 568590 568611 569655 554359 568650
P06396	602263 568819 569655
P10176	568606
P51668	568606 1079863 1045383 568590 568611
P63313	602263
Q9H2H9	602263
Q9Y371	440185
P61586	1079863 1045383 568611 569655
P02792	568838 554348 568886 771931 554356
P22736	568819 554348 568886 440185 568863 568867 568866 554355 554356
P02794	602263 554348 440185 554407 554355 554356
Q9P0L0	568838 554348 440185 568611 554407 554355 554356 554359 568650 724678
Q9H6Y7	440185
Q13162	1246768 568590 568611 568650
Q9Y2R0	602263 568606
P83731	602263 23854 440185 568590 568650 724678
P37198	602263 554348 568590 568611 569655 554356
Q15428	602263 568611 568650
P19429	602263
O75925	208293 568886 440185 771931
P02775	1246768
Q16740	724678
Q9Y3E0	568606 568819 568838
Q15155	1246768 568606
O00716	568819
Q04206	440185 568590 771931 568611 568867 724678
P10644	602263 568838 440185 568611 568696
O75190	1246768 602263 440185
Q969M3	1045383
P00403	602263 568819 568838 554348 440185 568867 724678
P19793	554348 440185 554356
O15530	554348
Q16643	602263
P40429	602263 568819 440185 568590
P63000	602263 970170 1079863 1045383 568611 569655
P61981	602263 970170 1084136 568590 568611
P62136	602263 568606 568819 440185 568590 568611
Q15796	554348 568886 568696
P03886	568867
P20674	568611 568650 724678
Q96JM7	568838 554348 554356
P31930	602263 568606 568838 724678
Q9UNE7	602263 440185 568611 568650 724678
P14854	568611 568650
P02751	554348 440185 771931 568611 568863 568866 554356 554359
Q9UJY1	602263 440185
P31749	554348 568611
P29590	568402 554348 440185 568590 568611 568597 554355 554359
P05067	568611 568650
P02768	602263 771931 568611
O00483	602263 568819 568838 440185 724678
P35580	602263 23854 771931
P49023	208293 440185 568611
P19438	568819 554348 568611 554407
P42224	1246768 602263 554348 568611 554355 568650 724678
P05141	1246768 602263 1283665 23854 554348 1084136 440185 568590 568611 568867 554355 554356 724678
P62875	568611 568866
Q15424	602263 568611 568650
O96008	602263 568611 568650
P42766	602263 440185 568590 724678
Q92793	568606 568819 554348 568886 440185 771931 568611 554407 569655 568650 568696
P17612	602263 23854 440185 1045383 568611 554356
Q15058	602263
P19320	568611
P23771	568650
P17661	554348 1084136 568611 554356
P04792	1246768 602263 568819 568886 440185 1045383 568863
P14136	602263 554348 1084136 554356
Q15008	602263 568838 440185 724678
Q05639	1246768 602263 1283665 23854 568590 568611
P15336	569655
P12814	602263 568665 554348 568886 440185 771931 568611 568863 568866 554355 554356
