P31749	R-HSA-6804757 R-HSA-111447 R-HSA-5674400
Q9UKV8	R-HSA-5687128 R-HSA-1912408
P51668	R-HSA-2173795 R-HSA-202424 R-HSA-5607764
Q96CV9	R-HSA-2565942
Q9Y4K3	R-HSA-933542 R-HSA-202424 R-HSA-445989 R-HSA-5607764
P19838	R-HSA-933542 R-HSA-202424 R-HSA-445989 R-HSA-5607764 R-HSA-1169091 R-HSA-5621575
Q9Y6K9	R-HSA-933542 R-HSA-202424 R-HSA-445989 R-HSA-5607764 R-HSA-1169091
P07900	R-HSA-3371511 R-HSA-8852276 R-HSA-380259 R-HSA-380270 R-HSA-8854518 R-HSA-380284 R-HSA-5620912 R-HSA-2565942 R-HSA-1227986
Q9UL18	R-HSA-5687128 R-HSA-1912408
P35609	R-HSA-373753
P49407	R-HSA-5674135
P62140	R-HSA-5627123 R-HSA-5625740 R-HSA-400253 R-HSA-2565942 R-HSA-2173788
P31946	R-HSA-5674135 R-HSA-75035 R-HSA-5673000 R-HSA-5625740 R-HSA-111447
Q9HAU4	R-HSA-2173795 R-HSA-2173788
Q5HYA8	R-HSA-5620912
P61586	R-HSA-5625740
Q13404	R-HSA-202424 R-HSA-5607764
P60953	R-HSA-983231 R-HSA-5627123 R-HSA-5687128
Q92934	R-HSA-111447 R-HSA-5674400
O00716	R-HSA-1912408
Q9NYZ3	R-HSA-8852276
P10644	R-HSA-983231
O15530	R-HSA-6804757 R-HSA-5625740 R-HSA-5674400 R-HSA-202424 R-HSA-5607764
P16220	R-HSA-5674400 R-HSA-400253
P63000	R-HSA-983231 R-HSA-5627123 R-HSA-5625740 R-HSA-5687128 R-HSA-1433557
P61981	R-HSA-75035 R-HSA-380259 R-HSA-380270 R-HSA-5625740 R-HSA-111447 R-HSA-8854518 R-HSA-380284 R-HSA-5620912 R-HSA-2565942
P15336	R-HSA-6796648 R-HSA-400253
Q9UNE7	R-HSA-2173788 R-HSA-1227986
P13984	R-HSA-6796648 R-HSA-167242
P05067	R-HSA-933542 R-HSA-445989
P42229	R-HSA-1433557
P35580	R-HSA-5627123 R-HSA-5625740
P42224	R-HSA-1433557
P62875	R-HSA-6796648 R-HSA-167242
Q92793	R-HSA-983231 R-HSA-400253 R-HSA-1912408 R-HSA-5621575
P23771	R-HSA-983231
Q96EB6	R-HSA-400253
P04792	R-HSA-5687128
Q15008	R-HSA-8852276 R-HSA-202424 R-HSA-5687128 R-HSA-5607764 R-HSA-1169091
P62136	R-HSA-400253 R-HSA-2173788
P12814	R-HSA-373753
P21333	R-HSA-5627123
P25788	R-HSA-8852276 R-HSA-202424 R-HSA-5687128 R-HSA-5607764 R-HSA-1169091
P52298	R-HSA-167242
Q16659	R-HSA-5687128
P14635	R-HSA-8852276 R-HSA-75035 R-HSA-6804114 R-HSA-2565942
Q92769	R-HSA-983231
P12757	R-HSA-2173795
Q93009	R-HSA-6804757
O95684	R-HSA-380259 R-HSA-380270 R-HSA-8854518 R-HSA-380284 R-HSA-5620912 R-HSA-2565942
O00267	R-HSA-6796648 R-HSA-167242
P63104	R-HSA-75035 R-HSA-5625740 R-HSA-111447
P35579	R-HSA-5627123 R-HSA-5625740
P0CG48	R-HSA-8852276 R-HSA-6804757 R-HSA-2173795 R-HSA-2173796 R-HSA-202424 R-HSA-5687128 R-HSA-445989 R-HSA-5607764 R-HSA-1169091 R-HSA-400253 R-HSA-2565942 R-HSA-2173788 R-HSA-1227986
P68104	R-HSA-3371511
P10398	R-HSA-5674135 R-HSA-5673000
Q06124	R-HSA-1433557
P84022	R-HSA-3311021 R-HSA-2173795 R-HSA-2173796 R-HSA-2173788
Q9UBN7	R-HSA-3371511
Q09161	R-HSA-167242
P40692	R-HSA-6796648
P42345	R-HSA-6804757 R-HSA-5674400
P17612	R-HSA-380259 R-HSA-983231 R-HSA-380270 R-HSA-8854518 R-HSA-380284 R-HSA-5687128 R-HSA-5620912 R-HSA-2565942 R-HSA-5621575
P08047	R-HSA-2173796
Q04917	R-HSA-75035 R-HSA-5625740 R-HSA-111447
P00533	R-HSA-1227986
P19793	R-HSA-400253
Q16543	R-HSA-1227986
Q09472	R-HSA-983231 R-HSA-6804114 R-HSA-400253 R-HSA-1912408 R-HSA-5621575
Q15109	R-HSA-933542 R-HSA-445989
Q13315	R-HSA-6796648 R-HSA-6804757
P02751	R-HSA-5674135
Q06330	R-HSA-1912408
P22736	R-HSA-5674400
Q7Z434	R-HSA-933542
P30153	R-HSA-6804757 R-HSA-380259 R-HSA-5673000 R-HSA-380270 R-HSA-8854518 R-HSA-380284 R-HSA-5620912 R-HSA-2565942
P08238	R-HSA-3371511 R-HSA-8852276
P55036	R-HSA-8852276 R-HSA-202424 R-HSA-5687128 R-HSA-5607764 R-HSA-1169091
Q13485	R-HSA-3311021 R-HSA-2173795 R-HSA-2173796
P05412	R-HSA-6796648 R-HSA-5687128 R-HSA-1912408
Q15051	R-HSA-5620912
O43318	R-HSA-202424 R-HSA-445989 R-HSA-5607764 R-HSA-1169091
P32121	R-HSA-5674135
P24522	R-HSA-6804114
O60674	R-HSA-983231 R-HSA-5673000 R-HSA-1433557
Q9HCK5	R-HSA-5687128 R-HSA-1912408
Q7Z7A1	R-HSA-380259 R-HSA-380270 R-HSA-8854518 R-HSA-380284 R-HSA-5620912 R-HSA-2565942
Q13573	R-HSA-2173796 R-HSA-1912408
P04049	R-HSA-5674135 R-HSA-5673000 R-HSA-5621575
P63167	R-HSA-380259 R-HSA-380270 R-HSA-8854518 R-HSA-380284 R-HSA-5620912 R-HSA-2565942
O15514	R-HSA-6796648 R-HSA-167242
Q6ZNA4	R-HSA-2173795 R-HSA-2173796
O00231	R-HSA-8852276 R-HSA-202424 R-HSA-5687128 R-HSA-5607764 R-HSA-1169091
P47755	R-HSA-983231
Q9Y4E8	R-HSA-2173788
Q04206	R-HSA-933542 R-HSA-202424 R-HSA-445989 R-HSA-5607764 R-HSA-1169091 R-HSA-5621575
Q71U36	R-HSA-8852276 R-HSA-380259 R-HSA-380270 R-HSA-8854518 R-HSA-380284 R-HSA-5620912 R-HSA-2565942
Q07812	R-HSA-6804114
P04626	R-HSA-1227986
P53350	R-HSA-8852276 R-HSA-380259 R-HSA-380270 R-HSA-8854518 R-HSA-380284 R-HSA-5620912 R-HSA-2565942
P35232	R-HSA-5673000
P06493	R-HSA-8852276 R-HSA-6804757 R-HSA-75035 R-HSA-380259 R-HSA-380270 R-HSA-6804114 R-HSA-8854518 R-HSA-380284 R-HSA-5687128 R-HSA-5620912 R-HSA-2565942
Q00987	R-HSA-6804757 R-HSA-5674400
P36873	R-HSA-400253 R-HSA-2173788
Q01082	R-HSA-373753
P46940	R-HSA-5674135 R-HSA-373753
Q15796	R-HSA-3311021 R-HSA-2173795 R-HSA-2173796 R-HSA-2173788
P01106	R-HSA-2173796 R-HSA-5687128
P01100	R-HSA-6796648
P60709	R-HSA-5674135 R-HSA-983231
P62487	R-HSA-6796648 R-HSA-167242
P40763	R-HSA-1433557
P12931	R-HSA-1227986
Q92667	R-HSA-983231
P04637	R-HSA-6796648 R-HSA-8852276 R-HSA-6804757 R-HSA-983231 R-HSA-6804114 R-HSA-1912408
P00519	R-HSA-983231
Q04864	R-HSA-1169091
P25786	R-HSA-8852276 R-HSA-202424 R-HSA-5687128 R-HSA-5607764 R-HSA-1169091
P62158	R-HSA-5627123
P60900	R-HSA-8852276 R-HSA-202424 R-HSA-5687128 R-HSA-5607764 R-HSA-1169091
P09429	R-HSA-933542 R-HSA-445989
P01116	R-HSA-5674135 R-HSA-5673000 R-HSA-1433557 R-HSA-5621575
O43707	R-HSA-373753
P62258	R-HSA-3371511 R-HSA-75035 R-HSA-380259 R-HSA-380270 R-HSA-5625740 R-HSA-111447 R-HSA-8854518 R-HSA-380284 R-HSA-5620912 R-HSA-2565942
Q14008	R-HSA-380259 R-HSA-380270 R-HSA-8854518 R-HSA-380284 R-HSA-5620912 R-HSA-2565942
Q13813	R-HSA-373753
P06241	R-HSA-1433557 R-HSA-5621575 R-HSA-373753 R-HSA-1227986
