R-HSA-3371511	HSF1 activation
R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes
R-HSA-5674135	MAP2K and MAPK activation
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint
R-HSA-6804757	Regulation of TP53 Degradation
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
R-HSA-380259	Loss of Nlp from mitotic centrosomes
R-HSA-983231	Factors involved in megakaryocyte development and platelet production
R-HSA-5673000	RAF activation
R-HSA-5627123	RHO GTPases activate PAKs
R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes
R-HSA-5625740	RHO GTPases activate PKNs
R-HSA-3311021	SMAD4 MH2 Domain Mutants in Cancer
R-HSA-111447	Activation of BAD and translocation to mitochondria
R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer
R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
R-HSA-8854518	AURKA Activation by TPX2
R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity
R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
R-HSA-933542	TRAF6 mediated NF-kB activation
R-HSA-202424	Downstream TCR signaling
R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome
R-HSA-5687128	MAPK6/MAPK4 signaling
R-HSA-1433557	Signaling by SCF-KIT
R-HSA-445989	TAK1 activates NFkB by phosphorylation and activation of IKKs complex
R-HSA-5620912	Anchoring of the basal body to the plasma membrane
R-HSA-5607764	CLEC7A (Dectin-1) signaling
R-HSA-1169091	Activation of NF-kappaB in B cells
R-HSA-400253	Circadian Clock
R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
R-HSA-1912408	Pre-NOTCH Transcription and Translation
R-HSA-5621575	CD209 (DC-SIGN) signaling
R-HSA-373753	Nephrin interactions
R-HSA-2173788	Downregulation of TGF-beta receptor signaling
R-HSA-1227986	Signaling by ERBB2
R-HSA-167242	Abortive elongation of HIV-1 transcript in the absence of Tat
