Q6PD62	CTR9
P31749	AKT1
P54274	TERF1
Q8N6Y0	USHBP1
Q99942	RNF5
Q49A88	CCDC14
Q8WZ42	TTN
Q9HAU4	SMURF2
Q92769	HDAC2
Q9Y2R0	COA3
P19429	TNNI3
P60411	KRTAP10-9
O00716	E2F3
O75052	NOS1AP
P48201	ATP5G3
O75190	DNAJB6
O14558	HSPB6
P40429	RPL13A
P63000	RAC1
Q14145	KEAP1
P03891	MT-ND2
P13196	ALAS1
J3QR09	RPL19
P02768	ALB
Q6ZMI0	PPP1R21
P62875	POLR2L
P54725	RAD23A
Q9BQD3	KXD1
K7EN02	TNNI3
P19320	VCAM1
P23771	GATA3
Q96EB6	SIRT1
P62280	RPS11
Q15008	PSMD6
P54296	MYOM2
P22736	NR4A1
P42858	HTT
P25788	PSMA3
Q9H814	PHAX
Q7Z3S9	NOTCH2NL
P32121	ARRB2
O95602	POLR1A
P68104	EEF1A1
P27635	RPL10
O15514	POLR2D
Q9NX24	NHP2
P63220	RPS21
P11142	HSPA8
Q92934	BAD
Q9Y5K8	ATP6V1D
Q09161	NCBP1
O75386	TULP3
O75380	NDUFS6
Q9BQ95	ECSIT
P60520	GABARAPL2
P08047	SP1
Q14203	DCTN1
P62891	RPL39
P61247	RPS3A
Q06330	RBPJ
Q7Z5K2	WAPL
P68032	ACTC1
Q7Z434	MAVS
P56134	ATP5J2
Q5S007	LRRK2
P98160	HSPG2
Q04206	RELA
P09211	GSTP1
P09382	LGALS1
Q8N3C7	CLIP4
P06748	NPM1
P49821	NDUFV1
P38432	COIL
Q9Y375	NDUFAF1
P04049	RAF1
Q9H444	CHMP4B
Q9BSB4	ATG101
Q02878	RPL6
Q01844	EWSR1
P61457	PCBD1
P57740	NUP107
Q9BTT4	MED10
Q71U36	TUBA1A
P04626	ERBB2
Q15327	ANKRD1
Q9Y2Q3	GSTK1
P19474	TRIM21
Q00987	MDM2
O43542	XRCC3
A5YKK6	CNOT1
P37840	SNCA
Q71RC2	LARP4
P46940	IQGAP1
O95168	NDUFB4
P60709	ACTB
Q96EY1	DNAJA3
Q8TCT9	HM13
P10916	MYL2
P40763	STAT3
P02652	APOA2
P09619	PDGFRB
O75925	PIAS1
P17568	NDUFB7
P06733	ENO1
Q24JP5	TMEM132A
P55809	OXCT1
P42345	MTOR
Q9UK41	VPS28
Q16795	NDUFA9
Q8N4V1	MMGT1
Q9UKV8	AGO2
Q9Y4K3	TRAF6
Q9UBS9	SUCO
Q9Y6K9	IKBKG
P35609	ACTN2
P42566	EPS15
P62993	GRB2
P63316	TNNC1
P62380	TBPL1
P63313	TMSB10
Q92731	ESR2
P01100	FOS
A0MZ66	SHTN1
P16860	NPPB
Q13162	PRDX4
P00395	MT-CO1
P10644	PRKAR1A
Q13043	STK4
Q01449	MYL7
P52566	ARHGDIB
P52564	MAP2K6
P61981	YWHAG
P15336	ATF2
Q86VR2	FAM134C
Q9UNE7	STUB1
P13984	GTF2F2
P29590	PML
P05067	APP
O00483	NDUFA4
Q02221	COX6A2
P19438	TNFRSF1A
P05141	SLC25A5
O96008	TOMM40
Q9NPC6	MYOZ2
Q9UBL3	ASH2L
Q9NYB0	TERF2IP
Q05639	EEF1A2
P03886	MT-ND1
P12814	ACTN1
P14635	CCNB1
Q14789	GOLGB1
P00156	MT-CYB
P07996	THBS1
Q93009	USP7
P03905	MT-ND4
Q00610	CLTC
P03901	MT-ND4L
O95684	FGFR1OP
P19793	RXRA
P63104	YWHAZ
O43181	NDUFS4
Q9P0L0	VAPA
P03897	MT-ND3
F8W7C6	RPL10
P40692	MLH1
Q92736	RYR2
P00846	MT-ATP6
Q00765	REEP5
Q9NUX5	POT1
Q13501	SQSTM1
P00533	EGFR
O00505	KPNA3
Q09472	EP300
Q15109	AGER
P04406	GAPDH
Q13418	ILK
P68133	ACTA1
P24539	ATP5F1
P02751	FN1
O95831	AIFM1
P29692	EEF1D
P05976	MYL1
P20963	CD247
P30153	PPP2R1A
P10606	COX5B
P55036	PSMD4
P35222	CTNNB1
Q9Y4F1	FARP1
Q6NYC8	PPP1R18
P49748	ACADVL
P10176	COX8A
Q15428	SF3A2
P21246	PTN
O60674	JAK2
Q15424	SAFB
Q13573	SNW1
P50461	CSRP3
O75955	FLOT1
P62273	RPS29
O15239	NDUFA1
Q9NRI5	DISC1
P00441	SOD1
P54253	ATXN1
Q9H422	HIPK3
O00231	PSMD11
P47755	CAPZA2
P42677	RPS27
Q07065	CKAP4
P06732	CKM
P05556	ITGB1
P17020	ZNF16
P53350	PLK1
P46379	BAG6
Q15554	TERF2
Q8N137	CNTROB
Q9UI09	NDUFA12
Q9UKG1	APPL1
P25398	RPS12
P46781	RPS9
Q8TB24	RIN3
P16144	ITGB4
P37198	NUP62
P42704	LRPPRC
O14949	UQCRQ
P12931	SRC
P04637	TP53
Q99459	CDC5L
Q9UMX0	UBQLN1
Q7Z6Z7	HUWE1
P25786	PSMA1
P09429	HMGB1
Q14008	CKAP5
Q13813	SPTAN1
P40939	HADHA
Q96CV9	OPTN
P03372	ESR1
P05412	JUN
O95758	PTBP3
P20674	COX5A
P52292	KPNA2
P30480	HLA-B
Q9H8W4	PLEKHF2
O00400	SLC33A1
P52298	NCBP2
P49407	ARRB1
P31946	YWHAB
O43889	CREB3
P15104	GLUL
P25445	FAS
O95870	ABHD16A
P06396	GSN
Q9BWH6	RPAP1
Q9Y371	SH3GLB1
O15273	TCAP
P02792	FTL
P02794	FTH1
P23396	RPS3
O75923	DYSF
P60953	CDC42
Q9Y3E0	GOLT1B
Q9NYZ3	GTSE1
Q12873	CHD3
H0YK48	TPM1
P00403	MT-CO2
O15530	PDPK1
Q16643	DBN1
P16220	CREB1
P31930	UQCRC1
Q8IXK0	PHC2
Q59H18	TNNI3K
P42229	STAT5A
Q99623	PHB2
P42224	STAT1
P98082	DAB2
Q92793	CREBBP
Q9HC52	CBX8
Q13642	FHL1
P04792	HSPB1
P14136	GFAP
Q96II8	LRCH3
Q9H492	MAP1LC3A
P21333	FLNA
P19838	NFKB1
P78527	PRKDC
P19404	NDUFV2
Q99816	TSG101
P12110	COL6A2
Q13387	MAPK8IP2
O94842	TOX4
P51610	HCFC1
Q14764	MVP
Q9Y281	CFL2
P62140	PPP1CB
O00267	SUPT5H
