Q9Y478	GO:0005634 GO:0043234
P68366	GO:0005856 GO:0005737
P31749	GO:0005739 GO:0005634 GO:0005654 GO:0005911 GO:0005886 GO:0005737
P08069	GO:0043235 GO:0005886
Q5VT25	GO:0042641 GO:0005911 GO:0005737
P41220	GO:0009898 GO:0005739 GO:0005634 GO:0043005 GO:0005886 GO:0005730 GO:0005737
Q15942	GO:0030054 GO:0001725 GO:0005634 GO:0005856 GO:0005913 GO:0005886 GO:0005737
P18827	GO:0009897 GO:0043202 GO:0009986 GO:0005886 GO:0043234 GO:0005737
P38936	GO:0005634 GO:0005654 GO:0048471 GO:0005737
Q9Y4K3	GO:0035631 GO:0009898 GO:0005739 GO:0010008 GO:0005634 GO:0048471 GO:0005886 GO:0043234 GO:0005730 GO:0005737 GO:0005938
P16333	GO:0005783 GO:0005634 GO:0012506 GO:0005911 GO:0005886 GO:0005737
Q6K0P9	GO:0005634 GO:0005654
Q13526	GO:0005739 GO:0005634 GO:0005654 GO:0043005 GO:0005737
Q13642	GO:0005634 GO:0005886 GO:0005737
P07900	GO:0043202 GO:0043209 GO:0005634 GO:0005654 GO:0042470 GO:0005886 GO:0032587 GO:0005737
P35609	GO:0030175 GO:0030017 GO:0030018 GO:0005856 GO:0031143 GO:0043197 GO:0005737 GO:0005884
Q8WZ42	GO:0005634 GO:0030018 GO:0005737
P55957	GO:0005739 GO:0005737
P49407	GO:0031410 GO:0005634 GO:0005654 GO:0031143 GO:0016323 GO:0005886 GO:0042995 GO:0043197 GO:0030659 GO:0005737 GO:0016023
P62993	GO:0005794 GO:0005634 GO:0005654 GO:0012506 GO:0005911 GO:0005886 GO:0005730 GO:0005737 GO:0005768
P31946	GO:0005739 GO:0005634 GO:0048471 GO:0042470 GO:0043234 GO:0030659 GO:0005737
P24043	GO:0042383 GO:0005605 GO:0043197
P35443	GO:0005783 GO:0031594
P25445	GO:0009897 GO:0045121 GO:0005634 GO:0043005 GO:0048471 GO:0043025 GO:0042383 GO:0009986 GO:0005886 GO:0005737
P61812	GO:0030424 GO:0043025 GO:0005768
P06396	GO:0015629 GO:0043209 GO:0072562 GO:0048471 GO:0005856 GO:0001726 GO:0005886 GO:0043234 GO:0005737
O75190	GO:0005634 GO:0005654 GO:0030018 GO:0048471 GO:0005737
O60885	GO:0005634 GO:0005654 GO:0000790 GO:0005737
P63316	GO:0015629 GO:0005739 GO:0005654 GO:0043292
Q15052	GO:0005911 GO:0042995
O15273	GO:0030017 GO:0030018 GO:0005737
O75386	GO:0005634 GO:0005886 GO:0042995 GO:0005730 GO:0005737
Q14847	GO:0005856 GO:0005737 GO:0005938
P53779	GO:0005739 GO:0005634 GO:0005654 GO:0005886 GO:0005737
P19429	GO:0030017 GO:0005737 GO:0043292
P60953	GO:0030175 GO:0045177 GO:0043209 GO:0043005 GO:0043025 GO:0005856 GO:0005911 GO:0005886 GO:0042995 GO:0005737
Q15262	GO:0030054 GO:0030424 GO:0043025 GO:0009986 GO:0005911 GO:0005886
P02751	GO:0072562 GO:0005605
Q9UHB6	GO:0015629 GO:0005903 GO:0030054 GO:0001725 GO:0005856 GO:0005886 GO:0005737
P62837	GO:0005654 GO:0043234
O14920	GO:0035631 GO:0045121 GO:0009898 GO:0005634 GO:0005737
P48552	GO:0030054 GO:0005634 GO:0005654 GO:0000790 GO:0005730
O00151	GO:0005856 GO:0005737 GO:0005667
Q12933	GO:0035631 GO:0045121 GO:0009898 GO:0012506 GO:0043234 GO:0005737 GO:0005938
