GO:0035631	Q12933 Q9Y4K3 Q13490 O14920
GO:0009897	P17301 P18827 P01876 P16671 P19320 P38570 P25445 P10721
GO:0042995	P17301 P49407 P54257 Q16643 Q13153 Q03001 O75386 P19174 P60953 P15311 P23508 P20339 Q5S007 P14136 Q15052 P08670
GO:0015629	P37840 P35579 P54257 Q16643 Q03001 Q96IZ0 O00401 P68133 P15311 P63316 P06396 P35221 Q9UHB6 P18206 P20339
GO:0030426	P05067 P37840 Q16643 Q13153 Q5S007 P06753 P49768 P50570
GO:0009898	Q12933 P41220 Q9Y4K3 O14920 Q13490 P10721
GO:0070435	P29353 P00533
GO:0030175	P19320 P68133 P15311 P35609 P60953
GO:0030017	P19429 P68133 Q15327 O15273 P35609 P05976
GO:0005903	Q9UHB6 P29972 P15311 P35579 O43707 P18206
GO:0072562	P63104 P02768 P04196 P06396 P68133 P01876 O00560 P02751
GO:0030054	P37840 P50570 O43707 P54257 Q16643 Q13153 Q03001 Q5S007 P54259 Q15262 Q6S5L8 O00560 O95295 Q15942 P35221 P35222 Q9UHB6 P49768 P18206 P48552
GO:0010008	P00533 P62979 P0CG48 P61077 P29353 Q15750 Q9Y4K3 Q99816 P06213 Q9UKG1 O43318 P20339
GO:0005584	P02452 P08123
GO:0001725	P35579 Q15942 P06753 P68133 O43707 Q9UHB6
GO:0045177	P05067 P29972 P60953 P15311 P16671 P35222 P19320
GO:0043202	Q14108 P18827 P98160 P07900 Q9NQ11
GO:0016600	O75955 P35222 P35221
GO:0043209	P02768 P0CG48 Q8WUM4 P62979 P60953 P06396 P21796 P15311 Q16891 P07900 P14136
GO:0031410	P05067 P32121 P49407 Q9H492 Q96N21 Q9UMX0 Q5S007 O75923 P21802 Q15363 Q9H0R8 O75955 O95295 P54257 Q03135 P11362 P49768 P20339
GO:0005634	Q9Y478 P31749 P41220 Q15942 Q9Y4K3 P16333 Q6K0P9 P13693 Q13642 P07900 Q8WZ42 O95149 P49407 P62993 P31946 P25445 O14920 O60885 P53779 O75190 P48552 O95863 P15336 P28300 Q13526 P02768 Q13177 P62979 Q8ND90 O00560 Q92793 P04792 P04156 P42858 Q16659 O00401 P03372 Q99816 P29972 Q03001 P63104 P35579 P05412 Q96IZ0 Q06124 Q14676 P29474 Q96SB8 P49768 Q96SB4 P84022 P21802 Q13153 Q92731 O75386 Q9ULV8 Q13490 P00533 Q09472 P61088 P29353 P42771 P06213 P50570 Q02962 Q969Q1 P28482 P06493 Q9UMX0 P12956 P35222 P38936 P0CG48 O43318 P32121 P05230 Q16539 P04049 P50461 P17301 P33993 Q96EP1 P54257 Q9BXY0 O76064 P54259 Q04206 P17020 Q15327 P61457 P45984 P41218 Q00987 P37840 P17706 P26641 Q9UKG1 P01106 P63279 P42704 Q9NXV6 P11362 Q15834 Q92754 P40763 P12931 P23508 P21796 Q9BVA1 P12268 Q99750 O43707 Q15796 Q92876
GO:0005770	P28482 P25116 Q9H492 P42858 O75923 P12931 Q99816
GO:0005776	P54257 Q9UMX0 Q9H0R8 Q9H492 P42858
GO:0005739	P41220 P19634 P31749 P54257 Q92731 Q9Y4K3 P21964 P45984 P37840 P55957 P31946 P42858 P29353 P03372 P63316 Q16891 P42704 P15336 P28482 P06493 P53779 P40763 P08238 Q5S007 P12931 P49768 Q92876 P07384 P21796 P63104 Q16539 Q13526 P04049 Q06124 Q9Y572 Q92754 P62258 Q03135
GO:0005654	P62837 P33993 P19634 P31749 Q13177 P21802 P51668 Q92731 Q15750 Q04206 Q6K0P9 Q13526 Q92793 P61457 P45984 P07900 Q00987 P61077 O76064 P49407 P62993 Q09472 Q15051 P42858 Q15796 Q16659 P03372 O60885 P01106 P63316 P42704 Q9NXV6 P28482 P62979 P06493 P53779 P40763 P08238 P12956 P17706 P35222 P38936 P0CG48 Q16539 O75190 P48552 P63104 Q9UMX0 P05412 P05230 P61088 P54259 P15336 Q92876 Q14676 Q92754 Q96SB8 Q99700 P23508 P63279 P84022 Q15327
GO:0031143	P49407 P28482 P35609 O43707 P04049
GO:0030018	Q8WZ42 Q969Q1 Q13153 Q03001 O75190 P50461 P35222 O43707 Q13813 O15273 P04792 P35609
GO:0043005	P05067 P41220 P29972 Q92731 P25445 P06753 Q96IZ0 P60953 P12931 P08670 Q13526 O43707 P35222 P03372 P49768 Q5S007
GO:0048471	P05067 P17301 P19634 Q13177 Q92731 P54259 Q9Y4K3 Q99700 P37840 P00533 P31946 P25445 P06396 P03372 P42704 P50570 P12931 P35222 P38936 O75190 Q9UMX0 P15311 O95295 O43707 Q03135
GO:0042641	P35579 Q5VT25 Q16643
GO:0043025	P42858 Q92731 P25445 P05019 P60953 Q96IZ0 Q15262 P61812 Q13671 P49768 Q5S007 P20339
GO:0005730	P41220 P62993 P61088 Q15327 O75386 P62979 Q9Y4K3 P01106 Q8ND90 P15311 Q99816 P42766 Q9BXY0 Q02962 Q92876 Q9NXV6 Q00987 P05230 P48552 O95295
GO:0005794	P05067 P02768 P21802 Q13153 Q99700 P19320 P37840 P00533 P62993 P04156 P42858 P25116 Q15363 P03372 P50570 Q02962 P28482 Q5S007 P02452 P16671 P49768 P35221 P30480 P04049 Q9H0R8 O95295 P29474 Q03135
GO:0030659	P63104 P37840 P49407 P31946 P42858 O75923 Q15363 Q9H0R8 O95295 P62258
GO:0042383	P19634 P29972 P24043 P25445 O75923 O75955 P19320
GO:0031594	P05067 P35579 P35443 P25116 P49768 P29400
GO:0032839	Q9H0R8 Q5S007 P28482
GO:0030315	P15311 O75923 P19634 P03372
GO:0009986	P05067 P00533 P17301 P19634 P04156 P21802 P08238 P18827 P25116 P30480 Q15262 P16671 P49768 Q03135 P19320 Q14D33 P25445 P10721
GO:0044297	P15311 Q9H0R8 P21964 P14136 P68133
GO:0001726	P35579 Q13153 P19174 P06396 P15311 P20339
GO:0005916	Q13813 P18206 P35222
GO:0016323	P00533 P49407 P19634 P29972 P32121 P08238 P15311 P35222 O75955 Q03135
