Q9Y478	GO:0019901 GO:0004672
P68366	GO:0019899 GO:0000166
P31749	GO:0019901 GO:0019899 GO:0030235 GO:0000166 GO:0004674 GO:0016740 GO:0004672 GO:0005524 GO:0016301 GO:0042802
P08069	GO:0043560 GO:0004714 GO:0000166 GO:0016740 GO:0004713 GO:0004672 GO:0005524 GO:0016301 GO:0005158 GO:0042802
P12268	GO:0000166 GO:0046872
P51668	GO:0000166 GO:0016740 GO:0005524 GO:0004842 GO:0061631
P18827	GO:0008022 GO:0001948
Q14847	GO:0046872 GO:0005070 GO:0051015
Q9Y4K3	GO:0019901 GO:0043422 GO:0031435 GO:0046872 GO:0042826 GO:0004842 GO:0031625 GO:0031996 GO:0047485 GO:0042802
P16333	GO:0030971 GO:0005070 GO:0005102 GO:0019904
P13693	GO:0044822
Q13642	GO:0044325 GO:0046872
P07900	GO:0030235 GO:0000166 GO:0042826 GO:0005524 GO:0042803 GO:0044822 GO:0042802
P41220	GO:0048487
P35609	GO:0044325 GO:0046872 GO:0042803 GO:0070080 GO:0008307 GO:0042802 GO:0019904
Q8WZ42	GO:0019901 GO:0019899 GO:0000166 GO:0004674 GO:0016740 GO:0004713 GO:0002020 GO:0004672 GO:0042805 GO:0046872 GO:0005524 GO:0016301 GO:0051015 GO:0008307 GO:0042802
P55957	GO:0031625
P49407	GO:0005159 GO:0044325 GO:0031691 GO:0008134 GO:0031762 GO:0030331 GO:0044212 GO:0031625 GO:0051219
P62993	GO:0019901 GO:0005168 GO:0043560 GO:0005154 GO:0005070 GO:0044822 GO:0019903 GO:0046875 GO:0042802 GO:0019904
P31946	GO:0008022 GO:0019899 GO:0032403 GO:0042826 GO:0050815 GO:0051219 GO:0019904
P24043	GO:0005102
P35443	GO:0005518 GO:0008201
P25445	GO:0002020 GO:0032403 GO:0019900 GO:0042802
P02461	GO:0046872 GO:0046332
P61812	GO:0042803 GO:0005102 GO:0046982
P06396	GO:0046872 GO:0019904
Q5VT25	GO:0000166 GO:0004674 GO:0016740 GO:0004672 GO:0046872 GO:0005524 GO:0016301 GO:0042802
Q15942	GO:0046872 GO:0044822
P63316	GO:0048306 GO:0046872 GO:0042803 GO:0051015
O15273	GO:0044325 GO:0070080 GO:0008307
Q8WUM4	GO:0048306 GO:0042803
P19237	GO:0046872
