GO:0008022	protein C-terminus binding
GO:0033613	activating transcription factor binding
GO:0048306	calcium-dependent protein binding
GO:0019901	protein kinase binding
GO:0003713	transcription coactivator activity
GO:0005518	collagen binding
GO:0005168	neurotrophin TRKA receptor binding
GO:0019899	enzyme binding
GO:0031490	chromatin DNA binding
GO:0030235	nitric-oxide synthase regulator activity
GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding
GO:0005159	insulin-like growth factor receptor binding
GO:0044325	ion channel binding
GO:0043422	protein kinase B binding
GO:0001948	glycoprotein binding
GO:0004716	receptor signaling protein tyrosine kinase activity
GO:0043560	insulin receptor substrate binding
GO:0031691	alpha-1A adrenergic receptor binding
GO:0031435	mitogen-activated protein kinase kinase kinase binding
GO:0005154	epidermal growth factor receptor binding
GO:0030971	receptor tyrosine kinase binding
GO:0004714	transmembrane receptor protein tyrosine kinase activity
GO:0000166	nucleotide binding
GO:0004674	protein serine/threonine kinase activity
GO:0016740	transferase activity
GO:0070412	R-SMAD binding
GO:0004713	protein tyrosine kinase activity
GO:0002020	protease binding
GO:0004672	protein kinase activity
GO:0032403	protein complex binding
GO:0042805	actinin binding
GO:0003690	double-stranded DNA binding
GO:0046872	metal ion binding
GO:0042826	histone deacetylase binding
GO:0008134	transcription factor binding
GO:0005524	ATP binding
GO:0042803	protein homodimerization activity
GO:0005070	SH3/SH2 adaptor activity
GO:0016301	kinase activity
GO:0031762	follicle-stimulating hormone receptor binding
GO:0030331	estrogen receptor binding
GO:0070080	titin Z domain binding
GO:0044822	poly(A) RNA binding
GO:0005158	insulin receptor binding
GO:0035257	nuclear hormone receptor binding
GO:0003682	chromatin binding
GO:0008013	beta-catenin binding
GO:0046332	SMAD binding
GO:0019900	kinase binding
GO:0019903	protein phosphatase binding
GO:0051015	actin filament binding
GO:0001102	RNA polymerase II activating transcription factor binding
GO:0042975	peroxisome proliferator activated receptor binding
GO:0050839	cell adhesion molecule binding
GO:0004842	ubiquitin-protein transferase activity
GO:0061631	ubiquitin conjugating enzyme activity
GO:0048487	beta-tubulin binding
GO:0044212	transcription regulatory region DNA binding
GO:0031625	ubiquitin protein ligase binding
GO:0038052	RNA polymerase II transcription factor activity, estrogen-activated sequence-specific DNA binding
GO:0031996	thioesterase binding
GO:0047485	protein N-terminus binding
GO:0050815	phosphoserine binding
GO:0008201	heparin binding
GO:0046875	ephrin receptor binding
GO:0051219	phosphoprotein binding
GO:0008307	structural constituent of muscle
GO:0004707	MAP kinase activity
GO:0097110	scaffold protein binding
GO:0042802	identical protein binding
GO:0016504	peptidase activator activity
GO:0005102	receptor binding
GO:0046982	protein heterodimerization activity
GO:0002039	p53 binding
GO:0004708	MAP kinase kinase activity
GO:0019904	protein domain specific binding
