hsa05132	Salmonella infection
hsa04550	Signaling pathways regulating pluripotency of stem cells
hsa05130	Pathogenic Escherichia coli infection
hsa04611	Platelet activation
hsa05221	Acute myeloid leukemia
hsa05222	Small cell lung cancer
hsa05212	Pancreatic cancer
hsa04650	Natural killer cell mediated cytotoxicity
hsa05210	Colorectal cancer
hsa04010	MAPK signaling pathway
hsa05131	Shigellosis
hsa04024	cAMP signaling pathway
hsa04630	Jak-STAT signaling pathway
hsa04530	Tight junction
hsa04066	HIF-1 signaling pathway
hsa04670	Leukocyte transendothelial migration
hsa05230	Central carbon metabolism in cancer
hsa04144	Endocytosis
hsa04068	FoxO signaling pathway
hsa04380	Osteoclast differentiation
hsa04064	NF-kappa B signaling pathway
hsa04062	Chemokine signaling pathway
hsa04920	Adipocytokine signaling pathway
hsa04012	ErbB signaling pathway
hsa04370	VEGF signaling pathway
hsa05213	Endometrial cancer
hsa04015	Rap1 signaling pathway
hsa05142	Chagas disease (American trypanosomiasis)
hsa05140	Leishmaniasis
hsa05168	Herpes simplex infection
hsa05169	Epstein-Barr virus infection
hsa05145	Toxoplasmosis
hsa05164	Influenza A
hsa05166	HTLV-I infection
hsa05160	Hepatitis C
hsa05161	Hepatitis B
hsa05120	Epithelial cell signaling in Helicobacter pylori infection
hsa05220	Chronic myeloid leukemia
hsa05211	Renal cell carcinoma
hsa04072	Phospholipase D signaling pathway
hsa05100	Bacterial invasion of epithelial cells
hsa04110	Cell cycle
hsa05206	MicroRNAs in cancer
hsa04620	Toll-like receptor signaling pathway
hsa04621	NOD-like receptor signaling pathway
hsa04622	RIG-I-like receptor signaling pathway
hsa04912	GnRH signaling pathway
hsa04666	Fc gamma R-mediated phagocytosis
hsa04910	Insulin signaling pathway
hsa05223	Non-small cell lung cancer
hsa04917	Prolactin signaling pathway
hsa04914	Progesterone-mediated oocyte maturation
hsa04915	Estrogen signaling pathway
hsa05203	Viral carcinogenesis
hsa04919	Thyroid hormone signaling pathway
hsa04931	Insulin resistance
hsa05218	Melanoma
hsa04660	T cell receptor signaling pathway
hsa05215	Prostate cancer
hsa04664	Fc epsilon RI signaling pathway
hsa04662	B cell receptor signaling pathway
hsa04722	Neurotrophin signaling pathway
hsa04071	Sphingolipid signaling pathway
hsa04520	Adherens junction
hsa05152	Tuberculosis
hsa04932	Non-alcoholic fatty liver disease (NAFLD)
hsa05214	Glioma
hsa05219	Bladder cancer
hsa04668	TNF signaling pathway
hsa05231	Choline metabolism in cancer
