GO:2001234	P35222 P49768 P04792 O43318
GO:0019221	P17706 P0CG48 P61088 P40763 P62979 P19174 Q9Y4K3 Q04206 Q06124 Q13526 P30480 P19320 P10721
GO:0050679	P00533 P21802 P05230 P05019 P03372 P01106 Q02962
GO:0000086	P68366 P06493 Q09472 P62979 P38936 P0CG48 P07900 P50570 P62258
GO:0034605	P28482 Q09472 P08238 P05230 P62258 Q92793 P38936 P07900 O75190
GO:0010803	Q12933 P62979 P0CG48 O14920 Q13490
GO:0007611	Q92731 P49768 P00533 P04156 P42858
GO:0061024	P05067 P63104 Q9Y478 P49407 P31749 P31946 P62979 Q15363 P12931 Q99816 P37840 P62258 P0CG48 P50570 Q13813
GO:0043524	P37840 P05412 P42858 P08238 P25116 Q13526 P49768
GO:0007165	Q9Y478 P31749 P08069 Q13177 Q15942 Q92731 Q9Y4K3 P52735 Q92793 P07900 Q9UKG1 P00533 P49407 P29353 P25445 P25116 P03372 P50570 Q969Q1 P28482 P53779 P32121 P40763 P05019 P19174 P12931 Q15262 Q13671 P23508 O43318 P10721 P63104 Q12933 P62070 P05230 Q16539 P04049 Q9Y572 Q02952 Q16659
GO:0007166	Q12933 P00533 P62979 P0CG48 Q01955 P25445 Q15750 Q9ULV8 P16671 O43318 Q16539 O14920 Q13490
GO:0070936	P51668 O76064 P62837 P61077 Q96LR5
GO:0051897	P00533 P08069 P32121 P05019 P12931 P06213
GO:0007219	P05067 P32121 P49407 P0CG48 Q09472 P62979 P01106 P49768 Q92793
GO:0000165	P00533 P28482 P62993 P0CG48 P31946 P00540 P29353 Q16659 P62979 P21802 P04049 P01106 P05230 Q13813 Q03135 P11362 Q5S007 P35609 O43318 P10721
GO:0009611	Q03001 P25116 Q96IZ0 P61812 P02751 Q92876 P14136
GO:0009612	P05412 P02461 P05019 P02452 P68133 P12931 P45984 Q04206 Q03135
GO:0010033	P02768 P05412 Q13153 P18827 P05019 Q04206 P40763 P38936 P45984
GO:0060527	P21802 P05019 P03372
GO:0007179	P32121 P62979 P05412 P61077 P02461 P51668 Q15796 Q15750 P01106 P12931 Q15262 P61812 O43318 P08123 Q15942 P0CG48 P84022
GO:0071333	P08069 P25445 P05019 P02751 P19320 Q02962
GO:0035666	P62837 P28482 P62979 P05412 P53779 P51668 Q15750 Q9Y4K3 Q04206 P15336 Q9Y572 O43318 Q16539 P45984 P0CG48 O14920 Q13490 P61077
GO:0043280	P45984 P49407 P25116 P25445 P01106
GO:0070534	O76064 Q12933 Q96LR5 Q9Y4K3 P61088
GO:0031295	P12931 P62993 P31749 Q13177 Q13153 P60953 Q06124 Q03135
GO:0043123	P16671 Q12933 P62979 P0CG48 P61088 O60885 P25116 Q9Y4K3 Q04206 P63279 P35222 O43318 O14920 Q13490
GO:0042127	P55957 P05412 P00533 P29353 P25445 P05019 P21802 P12931 P35222 Q92754 P35221 P11362 Q13490 P10721
GO:0071280	P37840 P29972 P04156
GO:0030154	Q15834 P19634 P31749 Q16643 Q5S007 P60953 Q99750 P04049 P50461 Q99816 P62993 P35222 Q92754 Q13642 Q96SB4 P05230 Q02962
GO:0014823	P35222 Q92731 P05019 P06493 P06213
GO:0051291	Q12933 Q9Y478 P31946 P61457 Q9Y572 P35222 P35221 Q13490
GO:0034162	P28482 P62979 P05412 P53779 P61088 Q15750 Q9Y4K3 Q04206 P15336 Q16539 P45984 P0CG48 O14920 O43318
GO:0007176	P05067 P29353 P49768
GO:0071364	P33993 P31749 P00533 P19174 P02452 Q02962
GO:0034166	P28482 P62979 P05412 P53779 P61088 Q15750 Q9Y4K3 Q04206 P15336 Q16539 P45984 P0CG48 O14920 O43318
GO:0071363	P31749 P29353 P35222 P06213 P45984 Q00987
GO:0030324	P21802 P05019 Q09472 Q15796 P05230 Q15750 P35222 P29474 P28300 P11362
GO:0030512	P0CG48 Q15796 P62979 Q13526 Q03135 P50570 P84022
GO:0003009	O15273 P19429 P19237 O14920 P45378
GO:1903543	P18827 O00560 Q8WUM4 Q99816
GO:0010634	P17301 P05412 P29972 P19174 P12931 P61812
GO:0060045	P21802 Q16539 P06493 P11362
GO:0070423	P62979 P0CG48 P61088 Q15750 Q9Y4K3 O14920 O43318
GO:0031667	Q92731 P05019 P02452 P12931 P06213 Q02962
GO:0016567	P62837 Q12933 P49407 P32121 P31749 P61077 Q969Q1 P51668 P61088 Q9Y4K3 Q96EP1 P60953 O76064 Q96LR5 Q00987 Q9ULV8
GO:0051865	O76064 Q12933 P62837 Q9Y4K3 P61077
GO:0071407	P17301 P19634 P31749 Q13177 Q13153 Q92731 P25445 P40763 P35222 Q15327 P08238 Q00987 Q5S007
GO:0030193	Q03135 P04196 P25116 P52735
GO:0035924	P04792 Q16539 P31749 P02751 P19320
GO:0043525	P05412 P60953 Q96IZ0 P15336 P61812 Q13526 P35222
GO:0006921	Q13177 P06396 P08670 P35222 Q13813 Q13490
GO:0090263	P21802 P0CG48 Q5S007 P62979 P02452 P12931 Q13526 P35222 Q03135 P84022
GO:0007249	Q12933 P62979 P0CG48 Q15750 Q9Y4K3 Q04206 Q9Y572 O43318 O14920 Q13490
GO:0071260	P17301 P19634 P31749 P29972 P25445 P02452 P35222 Q15327 Q03135
GO:0006468	P05067 P21802 Q9Y478 P31749 P08069 Q13177 Q13153 P45984 Q8WZ42 P00533 Q15796 Q16659 O14920 O60885 P61812 P06213 P11362 P28482 P06493 P53779 Q5S007 P12931 Q5VT25 O43318 P10721 P00540 Q16539 P04049 Q9Y572 Q96SB4 Q6P0Q8
GO:1903553	P18827 O00560 Q8WUM4
GO:0010629	P31749 Q15796 P60953 P03372 P61812 P16671 P35222 P06213 P38936 Q00987 P11362
GO:0010628	Q9Y478 P06493 P08670 Q15796 Q16539 P60953 P06396 P68133 P12931 P15311 P61812 P35222 P02751 P45984 Q03135 Q00987 P84022 P10721
GO:0031175	P05067 P29353 Q15262 O95295 P45984 O14920 P11362
GO:0035556	P62258 P31749 P52735 P29353 Q6P0Q8 Q5S007 Q16539 P19174 P04049 P12931 Q6S5L8 O00560 Q15796 P49768 Q96SB4 P04792 Q5VT25 P84022 P10721
GO:0061418	P62837 P0CG48 P61077 P51668 P62979 Q92793 Q09472
