P05067	T3D0007
P28482	T3D0224 T3D0388 T3D0384 T3D0387 T3D0386 T3D0381 T3D0380 T3D0383 T3D0382 T3D1374 T3D1373 T3D1371 T3D1097 T3D0367 T3D0364 T3D0347 T3D0007 T3D0369 T3D0368 T3D1367 T3D1346 T3D0374 T3D0375 T3D0376 T3D0377 T3D0370 T3D0371 T3D0372 T3D0373 T3D0378
P68366	T3D0224 T3D0367 T3D0347 T3D1346
P05412	T3D0224
P53779	T3D0388 T3D0384 T3D0387 T3D0386 T3D0381 T3D0380 T3D0383 T3D0382 T3D1374 T3D1373 T3D1371 T3D1097 T3D0367 T3D0364 T3D0347 T3D0007 T3D0369 T3D0368 T3D1367 T3D1346 T3D0374 T3D0375 T3D0376 T3D0377 T3D0370 T3D0371 T3D0372 T3D0373 T3D0378
Q92731	T3D0388 T3D0384 T3D0387 T3D0386 T3D0381 T3D0380 T3D0383 T3D0382 T3D1374 T3D1373 T3D1371 T3D1097 T3D0367 T3D0364 T3D0347 T3D0007 T3D0369 T3D0368 T3D1367 T3D1346 T3D0374 T3D0375 T3D0376 T3D0377 T3D0370 T3D0371 T3D0372 T3D0373 T3D0378
Q16659	T3D0388 T3D0384 T3D0387 T3D0386 T3D0381 T3D0380 T3D0383 T3D0382 T3D1374 T3D1373 T3D1371 T3D1097 T3D0367 T3D0364 T3D0347 T3D0007 T3D0369 T3D0368 T3D1367 T3D1346 T3D0374 T3D0375 T3D0376 T3D0377 T3D0370 T3D0371 T3D0372 T3D0373 T3D0378
Q16539	T3D0388 T3D0384 T3D0387 T3D0386 T3D0381 T3D0380 T3D0383 T3D0382 T3D1374 T3D1373 T3D1371 T3D1097 T3D0367 T3D0364 T3D0347 T3D0007 T3D0369 T3D0368 T3D1367 T3D1346 T3D0374 T3D0375 T3D0376 T3D0377 T3D0370 T3D0371 T3D0372 T3D0373 T3D0378
Q9BVA1	T3D0224 T3D0367 T3D0347 T3D1346
P68133	T3D0224 T3D0367
P45984	T3D0388 T3D0384 T3D0387 T3D0386 T3D0381 T3D0380 T3D0383 T3D0382 T3D1374 T3D1373 T3D1371 T3D1097 T3D0367 T3D0364 T3D0347 T3D0007 T3D0369 T3D0368 T3D1367 T3D1346 T3D0374 T3D0375 T3D0376 T3D0377 T3D0370 T3D0371 T3D0372 T3D0373 T3D0378
P31749	T3D0224
P03372	T3D0224 T3D0388 T3D0384 T3D0387 T3D0386 T3D0381 T3D0380 T3D0383 T3D0382 T3D1374 T3D1373 T3D1371 T3D1097 T3D0367 T3D0364 T3D0347 T3D0007 T3D0369 T3D0368 T3D1367 T3D1346 T3D0374 T3D0375 T3D0376 T3D0377 T3D0370 T3D0371 T3D0372 T3D0373 T3D0378
O14920	T3D0224
P29972	T3D0347 T3D1346
