T3D0224	Arsenic trioxide
T3D0388	Cadmium tungstate
T3D0384	Cadmium sulfate
T3D0387	Cadmium telluride
T3D0386	Cadmium sulphide
T3D0381	Cadmium phosphate
T3D0380	Cadmium oxide fume
T3D0383	Cadmium succinate
T3D0382	Cadmium selenide
T3D1374	Cadmium(I) tetrachloroaluminate
T3D1373	Zinc cadmium sulfide
T3D1371	Cadmium 3-ethylhexanoate
T3D1097	Barium cadmium stearate
T3D0367	Cadmium arsenide
T3D0364	Cadmium acetate
T3D0347	Mercury cadmium telluride
T3D0007	Cadmium
T3D0369	Cadmium bromide
T3D0368	Cadmium bromate
T3D1367	Cadmium cyclohexane-butyrate
T3D1346	Cadmium mercury sulfide
T3D0374	Cadmium fluosilicate
T3D0375	Cadmium hydroxide
T3D0376	Cadmium iodide
T3D0377	Cadmium lactate
T3D0370	Cadmium carbonate
T3D0371	Cadmium chloride
T3D0372	Cadmium fluoborate
T3D0373	Cadmium fluoride
T3D0378	Cadmium nitrate
