R-HSA-1251932	P00533 P04626 P19174
R-HSA-389513	P30153 P07947 P31749 O15530 P67775
R-HSA-75035	P63104 Q04917 P27348 P31946 P61981
R-HSA-111447	P63104 Q04917 P27348 P31749 P31946 P61981
R-HSA-68949	P06400 O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 P38936 Q15008
R-HSA-5637810	P00533 P27986 P42336 P19174 P29353 P01112
R-HSA-2894862	Q13616 P0CG48 Q09472 P56524 P0CG47 Q13573 P01106 Q92793 Q9UBP5 Q06330
R-HSA-68827	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
R-HSA-1295596	P0CG48 P0CG47 P30153 P67775
R-HSA-6804757	P30153 O15530 P0CG47 P67775 P04637 P0CG48 Q00987 P31749
R-HSA-211733	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
R-HSA-445989	P05067 Q15750 P0CG48 P0CG47 P19838 P09429 Q00653 O43353 Q9Y6K9
R-HSA-5358346	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
R-HSA-1810476	P05067 Q9Y6K9 P09429 Q00653 P19838
R-HSA-349425	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P04637 P17980 Q15008
R-HSA-5358747	P25054 P30153 P35222 P67775 O15169
R-HSA-5358749	P25054 P30153 P35222 P67775 O15169
R-HSA-354192	P31749 O15530 P29353 P02671 P02751 Q05397
R-HSA-2644606	Q13616 P0CG48 Q09472 P56524 P0CG47 Q13573 P01106 Q92793 Q9UBP5 Q06330
R-HSA-1227986	P00533 P0CG48 Q02297 P0CG47 Q93034 P07947 P04626
R-HSA-5218921	P01112 P19174 O15530 P20936 P62158
R-HSA-1963642	P42336 P00533 P27986 P04626 Q02297
R-HSA-5357905	Q12933 Q96EP0 P0CG48 P0CG47 P21580 Q9Y6K9
R-HSA-174184	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
R-HSA-186763	P27986 P40763 P42336 P19174 P16333 P01112 P20936
R-HSA-5362768	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
R-HSA-174113	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13616 Q13200 Q9Y297 P17980 Q15008
R-HSA-180534	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 Q9Y297 P17980 Q15008
R-HSA-5673000	Q02750 P30153 P31946 O60674 P67775 P01112
R-HSA-187577	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13616 Q13200 P17980 P38936 Q15008
R-HSA-5358752	P25054 P30153 P35222 P67775 O15169
R-HSA-5358751	P25054 P30153 P35222 P67775 O15169
R-HSA-912631	P42336 P07947 P27986 P0CG47 P0CG48
R-HSA-69601	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
R-HSA-8852276	O00487 Q99460 P0CG48 P25786 P08238 P0CG47 P62195 Q13200 P17980 P04637 P38936 Q15008
R-HSA-1169091	O00487 P0CG48 P25786 Q99460 P0CG47 P19838 Q13616 P62195 Q13200 Q9Y297 P17980 Q9Y6K9 Q15008
R-HSA-450302	Q15759 Q15750 P0CG48 P0CG47 O43353 Q9Y6K9
R-HSA-1433557	P27986 P40763 P01112 P42336 O60674 P07947
R-HSA-5607761	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13616 Q13200 Q9Y297 P17980 Q00653 Q15008
R-HSA-5607764	O00487 P0CG47 P0CG48 O15530 P25786 Q99460 Q15750 P19838 Q13616 P62195 Q13200 Q9Y297 P17980 Q9Y6K9 Q15008
R-HSA-450341	P15336 Q15759 P05412 P45983
R-HSA-1358803	P04626 P0CG47 P31749 P0CG48 Q02297
R-HSA-6804760	P0CG48 P0CG47 Q00987 Q09472 P04637
R-HSA-3769402	P63104 P0CG48 Q04724 P0CG47 P35222 Q9Y297 P25054 P31749
R-HSA-69017	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
R-HSA-1236978	O00487 Q13200 P25786 Q99460 P62195 P17980 Q15008
R-HSA-5625740	P63104 Q04917 P27348 P62140 P31946 Q16512 P61981 O15530
R-HSA-6781823	Q16531 Q7L5N1 Q09472 Q92905 P0CG47 Q13620 P23025 P0CG48
R-HSA-69541	P0CG48 P0CG47 Q00987 P04637
R-HSA-5668541	O00487 Q12933 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
R-HSA-5628897	P63104 Q04917 P27348 P31749 P31946 P10606 P54646 P61981 P20674 P04637 P60484
R-HSA-5684264	Q02750 P0CG48 P0CG47 P19838 Q13616 Q9Y297 Q9Y6K9
