Q99942	602263 554356 554348 1045383 568611 568650
P54274	568606
Q9H0E2	440185 1045383 732808
P00167	554356 554348
P31749	554348 568611
Q92574	602263
P35527	602263
P35520	602263 568838 440185 1045383
P18031	569035 602263 568766 568819 568838 440185
Q8WTV0	554356 554348
P61978	1246768 602263 568606 568819 554356 554348 1084136 440185 1045383 568590 568611 568929 724678
Q92769	602263 568606 568819 23854 568590 568611 568865
Q05397	568611
P20073	568875 23854
P06748	569035 1246768 602263 568606 23854 554348 1084136 440185 568590 568611 568929 568650 724678
O95429	1083058 440185
Q00535	568819 568611
O00716	1083058 568819 732808
P07858	1083058 568838 568875 554348 440185 568611 568650 732808
Q12933	602263 568606 554348 440185 568611
P40429	602263 568766 568819 440185 568590 568929
P62258	569035 602263 970170 23854 554356 554348 1084136 568590 568611 772043 724678
Q14790	568766 568819 568875 568402 554348 568886 1045383 568611 568929
P03891	568929
Q9NP79	1045383
P02768	602263 568611
P10275	1045383
P54725	1045383 568611 724678
O00560	602263 568886 440185 568611 568650
P07355	1246768 602263 568875 568886 568611 568929 568650
P19320	568611
P23771	568650
Q96EB6	568611 568650
O76024	23854
P67809	1246768 602263 23854 1084136 568590 568611 568929 568650 724678
P25786	1083058 602263 568819 440185 568611 568650
P42858	440185 1045383
Q15363	602263 568650 724678
O00401	1045383
O60341	568929
P35244	23854
P18084	568611 568650
O95299	602263
P02749	568611 568650
P27986	1246768 602263 568606 772089 568611 568650
P68104	1246768 602263 568819 568838 568875 23854 554356 554348 1084136 568886 568590 568611 568929 568650 724678
P27635	602263 23854 1084136 440185 568929
P14373	602263 554356 554348 1084136 440185
P11142	569035 602263 568819 23854 554356 1084136 440185 568590 568611 568650
Q92934	1246768 602263 1045383 568611
P43146	1045383
Q09161	602263 568606
P50502	602263 724678
O75381	602263 440185 1045383
Q13155	602263 568611 568650
Q9HC77	440185
Q99081	602263
P06400	1083058 568766 568606 568819 568838 568402 568886 440185 1079863 568611 568929 568865 732808
Q14203	602263 568838 568590
P61088	1079863 1045383
Q16637	602263 568766 568819 568838 440185 568611 568650 772043
Q16630	602263 568606 23854 568611 568650 724678
P50570	602263
Q13618	568606 440185
P56134	602263 724678
Q9NZV6	568886 568929
P19174	568611
Q04206	440185 568590 568611 724678
P0CG48	1246768 602263 568606 568402 440185 1079863 1045383 568590 568611 568650
Q8N6T3	602263
Q96RG2	1045383
P49821	568606
P38432	440185
Q7Z4V5	440185 568929
Q02750	568611
Q6NZ67	602263
O94822	602263 568606
P04626	568819 440185 1045383
Q96G23	602263 568838 568611 568650
Q00987	440185 568611 568650
O75489	569035 602263 724678
P09467	568611
P46940	568819 1045383
O95166	568929
P60709	602263 568838 568875 23854 554356 1084136 568886 440185 568590 568611 568929 568650 724678
Q8TCT9	569035 602263 568819 568838 554356 554348 440185 568611 568650 724678
P62847	602263 440185 568590
Q01628	568819 568886
P40763	568606 568402 554356 554348 1045383 724678
P02652	554348
P09619	568766 568819 440185 732808
Q15645	569035 602263 568819 568611 568650
P18206	1079863 568611
P67870	568402 554356 554348 440185 1045383 568590 568611 568650 732808
O60503	440185 568611
P43364	602263
P21980	568766 568819 568838 568611
O15162	554356 554348 440185 568611 568650
P43246	23854 1045383 568590 568611
Q8N4V1	568611 568650
Q9UKV8	568611
Q9Y4K3	1246768 568402 440185 568590 568611
P27797	602263 568766 568606 554348 568886 440185 568611 568650 724678
P16333	1246768 568606 568611
Q9Y6K9	1246768 568606 1079863
P78527	569035 602263 568606 568590 568611 568650 724678
P05362	440185 568611
P62993	602263 554356 554348 568611 554407 568650
P01130	568875 440185 568611 568650
Q13162	1246768 568590 568611 568650
Q13287	602263 568766 568819 568875 568886 568929
Q92569	1246768 602263
P23497	602263 568402 440185 568590
Q96BK5	1045383
P52565	440185 568611
P04004	602263 554348 568611
P61981	569035 602263 970170 1084136 568590 568611
P62136	602263 568606 568819 440185 568590 568611
Q8WX92	602263 568611
P05067	568611 568929 568650
P05062	23854
P0CG47	602263 1045383 568590 568611
P19438	568819 554348 568611 554407
Q06609	568611
Q9UHA4	568929
P25705	569035 602263 23854 1084136 440185 568590 724678
P03886	568929
Q9H3U1	569035 602263 568611
P68371	569035 1246768 602263 23854 554356 554348 568886 568611 568650 724678
P14635	568886 1045383 568611
P04183	1246768 568819 568929
