GO:0034605	cellular response to heat
GO:0044321	response to leptin
GO:0006302	double-strand break repair
GO:0000165	MAPK cascade
GO:0075733	intracellular transport of virus
GO:0006283	transcription-coupled nucleotide-excision repair
GO:0006281	DNA repair
GO:0051291	protein heterooligomerization
GO:0006289	nucleotide-excision repair
GO:0007283	spermatogenesis
GO:0001756	somitogenesis
GO:0070987	error-free translesion synthesis
GO:0090263	positive regulation of canonical Wnt signaling pathway
GO:0010903	negative regulation of very-low-density lipoprotein particle remodeling
GO:0031175	neuron projection development
GO:0035556	intracellular signal transduction
GO:0032091	negative regulation of protein binding
GO:0032092	positive regulation of protein binding
GO:0006888	ER to Golgi vesicle-mediated transport
GO:0000902	cell morphogenesis
GO:0060789	hair follicle placode formation
GO:2000379	positive regulation of reactive oxygen species metabolic process
GO:0007623	circadian rhythm
GO:0033077	T cell differentiation in thymus
GO:0007050	cell cycle arrest
GO:0032481	positive regulation of type I interferon production
GO:0032480	negative regulation of type I interferon production
GO:0001975	response to amphetamine
GO:0097300	programmed necrotic cell death
GO:1902600	hydrogen ion transmembrane transport
GO:0048146	positive regulation of fibroblast proliferation
GO:0033209	tumor necrosis factor-mediated signaling pathway
GO:0021766	hippocampus development
GO:0038123	toll-like receptor TLR1
GO:0042177	negative regulation of protein catabolic process
GO:0021762	substantia nigra development
GO:0038124	toll-like receptor TLR6
GO:0014070	response to organic cyclic compound
GO:0043488	regulation of mRNA stability
GO:1900026	positive regulation of substrate adhesion-dependent cell spreading
GO:0033683	nucleotide-excision repair, DNA incision
GO:0045740	positive regulation of DNA replication
GO:0002224	toll-like receptor signaling pathway
GO:0002223	stimulatory C-type lectin receptor signaling pathway
GO:0008284	positive regulation of cell proliferation
GO:0008285	negative regulation of cell proliferation
GO:0008286	insulin receptor signaling pathway
GO:0008283	cell proliferation
GO:0043687	post-translational protein modification
GO:0006974	cellular response to DNA damage stimulus
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
GO:0006979	response to oxidative stress
GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
GO:0050900	leukocyte migration
GO:1903351	cellular response to dopamine
GO:0018105	peptidyl-serine phosphorylation
GO:0030030	cell projection organization
GO:0097190	apoptotic signaling pathway
GO:0097191	extrinsic apoptotic signaling pathway
GO:0097193	intrinsic apoptotic signaling pathway
GO:0042593	glucose homeostasis
GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I
GO:0001889	liver development
GO:0035282	segmentation
GO:0046209	nitric oxide metabolic process
GO:0001887	selenium compound metabolic process
GO:0051301	cell division
GO:0006094	gluconeogenesis
GO:0032355	response to estradiol
GO:0009636	response to toxic substance
GO:0043065	positive regulation of apoptotic process
GO:0043066	negative regulation of apoptotic process
GO:0061198	fungiform papilla formation
GO:0046688	response to copper ion
GO:0097284	hepatocyte apoptotic process
GO:0090090	negative regulation of canonical Wnt signaling pathway
GO:0006468	protein phosphorylation
GO:0006469	negative regulation of protein kinase activity
GO:0000278	mitotic cell cycle
GO:0045087	innate immune response
GO:0006461	protein complex assembly
GO:0090316	positive regulation of intracellular protein transport
GO:0060334	regulation of interferon-gamma-mediated signaling pathway
GO:0010952	positive regulation of peptidase activity
GO:0050999	regulation of nitric-oxide synthase activity
GO:0040014	regulation of multicellular organism growth
GO:0000086	G2/M transition of mitotic cell cycle
GO:0000082	G1/S transition of mitotic cell cycle
GO:0007160	cell-matrix adhesion
GO:0042769	DNA damage response, detection of DNA damage
GO:0043525	positive regulation of neuron apoptotic process
GO:0007166	cell surface receptor signaling pathway
GO:0007005	mitochondrion organization
GO:0007004	telomere maintenance via telomerase
GO:0050728	negative regulation of inflammatory response
GO:0045786	negative regulation of cell cycle
GO:0045785	positive regulation of cell adhesion
GO:0007369	gastrulation
GO:0071333	cellular response to glucose stimulus
GO:0021697	cerebellar cortex formation
GO:0031295	T cell costimulation
GO:0034162	toll-like receptor 9 signaling pathway
GO:0034166	toll-like receptor 10 signaling pathway
GO:0030301	cholesterol transport
GO:0010033	response to organic substance
GO:0030968	endoplasmic reticulum unfolded protein response
GO:0019985	translesion synthesis
GO:0046718	viral entry into host cell
GO:0006297	nucleotide-excision repair, DNA gap filling
GO:0030335	positive regulation of cell migration
GO:0050821	protein stabilization
GO:0010629	negative regulation of gene expression
GO:0010628	positive regulation of gene expression
GO:0001764	neuron migration
GO:0000715	nucleotide-excision repair, DNA damage recognition
GO:0061418	regulation of transcription from RNA polymerase II promoter in response to hypoxia
GO:0044267	cellular protein metabolic process
GO:0006367	transcription initiation from RNA polymerase II promoter
GO:0006366	transcription from RNA polymerase II promoter
GO:0006914	autophagy
GO:0018158	protein oxidation
GO:0009887	organ morphogenesis
GO:0060271	cilium morphogenesis
GO:0000722	telomere maintenance via recombination
GO:0060070	canonical Wnt signaling pathway
GO:1901216	positive regulation of neuron death
GO:1901214	regulation of neuron death
GO:1901215	negative regulation of neuron death
GO:0006897	endocytosis
GO:0042542	response to hydrogen peroxide
GO:0034380	high-density lipoprotein particle assembly
GO:0034384	high-density lipoprotein particle clearance
GO:0000209	protein polyubiquitination
GO:0007049	cell cycle
GO:0071479	cellular response to ionizing radiation
GO:0071375	cellular response to peptide hormone stimulus
GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway
GO:0031398	positive regulation of protein ubiquitination
GO:2001244	positive regulation of intrinsic apoptotic signaling pathway
