P15822	GO:0000122 GO:0045892
P54253	GO:0042326 GO:0000122 GO:0045892
Q15714	GO:0008284 GO:0043066
Q15047	GO:0000122
Q96EB6	GO:0008284 GO:0042326 GO:0031648 GO:0048511 GO:0000122 GO:0043066 GO:0045892
Q9UKB1	GO:0031648 GO:0048511 GO:0016055 GO:0045862 GO:0045892
P35222	GO:0008284 GO:0000122 GO:0016055 GO:0060070 GO:0045667 GO:0030856 GO:0045892 GO:0030858 GO:0044336
O14641	GO:0016055 GO:0060070
P53350	GO:0031648 GO:0000122 GO:0043066 GO:0045862 GO:0007091
P25054	GO:0016055 GO:0060070 GO:0045667 GO:0043066 GO:0030856 GO:0030858 GO:0007091 GO:0044336
P68400	GO:0008284 GO:0048511 GO:0016055
Q9NR09	GO:0008284 GO:0043066
