GO:0008022	P12931 P04626 P08047 P16615
GO:0019899	Q12933 P05412 P08887 P16615 P12931 Q03135
GO:0031730	P40763 P23458
GO:0044325	P12931 P08238 P06241 P62158 Q03135
GO:0043548	P06241 P62158
GO:0004715	P12931 P23458 P06241
GO:0004713	P12931 P23458 P06241 P04626
GO:0032403	P12931 Q12933 P06241 P49755 Q13546
GO:0046875	P12931 P62993 P06241
GO:0042802	O96017 Q12933 P62993 P05412 P40763 Q13546 O15455 P04626 P01375 Q03135
GO:0044212	P40763 P05412 P08047 P01375
GO:0030235	P08238 P62158
GO:0019901	O96017 Q12933 P62993 P40763 P08238 P62158 P12931 Q13114 Q03135
GO:0019900	P12931 P08238 Q03135
GO:0019903	Q12933 P23458 P62993 P40763 Q13114 P04626
GO:0005164	Q12933 Q13114 Q9NZ08 P01375
GO:0071837	P05412 P08047
GO:0050998	Q03135 P62158
GO:0031625	O96017 Q12933 P23458 Q13114 Q13546
GO:0031996	Q12933 Q13114 P62158
GO:0070851	P12931 P06241
GO:0005515	Q13114 P08047 P19438 P49755 P62993 Q13546 P17020 P02795 P62269 O96017 Q13007 P40763 P08238 P12931 P35579 Q9NZ08 O15260 Q12933 P23458 P51681 P05412 O15455 P08887 P04626 P62158 P16615 P01375 Q03135 P06241
GO:0005102	P12931 Q03135 P23458 P06241 Q12933
GO:0019904	P12931 P62993 P62158 P35579
