GO:0008022	protein C-terminus binding
GO:0005164	tumor necrosis factor receptor binding
GO:0031730	CCR5 chemokine receptor binding
GO:0044325	ion channel binding
GO:0043548	phosphatidylinositol 3-kinase binding
GO:0004715	non-membrane spanning protein tyrosine kinase activity
GO:0004713	protein tyrosine kinase activity
GO:0032403	protein complex binding
GO:0046875	ephrin receptor binding
GO:0042802	identical protein binding
GO:0050998	nitric-oxide synthase binding
GO:0030235	nitric-oxide synthase regulator activity
GO:0019901	protein kinase binding
GO:0019900	kinase binding
GO:0019903	protein phosphatase binding
GO:0019899	enzyme binding
GO:0071837	HMG box domain binding
GO:0044212	transcription regulatory region DNA binding
GO:0031625	ubiquitin protein ligase binding
GO:0031996	thioesterase binding
GO:0070851	growth factor receptor binding
GO:0005515	protein binding
GO:0005102	receptor binding
GO:0019904	protein domain specific binding
