Q13114	440185 764947
P08047	568611 440185
P19438	554348 568611 568819
P04626	1045383 568914 568819 440185
P62993	554348 568611
Q13546	1045383 440185
P02795	554348 568611
P62269	554348 440185
O96017	1045383
P03905	554348 568819
P01375	568611
P40763	1045383 554348
P08238	1045383 440185
P49755	568914 568611 440185
P12931	1045383 554348 568611 440185
P51681	568611
Q03135	568914 568611 568819
Q12933	554348 568611 440185 764947
P23458	1045383 554348 568914 568819 440185
P35579	568611
P05412	554348 568611 568819
P62158	568611
P16615	568914 568611 568819 440185
P00846	568914 568819 440185
O15260	568914 568611 568819 440185
P06241	554348 568611
