Q9Y2S7	POLDIP2
P31749	AKT1
P54274	TERF1
Q16512	PKN1
Q8WV44	TRIM41
P38936	CDKN1A
Q96FE5	LINGO1
Q13620	CUL4B
Q9NPA5	ZFP64
Q9H334	FOXP1
P20674	COX5A
Q13526	PIN1
P20936	RASA1
O43688	PLPP2
P09211	GSTP1
Q8WZ42	TTN
Q9NUB1	ACSS1
Q14525	KRT33B
P62140	PPP1CB
P31946	YWHAB
O00422	SAP18
Q96BK5	PINX1
P02671	FGA
P63010	AP2B1
P35916	FLT4
Q05397	PTK2
Q92731	ESR2
Q5JSH3	WDR44
Q6PEX3	KRTAP26-1
Q00535	CDK5
Q93062	RBPMS
Q13200	PSMD2
Q12778	FOXO1
O75190	DNAJB6
P02787	TF
Q12933	TRAF2
O15530	PDPK1
O95863	SNAI1
P16220	CREB1
Q92793	CREBBP
P61981	YWHAG
P15336	ATF2
P08670	VIM
Q7Z5N4	SDK1
P0CG48	UBC
P39880	CUX1
O60333	KIF1B
Q14161	GIT2
Q9NW61	PLEKHJ1
P05067	APP
Q15759	MAPK11
Q9GZZ9	UBA5
Q9Y4C0	NRXN3
Q15750	TAB1
Q3SYF9	KRTAP19-7
Q13643	FHL3
O43463	SUV39H1
O14543	SOCS3
Q9Y297	BTRC
Q9Y6K9	IKBKG
P25054	APC
Q96EB6	SIRT1
Q9NYB0	TERF2IP
Q15008	PSMD6
P54296	MYOM2
P62136	PPP1CA
Q04724	TLE1
Q9UP52	TFR2
Q9UQK1	PPP1R3C
Q9NZJ0	DTL
Q04837	SSBP1
P19838	NFKB1
P21580	TNFAIP3
P05305	EDN1
Q99814	EPAS1
Q86YC2	PALB2
Q99816	TSG101
Q96QP1	ALPK1
P46108	CRK
O60341	KDM1A
P12270	TPR
Q7Z3S9	NOTCH2NL
Q9UM82	SPATA2
Q08AM6	VAC14
P27348	YWHAQ
P21817	RYR1
O76031	CLPX
P42336	PIK3CA
P56524	HDAC4
Q8N4B1	FAM109A
P62993	GRB2
Q13469	NFATC2
P61244	MAX
Q99497	PARK7
P63104	YWHAZ
Q13619	CUL4A
P27986	PIK3R1
P35579	MYH9
P05412	JUN
O43189	PHF1
P0CG47	UBB
P11310	ACADM
P62195	PSMC5
P25791	LMO2
Q00059	TFAM
Q9UBB9	TFIP11
P16333	NCK1
O43837	IDH3B
Q9Y6Z4	KIF25-AS1
O00487	PSMD14
P10809	HSPD1
P40692	MLH1
Q15637	SF1
Q96I59	NARS2
P23025	XPA
Q14192	FHL2
P07947	YES1
Q02750	MAP2K1
Q9NUX5	POT1
P60484	PTEN
Q9BQ67	GRWD1
P61326	MAGOH
O00231	PSMD11
P06400	RB1
P00533	EGFR
O95674	CDS2
Q09472	EP300
P49639	HOXA1
P29353	SHC1
O14641	DVL2
Q13418	ILK
P02751	FN1
P06213	INSR
P62937	PPIA
Q6P444	MTFR2
P38405	GNAL
Q06330	RBPJ
Q12888	TP53BP1
P41218	MNDA
O14964	HGS
P10606	COX5B
P08238	HSP90AB1
Q5S007	LRRK2
O75390	CS
P19174	PLCG1
P31146	CORO1A
Q93074	MED12
P01876	IGHA1
P35222	CTNNB1
Q8IVD9	NUDCD3
Q99798	ACO2
P35221	CTNNA1
P30153	PPP2R1A
P30480	HLA-B
Q8N6T3	ARFGAP1
O75553	DAB1
Q16531	DDB1
Q8N8B7	TCEANC
P05556	ITGB1
O60674	JAK2
Q13573	SNW1
Q04917	YWHAH
Q93034	CUL5
P36406	TRIM23
O43765	SGTA
Q9UKR5	C14orf1
Q08379	GOLGA2
P47974	ZFP36L2
Q9NWV8	BABAM1
Q53GS9	USP39
Q96EP0	RNF31
Q7L5N1	COPS6
O43159	RRP8
Q12891	HYAL2
P38159	RBMX
O75400	PRPF40A
Q15323	KRT31
P54646	PRKAA2
P04626	ERBB2
Q13616	CUL1
P53350	PLK1
Q969H0	FBXW7
Q9Y2Q3	GSTK1
Q00987	MDM2
Q15047	SETDB1
P36871	PGM1
Q13432	UNC119
Q15910	EZH2
P46940	IQGAP1
Q92905	COPS5
Q99996	AKAP9
Q8WTP8	AEN
Q99460	PSMD1
Q9UPT9	USP22
Q9BYR7	KRTAP3-2
P01106	MYC
P17980	PSMC3
Q14031	COL4A6
P27361	MAPK3
Q9BRK4	LZTS2
P46379	BAG6
P49840	GSK3A
Q9H9J2	MRPL44
P13805	TNNT1
P40763	STAT3
Q9UBC3	DNMT3B
P51659	HSD17B4
P67775	PPP2CA
P60953	CDC42
Q13554	CAMK2B
Q38SD2	LRRK1
P04637	TP53
Q9UBP5	HEY2
Q9P2D8	UNC79
Q9BZS1	FOXP3
Q99459	CDC5L
Q53GT1	KLHL22
P61964	WDR5
Q02297	NRG1
P13196	ALAS1
P43246	MSH2
Q15645	TRIP13
P25786	PSMA1
P13725	OSM
O95644	NFATC1
P62158	CALM3
P60370	KRTAP10-5
Q15120	PDK3
P09429	HMGB1
Q16740	CLPP
P62491	RAB11A
Q92876	KLK6
Q13131	PRKAA1
P42574	CASP3
Q16659	MAPK6
O15169	AXIN1
