Q9Y6Z4	KIF25-AS1
P31749	AKT1
Q8WV44	TRIM41
P35221	CTNNA1
Q96FE5	LINGO1
P19838	NFKB1
Q9NPA5	ZFP64
Q9H334	FOXP1
P20674	COX5A
Q13526	PIN1
P20936	RASA1
O43688	PLPP2
P09211	GSTP1
P03372	ESR1
P40189	IL6ST
Q14525	KRT33B
P62140	PPP1CB
P31946	YWHAB
O00422	SAP18
Q12778	FOXO1
Q99816	TSG101
P35916	FLT4
Q05397	PTK2
Q92731	ESR2
Q92688	ANP32B
O60911	CTSV
Q5JSH3	WDR44
P04083	ANXA1
P02675	FGB
Q00535	CDK5
Q93062	RBPMS
Q13200	PSMD2
P02671	FGA
Q96BK5	PINX1
Q13043	STK4
P02787	TF
Q12933	TRAF2
O15530	PDPK1
O95863	SNAI1
P16220	CREB1
Q13444	ADAM15
P61981	YWHAG
P15336	ATF2
P08670	VIM
Q7Z5N4	SDK1
P39880	CUX1
Q9UBB9	TFIP11
P05067	APP
Q15759	MAPK11
Q9Y4C0	NRXN3
P42224	STAT1
Q3SYF9	KRTAP19-7
Q92796	DLG3
Q13643	FHL3
Q99798	ACO2
O14543	SOCS3
Q92793	CREBBP
Q9Y6K9	IKBKG
P25054	APC
Q96EB6	SIRT1
Q15008	PSMD6
P62136	PPP1CA
P38936	CDKN1A
Q04724	TLE1
P38159	RBMX
Q9UQK1	PPP1R3C
P25789	PSMA4
Q9NZJ0	DTL
Q04837	SSBP1
Q13620	CUL4B
P21580	TNFAIP3
P05305	EDN1
Q9NUB1	ACSS1
Q86YC2	PALB2
Q92769	HDAC2
P49790	NUP153
Q96QP1	ALPK1
O60341	KDM1A
P56524	HDAC4
Q7Z3S9	NOTCH2NL
Q9UM82	SPATA2
Q08AM6	VAC14
P27348	YWHAQ
P21817	RYR1
O76031	CLPX
Q8N9N5	BANP
P12270	TPR
Q8N4B1	FAM109A
Q9Y2S7	POLDIP2
P62993	GRB2
Q13469	NFATC2
Q99497	PARK7
P27986	PIK3R1
P05412	JUN
Q8N8B7	TCEANC
P0CG47	UBB
P62195	PSMC5
P25791	LMO2
Q00059	TFAM
P13196	ALAS1
P16333	NCK1
O43837	IDH3B
Q14161	GIT2
Q14160	SCRIB
Q9UP52	TFR2
P10809	HSPD1
P40692	MLH1
Q15637	SF1
Q96I59	NARS2
P23025	XPA
Q14192	FHL2
P07947	YES1
Q96EP0	RNF31
Q9NUX5	POT1
P60484	PTEN
Q9BQ67	GRWD1
P61326	MAGOH
O00231	PSMD11
P06400	RB1
P00533	EGFR
O95674	CDS2
Q09472	EP300
P49639	HOXA1
P29353	SHC1
Q9HBH7	BEX1
Q13418	ILK
P38398	BRCA1
P06213	INSR
Q6P444	MTFR2
P38405	GNAL
Q06330	RBPJ
Q02962	PAX2
P02751	FN1
P04899	GNAI2
P61964	WDR5
Q12888	TP53BP1
P41218	MNDA
O14964	HGS
P10606	COX5B
P08238	HSP90AB1
Q5S007	LRRK2
O75390	CS
P19174	PLCG1
P31146	CORO1A
P01876	IGHA1
P35222	CTNNB1
O14641	DVL2
Q9NWV8	BABAM1
P30153	PPP2R1A
P30480	HLA-B
Q8N6T3	ARFGAP1
O75553	DAB1
Q16531	DDB1
O43189	PHF1
P10275	AR
Q9UBG0	MRC2
O60674	JAK2
Q13573	SNW1
Q04917	YWHAH
Q93034	CUL5
P36406	TRIM23
O43765	SGTA
O43463	SUV39H1
Q9UKR5	C14orf1
Q08379	GOLGA2
P47974	ZFP36L2
P54253	ATXN1
Q53GS9	USP39
Q02750	MAP2K1
Q7L5N1	COPS6
O43159	RRP8
Q12891	HYAL2
O75400	PRPF40A
P10909	CLU
Q15323	KRT31
P54646	PRKAA2
P04626	ERBB2
Q13616	CUL1
Q969H0	FBXW7
P45984	MAPK9
Q9Y2Q3	GSTK1
Q15047	SETDB1
Q6PEX3	KRTAP26-1
P05556	ITGB1
Q13432	UNC119
Q96GM5	SMARCD1
P46940	IQGAP1
Q92905	COPS5
Q99996	AKAP9
Q15120	PDK3
Q99460	PSMD1
Q9UPT9	USP22
Q9BYR7	KRTAP3-2
P01106	MYC
P17980	PSMC3
Q14031	COL4A6
P0CG48	UBC
Q9BRK4	LZTS2
P46379	BAG6
P49840	GSK3A
Q9H9J2	MRPL44
P13805	TNNT1
P40763	STAT3
Q9UBC3	DNMT3B
P67775	PPP2CA
P60953	CDC42
Q13554	CAMK2B
Q9NW61	PLEKHJ1
Q38SD2	LRRK1
P04637	TP53
P12004	PCNA
Q9UBP5	HEY2
Q9P2D8	UNC79
Q99459	CDC5L
Q53GT1	KLHL22
P67870	CSNK2B
Q02297	NRG1
P43246	MSH2
Q15645	TRIP13
P25786	PSMA1
P13725	OSM
P62158	CALM3
P60370	KRTAP10-5
Q8WTP8	AEN
Q16740	CLPP
P62491	RAB11A
Q92876	KLK6
Q13131	PRKAA1
Q16659	MAPK6
O15169	AXIN1
