GO:0032435	P08238 Q99497 P46379 Q04323
GO:0000086	P62140 P30153 Q09472 P54274 P0CG47 Q13616 P61981 P38936 P0CG48 Q9Y2I6
GO:0034605	Q09472 P08238 P12270 Q96EB6 Q92769 Q13554 P49841 P49790 P38936 O75190 P27361
GO:0007596	P05067 P31749 P07947 Q8WZ42 P62993 P29353 Q92769 P42336 P02671 Q05397 P46108 O60341 P02751 P63104 Q00535 P27361 P19174 P60953 P04637 P02787 P27986 O15530 P05556 O60674 P62158 P01112 Q03135
GO:0000082	P06400 O00487 P0CG48 O00231 P25786 Q99460 P0CG47 P62195 Q13616 Q93034 P05556 Q13200 P17980 P38936 Q13554 Q15008
GO:0006468	P05067 Q15759 Q02750 P31749 P07947 P54646 Q13131 Q8WZ42 P00533 Q16659 Q38SD2 Q13418 P42336 P35916 Q05397 P06213 P27361 Q96QP1 Q00535 Q5S007 Q13554 O43353 P27986 O15530 P16220 O60674 Q16512 P49841 P49840
GO:0061024	P05067 P63104 P27348 P31749 P31946 P0CG47 P62158 P61981 Q99816 P54646 P0CG48 Q04917 Q8N6T3 Q08379 O14964
GO:0051899	P39086 Q03135 Q99497 P05412 P05305
GO:0042769	Q9NZJ0 P0CG47 P0CG48 Q13620 Q16531
GO:0044281	O00487 P31749 O00231 Q12891 P62158 Q14192 P60484 O00483 P20674 O43688 Q9Y2Q3 Q15008 O95674 P62140 P46940 Q9UQK1 Q99460 Q9NUB1 P17980 P49790 Q92947 P36871 P25786 Q08AM6 Q99798 P29972 P10606 P42336 P51659 P12270 O75390 P19174 Q13200 P27986 P0CG48 O00746 P0CG47 P11310 P62195 P62136 P54646 O43837 Q03135 P13196
GO:0007005	Q15759 Q5S007 Q04837 Q99814 P54646 Q6P444 P13196 Q99497
GO:0007004	P54274 Q96BK5 Q9NYB0 Q9NUX5
GO:0003151	Q9NQ87 P21817 P05412 Q13418 P15336 O14641 Q9UBP5 Q06330
GO:0000122	P54253 Q92731 P01106 Q14192 O43463 Q00987 Q15047 P06400 Q04724 Q09472 P19838 P05305 Q92769 O60341 Q06330 P40763 P12270 Q9UBC3 Q00653 P35222 P04637 Q9UBP5 Q13469 Q12778 P0CG48 P56524 O95863 P0CG47 Q13573 Q96EB6 P15336 P09429 P39880 Q03135
GO:0007219	Q9NQ87 P05067 Q04724 Q09472 P16220 P0CG47 Q13573 P01106 Q13616 P04637 Q969H0 Q9UBP5 P0CG48 Q06330 Q7Z3S9
GO:0006302	Q12888 P0CG48 P0CG47 P04637 Q9NWV8 Q15645 P43246 P78527
GO:0000165	O00487 Q02750 O00231 P20936 Q15008 P00533 P62993 P31946 P25786 P29353 Q99460 Q16659 P01106 P17980 P27361 Q05397 Q5S007 Q13200 Q02297 P0CG48 O60674 P0CG47 P62158 P62195 P01112 Q13554 Q03135
GO:0040029	O43159 O43189 O00422 P56524 Q9UBC3 Q96EB6 Q92769 O43463 Q09472
GO:0010033	P30153 P10809 P40763 P16220 P67775 P38936 P60484 P05412 P42574
GO:0007265	O00487 Q15759 Q02750 O00231 P20936 Q15008 P06400 P00533 P62993 P31946 P25786 P29353 Q99460 P17980 P27361 Q05397 Q13200 P04637 P38936 Q99497 Q02297 P0CG48 O60674 P0CG47 P62158 P62195 P01112 Q13554
GO:0048511	P62140 Q09472 Q00535 P16220 P54646 Q00653 Q96EB6 Q92769 O43463 P49841 P04637 Q13131 P78527
GO:0043066	O00487 P31749 O00231 P10809 P38936 P01106 Q14192 P60484 P54646 O14543 P25054 Q00987 Q13131 P78527 Q15008 P00533 P25786 Q99460 P19838 Q13418 P35916 P17980 Q05397 P46379 Q02962 P02751 P04083 P29972 P40763 P35221 Q13200 P04637 Q92769 O43353 Q12778 Q99497 P63104 P0CG48 P27986 Q16531 P05412 O60674 P0CG47 P62195 Q96EB6 P49841 P42574
GO:0030168	P02787 P05067 P27986 P62993 P31749 O15530 Q8WZ42 P42336 P62158 P29353 P02671 Q05397 P46108 P02751 P63104 P27361
GO:0048146	P00533 P05412 P29972 P01106 P02751 P38936 P78527
GO:0035666	P0CG48 Q15759 Q15750 P05412 P16220 P0CG47 P19838 Q13616 P15336 Q02750 P27361 O43353 Q9Y6K9 Q00653
GO:0031295	P27986 P62993 P31749 O15530 P42336 P60953 P07947 Q03135
GO:0042127	P00533 P05412 P04083 P29353 O60674 Q96EB6 P07947 P35222 Q05397 P04637 P35221 Q12778 Q06330 P46379
GO:0030154	P31749 P07947 O43463 P46379 P62993 Q9HBH7 Q99814 Q99816 Q02962 Q7Z3S9 Q9UM82 Q5S007 P60953 Q13554 P35222 P04637 Q15645 Q12778 P16220 O60674 Q96EB6 P49841
GO:0006283	Q16531 Q7L5N1 Q09472 Q92905 P0CG47 Q13620 P23025 P0CG48
GO:0006281	O00487 Q12888 Q16531 Q7L5N1 Q09472 Q92905 P40692 Q9NZJ0 P0CG47 Q13620 P23025 Q96EB6 P09429 P04637 Q9NWV8 P0CG48 Q99459 P78527 P43246
GO:0010803	Q12933 Q96EP0 P0CG48 P0CG47 P21580 Q9Y6K9
GO:0014823	P16220 Q9UBC3 P05305 P05556 P35222 P06213 Q92731 P49841 Q13131 P78527
