GO:1990452	Q13616 Q969H0
GO:0022624	O00487 Q13200 Q99460 P62195 P17980 Q15008
GO:0097481	P39086 Q8N6T3 Q13554 Q01082 O15530
GO:0000164	P62136 P16333 P62140
GO:0031597	O00487 P17980 P62195
GO:0000785	P06400 P16220 Q13573 Q96EB6 Q9Y5V3 Q99497
GO:0000784	Q12888 Q16531 O60341 Q96BK5 P78527 Q9UBB9 P43246
GO:0005925	P63104 P00533 P27348 P62140 O15530 P07947 P46940 P60953 P27797 P61981 Q14192 P08670 Q02750 P35222 Q05397 P35221 Q13643 Q03135 Q13418 P31946
GO:0010008	P02787 Q08AM6 P0CG47 P0CG48 P00533 P29353 Q15750 Q9NZD8 Q99816 P06213 Q5JSH3
GO:0005856	Q02750 P07947 P25054 Q13432 Q01082 Q9NZJ0 Q05397 Q9BRK4 P04899 Q00535 P12270 P31146 P67775 P60953 Q13554 P35222 P35221 O43353 Q53GT1 O43189 O60674 P62158 P08670 Q08379
GO:0016605	P06400 P14373 Q96EB6 P04637 P60484 P61244 Q99497
GO:0072686	Q9Y6K9 P12270 Q08379 P60953 Q53GT1
GO:0005838	Q99460 Q13200 P62195 Q15008
GO:0070062	P05067 O00487 Q02750 Q7L5N1 P10809 P27797 P07947 P20674 Q9Y2Q3 P09211 Q16531 Q15008 Q04917 Q14525 P62993 Q01082 P31946 P25786 P36406 Q99460 Q04837 Q13620 P21580 P62140 Q99816 P02751 P06213 P38405 P04899 P63104 P27348 P21817 P41218 P29972 P38159 P10606 P08238 Q5S007 O75390 P31146 P67775 P60953 P01876 Q13200 P35222 P02671 P30153 Q99497 P02787 P13647 P0CG48 Q15323 P46940 P0CG47 P62158 P62195 P61981 P62136 P08670 Q7Z5N4 P62491
GO:0005730	Q9NWS0 O43159 Q8WV44 Q969H0 Q00987 P78527 P62993 Q01082 Q8WTP8 Q9NZJ0 Q99816 P01106 P49790 Q06330 Q9UM82 P62140 P04637 Q04724 Q9BQ67 Q96BK5 Q99459 O75553 Q96EB6 P62136 Q92876 Q9UBB9
GO:0043209	Q99798 P0CG48 P10809 P0CG47 P60953 P61981 P20674
GO:0051233	P05067 Q13432 Q13554 P60953
GO:0005634	Q9Y2S7 P31749 Q8WV44 P38936 P27797 P19838 Q9NPA5 Q13526 Q13643 Q9NWS0 P78527 P62993 P31946 O00422 Q96BK5 P35916 Q05397 Q92731 Q00535 Q93062 Q9NXR7 Q15319 Q13200 Q12778 P16333 O15530 O95863 P16220 P15336 P39880 Q92793 Q9UBB9 O00487 Q15759 P10275 O43463 Q9Y297 Q9Y6K9 P25054 P62136 Q04724 P25786 Q9NZJ0 Q04837 Q13620 P21580 Q86YC2 Q99816 P49790 O60341 P12270 Q9UM82 Q99798 P29972 P38159 P56524 Q00059 Q13469 P61244 Q99497 P63104 P27986 P13647 P05412 Q8N8B7 P14373 P0CG47 P62195 P25791 O43837 Q7Z3K3 P84022 P40692 Q15637 P23025 Q14192 Q15645 P60484 Q96HA1 P61326 Q8N9N5 P06400 P00533 Q09472 P49639 P29353 P62140 P06213 Q06330 P04899 Q12888 P41218 O75390 P09211 O14641 Q9NWV8 P0CG48 Q16531 O43189 O60674 Q13573 Q96EB6 P36406 Q08379 P47974 Q53GS9 Q02750 Q7L5N1 O43159 O75400 P54646 Q9Y5V3 P30153 Q00987 Q15047 P46379 Q01082 Q92905 Q8WTP8 Q99460 Q9UPT9 P01106 P17980 P45983 Q9H9J2 P40763 Q9UBC3 P67775 Q00653 P04637 Q92876 Q9UBP5 Q9BQ67 Q99459 P61964 Q02297 P62158 Q16512 P01112 Q969H0 P35222 P43246 P42574 Q16659 O15169
GO:0070435	P29353 P00533
GO:0005739	Q9Y2S7 P31749 P10809 Q92731 Q96I59 P20674 Q13526 Q9Y2Q3 P60484 P09211 Q96EB6 P45983 Q04917 O95674 P31946 P29353 Q96BK5 Q04837 P19838 Q9NUB1 Q92947 Q6P444 P49840 P27348 Q99798 P30153 Q9H9J2 O76031 P10606 P40763 P08238 Q5S007 O75390 P67775 P62491 Q00059 P04637 Q92876 Q12778 Q99497 P63104 P13647 P16220 P0CG47 Q02750 P61981 P15336 Q15120 Q16740 O43837 Q03135 P13196
GO:0000922	Q13432 P62158 P67775 P35222 P62491 Q9Y6K9 Q08379
GO:0005654	P31749 Q9NWV8 P19838 Q13526 P61326 P78527 P62140 O00422 Q92731 Q93062 Q9NXR7 Q15319 Q13200 Q12778 O15530 P16220 P15336 P39880 P13196 O00487 Q15759 Q15750 P10275 O43463 Q9Y297 P25054 Q15008 P62136 Q04724 O76031 P25786 Q9NZJ0 Q13620 Q86YC2 P49790 O60341 P12270 P38159 P56524 P62993 Q13469 P61244 P63104 P0CG48 O43189 P14373 P0CG47 P62195 Q13616 Q00653 Q7Z3K3 P84022 P40692 Q15637 P23025 Q14192 P60484 Q8N9N5 P06400 Q09472 Q13418 Q06330 P04899 Q12888 P08238 P35222 P38936 P05412 Q16531 O60674 Q13573 Q96EB6 Q92793 Q53GS9 Q7L5N1 O43159 O75400 P54646 Q969H0 Q00987 Q15047 P45983 Q92905 Q8WTP8 Q99460 P01106 P17980 P46379 P40763 Q9UBC3 Q13554 P04637 Q9UBP5 Q99459 P61964 P62158 Q16512 Q92876 P43246 P42574 Q16659
GO:0016324	P02787 Q02297 P29972 Q12891 P08238 P02751 P60484 Q03135 Q05397
GO:0005677	O43463 O43159 Q96EB6
GO:0043005	P05067 P29972 Q92731 Q5S007 P0CG47 P62158 P19838 P60953 P62136 P08670 Q13526 O75553 P39880 P25054 P35222 P46940 P60484 Q99497
GO:0005759	Q99798 P10809 O76031 P29353 P16220 Q5S007 Q04837 Q96I59 Q9NUB1 O43837 Q00059 O75390 Q16740 P04637 Q92947 Q9Y2Q3 Q15120 P13196 Q99497
GO:0048471	P02787 P05067 P31946 Q92905 P00533 Q12891 Q92731 P27797 P01112 P35222 O75553 P38936 P62491 Q03135 Q99459 Q5JSH3 O15169
GO:0008540	Q99460 Q13200 P62195 P17980
GO:0034515	Q99460 Q13200
GO:0005737	P31749 Q8WV44 P38936 P27797 P19838 Q9NZD8 Q13526 P20936 Q9NWS0 P62993 P31946 O00422 Q12778 Q99816 P35916 Q05397 Q5JSH3 Q00535 Q93062 Q9NXR7 O43353 Q96BK5 Q12933 O15530 O95863 P61981 P15336 P08670 P39880 Q92793 P13196 P05067 Q15759 Q15750 P10275 O14543 Q9Y297 Q9Y6K9 P25054 P62136 Q04724 O76031 P25786 Q9NZJ0 Q13620 P21580 P05305 P02671 P49790 P12270 Q7Z3S9 Q9UM82 P27348 P21817 P29972 Q9UP52 P56524 P62140 Q13469 P61244 Q99497 P63104 P27986 P13647 P0CG48 O43189 P14373 P0CG47 P62195 Q00653 Q9UBB9 P16333 Q03135 Q7Z3K3 P84022 P10809 Q92731 Q96I59 P23025 Q14192 P07947 Q96EP0 P60484 P61326 Q04917 P00533 Q09472 P29353 Q13418 Q06330 P04899 Q12888 P41218 Q96SF2 P08238 Q5S007 P19174 P31146 P09211 O14641 Q9NWV8 Q8N6T3 Q16531 O60674 Q96EB6 P36406 O43765 Q08379 P47974 Q02750 Q7L5N1 O43159 Q12891 O75400 P54646 Q9Y5V3 P30153 Q00987 Q15047 P46379 Q13432 Q01082 P46940 Q92905 P17980 Q9BRK4 P45983 P40763 Q9UBC3 P67775 P60953 P35221 Q13554 P04637 Q92876 Q9UBP5 Q9BQ67 Q99459 Q53GT1 Q02297 P62158 Q16512 P01112 Q969H0 P62491 P35222 P42574 Q16659 O15169
GO:0005719	P35222 P16220 P05412 P38159 Q96EB6
GO:0016342	P25054 P35222 P35221
GO:0030027	Q00535 P19174 P31146 Q13418 P35222 Q05397 P35221 P25054
GO:0031965	P00533 Q96HA1 P29972 P12270 P14373 Q8WTP8 P49790 P25054 Q92876 Q9NZJ0
GO:0045177	P05067 P29972 P60953 P35222 O14641 O75553
GO:0097057	Q12933 P09211
GO:0000790	P05412 P40763 P16220 Q96EB6 P10275 Q92793 P04637 O60341 Q15047 Q7Z3K3 P84022
GO:0030666	P0CG48 P0CG47 P63010 Q13554 Q03135 Q00987
GO:0005911	P05067 P27986 P62993 P31749 P46940 P19174 P31146 Q13418 P60953 P16333 P35222 P35221
GO:0000502	O00487 Q13200 P25786 Q99460 P62195 P17980 Q15008
GO:0030424	P05067 Q02297 P29972 Q00535 P16220 Q5S007 P31146 Q13418 P62491 P25054 P46940 Q99497
GO:0009368	Q16740 O76031
GO:0031465	Q9NZJ0 Q16531 Q13620
GO:0031982	P02787 P31749 P62158 P09211 P62491 O43353
GO:1990909	P25054 Q5S007 P35222
GO:0005815	P04899 Q13432 Q02750 O43189 Q9NZJ0 P60953 P07947 Q13554 P35222 Q05397 Q9BRK4 O75553 Q53GT1
GO:0008180	P19174 P62993 Q7L5N1 Q92905
GO:0005829	P31749 P35221 P27797 P19838 Q9NZD8 Q13526 P20936 P09211 P78527 P62993 P31946 P63010 Q05397 Q5JSH3 Q00535 P60953 Q13200 O43353 Q12778 Q12933 O15530 P61981 P62136 P08670 P39880 P05067 Q15759 P0CG47 Q15750 P10275 O14543 Q9Y297 Q9Y6K9 P25054 Q15008 Q04724 Q9UQK1 Q16659 Q13620 P21580 P05305 P27348 P21817 P56524 P62140 Q13469 Q99497 P63104 P27986 P13647 P05412 P13805 P62195 Q13616 Q00059 P16333 Q03135 P84022 O00487 P10809 P07947 Q96EP0 P60484 P61326 Q04917 P29353 Q13418 P06213 P04899 P30153 P08238 Q5S007 P19174 P35222 O14641 P38936 P0CG48 Q8N6T3 O75553 O60674 Q93034 O43765 Q02750 Q12891 Q00653 P54646 Q00987 P46379 Q13432 Q01082 P46940 Q99460 P01106 P17980 P45983 P40763 P67775 Q13554 P04637 P25786 P62158 Q16512 P01112 P49840 P62491 P42574 O15169
GO:0045121	P05067 Q12933 P10809 P00533 Q12891 Q5S007 P04899 Q03135 P42574 O60674 Q99497
GO:0033553	O43463 O43159 Q96EB6
GO:0005882	Q6A162 Q14525 P13647 Q6PEX3 Q15323 Q3SYF9 P60370 P08670 Q9BYR7
GO:0005667	P06400 Q04724 Q09472 P16220 P25791 Q06330 P35222 Q92793 P05412 Q13469 O60341 P78527 P84022
GO:0005768	P05067 Q08AM6 P62993 P00533 P14373 Q8N4B1 Q16512 Q9NZD8 Q99816 P06213 P62491 Q03135 Q5S007 Q5JSH3
