GO:0035631	Q12933 Q9Y4K3 Q13490
GO:0005783	O75915 P16615 P16333 P49755 Q8NBW4 P00533 Q15363 P13674 Q86XR7 P17252 Q5S007 Q9NZ08 O15260 Q9NYU2 Q9ULZ3 Q9NYK1 Q9NR96 Q9H0R8 P50402 P11021 Q03135 Q9H1C4 P42345
GO:0033116	O15260 Q08379 P49755 Q15363
GO:0005789	P11021 P00533 Q9NR96 Q9NYK1 O75915 P49755 P01730 Q9NR97 Q15363 P16615 Q9NZ08 Q03135 O15260 Q9H1C4 P42345
GO:0005901	Q03135 Q5S007 P08631 O60674
GO:0045323	Q9H0E2 P51617
GO:0005925	P00533 P23458 P35579 P61978 P08631 Q14108 P60709 P11021 P63261 Q03135 P50570
GO:0005737	P40855 Q9UKT9 Q99962 P10600 O75915 P27986 P08631 Q9H0E2 P01137 P16333 P58340 Q9NQT4 Q96GX1 Q9Y6K9 P05067 Q9UKG1 Q9HB90 Q13490 P00533 O95999 Q9Y3B2 Q16656 P63261 Q02127 Q8N1F8 P13501 P61978 Q99547 P21580 Q03167 Q13901 Q92769 P38398 P60709 P08238 P50570 P58753 Q2MV58 Q86XR7 Q9ULZ3 P22301 P61073 P08253 Q9ULE6 P17252 Q5S007 Q99836 P28070 P51617 Q9Y4K3 P09544 P35579 Q9Y285 Q9NZ08 Q9BZS1 P23458 O00206 Q12933 Q06265 P51681 P62318 Q9NYK1 O95863 O60674 P05231 P01584 Q9NR96 P00519 Q9H0R8 Q86Z02 Q92993 O43808 Q8WUI4 P11021 Q14790 Q03135 Q08379 P04626 P23508 P42345
GO:0070062	P05067 Q99962 O75915 Q9H0E2 P49755 Q9NPC4 Q9UKG1 P01023 Q16656 P61978 P21580 Q03167 P60709 P08238 P50570 P61073 Q6NUS6 P17252 Q5S007 P28070 Q13200 Q9NZ08 P40189 Q06265 P35579 P62318 Q8N474 P01584 P38606 Q14108 P11021 P63261 Q9NYU2
GO:0031093	P05067 P10600 P01023 P01137
GO:0031410	P05067 P61073 Q9NYK1 P01584 Q5S007 P08631 Q15363 Q9NR96 Q9H0R8 P04626 Q03135 P49755 Q9H1C4
GO:0005634	P40855 Q9UKT9 P27986 P08631 Q9Y4K3 P01137 P01106 P16333 Q9H334 P58340 Q9NQT4 Q9Y6K9 Q9UKG1 Q9HB90 Q13490 P00533 O95999 P41161 Q9Y3B2 Q16656 Q05516 P61978 Q99547 P21580 Q13901 Q92769 P38398 P56545 P50570 P14778 P10600 P08253 Q9ULE6 P17252 P28070 P51617 P00519 P63261 Q13200 P23508 P09874 Q6ZW49 Q9BZS1 P23458 Q92993 Q06265 P35579 P62318 O95863 O60674 Q13573 Q96S55 Q86Z02 P50402 Q8WUI4 P11021 Q14790 P04626 Q08379 Q9ULZ3 P42345
GO:0005739	P11021 Q9ULZ3 O14957 P08253 P00519 P08238 Q02127 P19438 Q5S007 P61978 Q9Y4K3 P38606 P09874 O43808 P17252 Q14790 Q03135 P13674 P42345
GO:0005654	P40855 Q9H334 Q6ZW49 Q16656 Q02127 P61978 P01106 Q92769 P38398 P60709 P08238 Q92993 P58753 P17252 P28070 Q13200 P23508 P09874 P41161 P00519 Q06265 P62318 O60674 Q13573 Q8WUI4 Q14790 P42345
GO:0097470	P56545 P16615
GO:0048471	P05067 P00533 Q92993 P00519 P16615 P17252 Q9H0E2 Q9Y4K3 Q96S55 P04626 O95999 Q03135 P50570 O00206
GO:0005794	P05067 P00533 Q9NPC4 P19438 Q5S007 P08631 Q15363 Q9H0R8 P49755 P42345 Q03135 O15260 Q08379 P50570 Q86XR7 P55085
GO:0005793	O15260 P49755 Q15363 Q9NYU2 P11021
GO:0016323	P00533 P08238 Q9NR96 P04626 P08887 Q03135
GO:0012506	P16333 Q12933 Q9UKG1 P16615
GO:0072536	P42701 Q5VWK5
GO:0031234	P00519 P23458 P08631 O60674 P16615
GO:0043234	P40855 Q12933 O95999 P35579 P01106 Q9Y4K3 P16615 P09874 Q92769 P38398 P60709 Q14790 Q03135 P50570 Q9BZS1 P14778 Q13490
GO:0043235	P05067 P00533 Q9NYK1 P19438 Q03167 P04626 Q5VWK5
GO:0000178	Q06265 Q9Y3B2 Q99547 Q9NQT4
GO:0005829	P40855 P05067 Q99962 P27986 P08631 Q9H0E2 P16333 P55085 Q9NQT4 Q9Y6K9 Q9UKG1 Q9HB90 Q13490 P35579 P51684 O95999 Q9Y3B2 P00519 Q05516 P61978 P21580 P01106 Q9ULZ3 P60709 P08238 P50570 P58753 Q2MV58 P61073 P17252 Q5S007 Q99836 P28070 P51617 Q9Y4K3 P63261 Q13200 Q9Y285 Q9NZ08 P01023 Q15311 P23458 Q12933 Q06265 P51681 P62318 Q8N474 O60674 P01584 P38606 Q9H0R8 Q9ULE6 Q14790 Q03135 P42345
GO:0045121	P05067 Q12933 O95999 P00533 P19438 Q5S007 P01730 P01375 Q14790 Q03135 O60674 Q13490
GO:0000176	Q13901 Q06265 Q9Y3B2 Q9NQT4
GO:0005764	P61073 O95999 Q9NYK1 P01584 Q5S007 P08631 Q9NR96 P21580 Q8NBW4 Q14108 Q9H1C4 Q9HB90 P42345
GO:0005768	P05067 P00533 Q8NBW4 P51681 Q9NYK1 Q9H1C4 Q5S007 Q9NR96 P61073 Q03135 P50570 Q9UKG1 Q86XR7
GO:0070110	P08887 P40189
