O75915	GO:0043280
Q9Y4K3	GO:0019221 GO:0035666 GO:0045410 GO:0038123 GO:0070423 GO:0051023 GO:0042981 GO:0048011 GO:0002756 GO:0038095 GO:0000122 GO:0034142 GO:0038124 GO:0007250 GO:0035872 GO:0031398 GO:0002223 GO:0050870 GO:0045892 GO:2000679 GO:0034138 GO:0034134 GO:0097190 GO:0043066 GO:0050852 GO:0045672 GO:0070555
P16333	GO:0038096 GO:0048010 GO:0007411 GO:0030838 GO:0050852 GO:0007264
Q9H334	GO:0050727 GO:0035926 GO:0045892
Q9NQT4	GO:0043488 GO:0010467
Q9Y6K9	GO:0010803 GO:0007166 GO:0035666 GO:0038123 GO:0070423 GO:1901215 GO:0002756 GO:0038095 GO:0034142 GO:0033209 GO:0038124 GO:0007250 GO:0035872 GO:0002223 GO:0034138 GO:0034134 GO:0050852 GO:0006915 GO:0016032
P41161	GO:0034599
P61978	GO:0000122 GO:2000173 GO:0010467 GO:0043066 GO:0071230 GO:0016032
P01106	GO:0043280 GO:0000122 GO:0008284 GO:0050679 GO:0010467 GO:0043066
Q03167	GO:0030512 GO:0016049 GO:0001666
Q92993	GO:0032703 GO:0000122 GO:0071392 GO:0045892 GO:0016032
P01574	GO:0019221 GO:0007596 GO:0007166 GO:0045089 GO:0002250
Q86XR7	GO:0035666 GO:0012501 GO:0002756 GO:0034145 GO:0034142 GO:0034138 GO:0006915 GO:0097296
P22301	GO:0046427 GO:0071392 GO:0043066
P28070	GO:0007173 GO:0090263 GO:0042981 GO:0012501 GO:0048011 GO:0038095 GO:0033209 GO:0048010 GO:0007411 GO:0008543 GO:0043488 GO:0002223 GO:0008286 GO:0000186 GO:0010467 GO:0043066 GO:0050852 GO:0006915 GO:0007264 GO:0016032
Q13200	GO:0007173 GO:0090263 GO:0042981 GO:0012501 GO:0048011 GO:0038095 GO:0033209 GO:0048010 GO:0007411 GO:0008543 GO:0043488 GO:0002223 GO:0008286 GO:0000186 GO:0010467 GO:0043066 GO:0050852 GO:0006915 GO:0007264 GO:0016032
Q15311	GO:0007264
Q12933	GO:0010803 GO:0007166 GO:0051023 GO:0042981 GO:0006919 GO:0012501 GO:1901215 GO:0033209 GO:0007250 GO:0050870 GO:0071550 GO:0006915 GO:2001238 GO:0097296
Q9ULZ3	GO:0010803 GO:0043280 GO:0032760 GO:0042981 GO:0071356 GO:0006919 GO:2000406 GO:0071347 GO:0032088 GO:0033209 GO:0050766 GO:0035872 GO:0002223 GO:0050870 GO:0043124 GO:2000778 GO:0030838 GO:0042104 GO:0006915 GO:2001238
O95863	GO:0030335 GO:0000122 GO:0007498 GO:0045892 GO:0010718
P38606	GO:0008286
Q8WUI4	GO:0032703 GO:1901215 GO:0000122
Q14790	GO:0010803 GO:0007166 GO:0035666 GO:0060546 GO:0070423 GO:0042981 GO:0006919 GO:0012501 GO:0002756 GO:0034142 GO:0033209 GO:0046677 GO:0008625 GO:0035872 GO:0002223 GO:0043124 GO:0034138 GO:0097190 GO:0032355 GO:0071550 GO:0006915 GO:2001238 GO:0016032 GO:0097296
P05067	GO:0007596 GO:0061024 GO:0030168 GO:0035872 GO:0002576 GO:0006915
Q9UKT9	GO:0042981 GO:0007498
Q99962	GO:0061024 GO:0007173 GO:0048011 GO:0007411
P05231	GO:0019221 GO:0009617 GO:0042127 GO:0033160 GO:0030168 GO:0042981 GO:0016049 GO:0071356 GO:1901215 GO:0071347 GO:0046427 GO:0046677 GO:0008284 GO:0008285 GO:0050679 GO:0043066
P19438	GO:0019221 GO:0010803 GO:0007166 GO:0042127 GO:0008630 GO:0042981 GO:0033209 GO:0008625 GO:0071550 GO:0006915 GO:0016032
Q86V24	GO:0007584
Q9UKG1	GO:0012501 GO:0008286 GO:0006915
Q9HB90	GO:0016049 GO:0008286 GO:0010467 GO:0071230 GO:0006915 GO:0007264
Q9Y3B2	GO:0043488 GO:0010467
Q16656	GO:0001666 GO:0032355
P13501	GO:0009617 GO:0010535 GO:0009651 GO:0071356 GO:2000406 GO:0030335 GO:1901215 GO:0071347 GO:0046427 GO:0050679 GO:0071560 GO:0042119 GO:0045766 GO:0045089 GO:0071230 GO:0045672
Q15363	GO:0061024
P21580	GO:0010803 GO:0007166 GO:0050727 GO:0070423 GO:0045088 GO:0032703 GO:0032088 GO:0033209 GO:0035872 GO:0043124 GO:0051259 GO:0002237 GO:0006915
Q13901	GO:0045892 GO:0006915
Q92769	GO:0007596 GO:0048714 GO:0032760 GO:0048011 GO:0000122 GO:1903351 GO:0008284 GO:0045892 GO:0010718 GO:0071560 GO:0010467 GO:0043066
P56545	GO:0000122 GO:0008285 GO:0045892 GO:0016032
P08253	GO:0007411 GO:0001666 GO:0045089 GO:0071230
Q92956	GO:0007166 GO:0031295 GO:0042127 GO:0046718 GO:0042981 GO:2000406 GO:0033209 GO:0097190 GO:0016032
P51617	GO:0019221 GO:0035666 GO:0043406 GO:0038123 GO:0070423 GO:0048011 GO:0002756 GO:0032088 GO:0034142 GO:0038124 GO:0046777 GO:0007250 GO:0035872 GO:0051259 GO:0034138 GO:0034134 GO:0043066 GO:0070555
Q9Y285	GO:0010467
P27986	GO:0007596 GO:0031295 GO:0007173 GO:0030168 GO:0008630 GO:0032760 GO:0030335 GO:0048011 GO:0038095 GO:0038096 GO:0048010 GO:0008543 GO:0008625 GO:0008286 GO:0050900 GO:0043066 GO:0050852 GO:0016032
P51681	GO:0007166 GO:0046718 GO:0030260 GO:0016032
Q8N474	GO:0090263 GO:0071356 GO:0071347 GO:0008284 GO:0008285 GO:0071392 GO:0045892 GO:0071363 GO:0050679 GO:0071560 GO:0043066 GO:2001238
P50402	GO:0071363
P09544	GO:0090263 GO:0008284 GO:0071560
Q03135	GO:0007596 GO:0009617 GO:0031295 GO:0060546 GO:0030512 GO:0090263 GO:0034141 GO:0000122 GO:0048010 GO:0001666 GO:0031398 GO:0008285 GO:0051259 GO:0071560 GO:0097190 GO:0050900 GO:0007584 GO:2001238 GO:0050999 GO:0016032
P42345	GO:0031295 GO:0007173 GO:0048714 GO:0016049 GO:0048011 GO:0038095 GO:0048010 GO:0008543 GO:0046777 GO:0008286 GO:0030838 GO:0010467 GO:0007584 GO:0001934
P08631	GO:0019221 GO:0050727 GO:0038096 GO:0007498 GO:0046777 GO:0008284 GO:0038083 GO:0018108 GO:0030838 GO:0043066 GO:0016032
O75815	GO:0007264
P01137	GO:0007596 GO:0042127 GO:0007173 GO:0043406 GO:0030512 GO:0030168 GO:0060391 GO:0042981 GO:0007435 GO:0016049 GO:0030335 GO:0000122 GO:0001666 GO:0008284 GO:0008285 GO:0045892 GO:0071363 GO:0050679 GO:0010575 GO:0010718 GO:0071560 GO:2000679 GO:0032355 GO:0002576 GO:0001934
Q13490	GO:0010803 GO:0007166 GO:0050727 GO:0035666 GO:0042127 GO:0060546 GO:0042981 GO:0045088 GO:0012501 GO:0002756 GO:0034142 GO:0033209 GO:0001666 GO:0034138 GO:0043066 GO:0006915
P00533	GO:0007166 GO:0042127 GO:0007173 GO:0043406 GO:0007435 GO:0030335 GO:0048011 GO:0038095 GO:0048010 GO:0007411 GO:0008543 GO:0046777 GO:0008284 GO:0008286 GO:0071392 GO:0050679 GO:0000186 GO:0018108 GO:0043066 GO:0071230 GO:0007264 GO:0050999 GO:0001934
Q06265	GO:0043488 GO:0010467
Q05516	GO:0000122 GO:0008285 GO:0045892 GO:0006915
P38398	GO:0042127 GO:0033160 GO:0008630 GO:0042981 GO:0071356 GO:0031398 GO:0045892 GO:0010575 GO:0032355 GO:0045766 GO:0007584 GO:0006915
P50570	GO:0061024 GO:0030512 GO:1903351 GO:0050766 GO:0050999
P58753	GO:0007166 GO:0045410 GO:0038123 GO:0032760 GO:0045088 GO:0034141 GO:0034145 GO:0034142 GO:0038124 GO:0034134
P61073	GO:0046718 GO:0048714 GO:0030260 GO:0001666 GO:0042119 GO:0006915 GO:0016032
Q9NPF7	GO:2000318 GO:0002827 GO:0001916 GO:0010535 GO:0032760 GO:0043382 GO:2000330 GO:0042104 GO:0045672
Q13007	GO:0046427 GO:0008284 GO:0008285 GO:0006915
P08238	GO:0033160 GO:0009651 GO:0038096 GO:0007411 GO:0035872 GO:0060334
Q5S007	GO:0043406 GO:0090263 GO:1901215 GO:1903351 GO:0046777 GO:0031398 GO:0000186 GO:0034599 GO:0007264 GO:0001934
P35579	GO:0007411 GO:0050900 GO:0007264
Q9NZ08	GO:0009617 GO:0045088 GO:0045766 GO:0002250
P09874	GO:0060391 GO:0000122 GO:2000679 GO:0010467 GO:0034599 GO:0010613
P40189	GO:0019221 GO:0008284 GO:0010575 GO:0043066 GO:0010613 GO:0016032
Q6ZW49	GO:0031398
O00206	GO:0009617 GO:0050727 GO:0035666 GO:0038123 GO:0032760 GO:0012501 GO:0002756 GO:0034142 GO:0038124 GO:0034138 GO:0034134 GO:0006915 GO:0097296
P23458	GO:0019221 GO:0007167 GO:0042127 GO:0007173 GO:0048011 GO:0038095 GO:0046677 GO:0048010 GO:0007411 GO:0008543 GO:0046777 GO:0008286 GO:0038083 GO:0000186 GO:0018108 GO:0060334 GO:0007264
P08887	GO:0019221 GO:0008284
O60674	GO:0019221 GO:0007596 GO:0007167 GO:0050727 GO:0042127 GO:0033160 GO:0007173 GO:0032760 GO:0042981 GO:0006919 GO:0030335 GO:0048011 GO:0038095 GO:0007498 GO:0033209 GO:0046677 GO:0048010 GO:0007411 GO:0008543 GO:0046777 GO:0008284 GO:0008285 GO:0008286 GO:0038083 GO:0000186 GO:0018108 GO:0043066 GO:0006915 GO:0060334 GO:0007264 GO:0002250 GO:0097296
P01730	GO:0007166 GO:0007167 GO:0031295 GO:0046718 GO:0030260 GO:0050870 GO:0032355 GO:0050852 GO:0002250 GO:0016032
P01584	GO:0019221 GO:0045410 GO:0000122 GO:0001666 GO:0050766 GO:2000173 GO:0002223 GO:0008285 GO:0010575 GO:2000778 GO:0050900 GO:0032355 GO:0045766 GO:0007584 GO:0006915 GO:0050999 GO:0001934
P16615	GO:0007596 GO:0034599
Q13573	GO:0000122 GO:0045892 GO:0010467 GO:0016032
Q5VWK5	GO:2000318 GO:0002827 GO:0001916 GO:0010535 GO:0043382 GO:0038155 GO:2000330 GO:0042104 GO:0045672
Q14108	GO:0046718 GO:0016032
Q86Z02	GO:0010803 GO:0008284 GO:0045766
P04626	GO:0007166 GO:0007167 GO:0007173 GO:0043406 GO:0048011 GO:0038095 GO:0048010 GO:0007411 GO:0008543 GO:0046777 GO:0008286 GO:0071363 GO:0050679 GO:0000186 GO:0018108 GO:0007264 GO:0001934
Q08379	GO:0061024
Q9H1C4	GO:0034138 GO:0002250
P10600	GO:0007596 GO:0042127 GO:0030512 GO:0030168 GO:0060391 GO:0042981 GO:0007435 GO:0016049 GO:0001666 GO:0008285 GO:0071363 GO:0010718 GO:0002576
Q6NUS6	GO:0006915
P49755	GO:0061024 GO:0051259
P55085	GO:0007596 GO:0035926 GO:0030335 GO:0034141 GO:0034145 GO:2000778 GO:0042119 GO:0050900
O95999	GO:0043280 GO:0042981 GO:0038095 GO:0031398 GO:0002223 GO:0050870 GO:0051259 GO:0002237 GO:0050852 GO:0006915 GO:2001238 GO:0002250
P01023	GO:0007596 GO:0030168 GO:0002576 GO:0007264
P00519	GO:0007596 GO:0042127 GO:0007173 GO:0008630 GO:0038096 GO:1903351 GO:0007411 GO:0046777 GO:0038083 GO:0043124 GO:0018108 GO:0006915 GO:0034599 GO:0007264 GO:0001934
Q8NBW4	GO:0071230
P01375	GO:0010803 GO:0007166 GO:0043280 GO:0042127 GO:0043406 GO:0008630 GO:0051023 GO:0009651 GO:0006919 GO:0000122 GO:0033209 GO:0050766 GO:0008625 GO:0045892 GO:0097190 GO:0050900 GO:0071550 GO:0071230 GO:0001934 GO:0045672
P42701	GO:0019221 GO:2000318 GO:0002827 GO:0001916 GO:0043382 GO:0038155 GO:0018108 GO:2000330 GO:0042104
P60709	GO:0007596 GO:0061024 GO:0038096 GO:0048010 GO:0007411 GO:0010467 GO:0007264
P17252	GO:0007596 GO:0007173 GO:0030168 GO:0030335 GO:0048011 GO:0048010 GO:0008543 GO:0043488 GO:0008285 GO:0097190 GO:0045766 GO:0010467 GO:0006915 GO:0010613 GO:0001934 GO:0070555
P14778	GO:0019221 GO:0007166 GO:0050727 GO:0070555
Q99836	GO:0007166 GO:0050727 GO:0038123 GO:0048011 GO:0034142 GO:0038124 GO:0034134 GO:0043066 GO:0070555
P78556	GO:0071356 GO:2000406 GO:0071347
Q9BZS1	GO:0032703 GO:0000122 GO:0032088 GO:0008285 GO:0045892 GO:0050852
P62318	GO:0010467
